이름,평점,리뷰수,주소,위도,경도,전화번호,메뉴
란주칼면,3.7,"1,356","서울 중구 소공로 64 동남빌딩 1층
(지번) 충무로1가 25-9",37.5609660532573,126.982141058686,,"삼선해물자장도삭면 (9,000원), 유슬볶음자장도삭면 (10,000원), 삼선해물짬뽕도삭면 (10,000원), 해물볶음도삭면 (11,000원), 마라탕도삭면 (12,000원), 마라해물볶음도삭면 (12,000원), 사천유슬부추도사면 (12,000원), 쯔란양고기도삭면 (13,000원), 육개장도삭면 (10,000원), 해선도삭면 (10,000원), 사천유슬부추덮밥 (12,000원), 마라해물덮밥 (12,000원), 새우볶음밥 (9,000원), 사천탕수육 (27,000원), 사천탕수새우 (35,000원), 깐풍기 (30,000원), 마라샹궈 (33,000원), 쯔란마늘새우 (35,000원), 마라마늘라조기 (33,000원), 쯔란마늘양고기볶음 (35,000원)"
평양면옥 본점,3.5,807,"서울 중구 장충단로 207 1층
(지번) 장충동1가 13",37.5630300585035,127.006469531603,02-2267-7784,"편육 (35,000원), 제육 (34,000원), 편육반/제육반 (36,000원), 어복쟁반(중) (78,000원), 불고기 (37,000원), 냉면 (15,000원), 비빔냉면 (15,000원), 만두국 (15,000원), 접시만두 (15,000원), 온면 (15,000원)"
오장동흥남집 본점,3.6,374,"서울 중구 마른내로 114 1-2층
(지번) 오장동 101-7",,,02-2266-0735,"섞임냉면 (15,000원), 회비빔냉면 (15,000원), 고기비빔냉면 (15,000원), 물냉면 (15,000원), 온면 (15,000원), 면사리 (8,000원), 수육(200g) (30,000원), 회무침(중) (22,000원), 회무침(대) (30,000원)"
무교동북어국집,4.5,602,"서울 중구 을지로1길 38 1층
(지번) 다동 173",37.5677483846568,126.979851603525,02-777-3891,"북어해장국 (10,000원)"
광화문국밥 본점,4.0,245,"서울 중구 세종대로21길 53 1층
(지번) 정동 1-48",37.5689547897755,126.975422571498,02-738-5688,"메밀온면(계절메뉴) (11,000원), 대구목뽈살조림(계절메뉴) (35,000원), 돼지국밥 (10,000원), 돼지국밥(특) (13,000원), 돼지수육(소) (15,000원), 피순대 (17,000원), 가자미식해 (13,000원), 물/비빔 평양냉면 (14,000원), 소왕갈비찜 (58,000원), 한우스지찜 (35,000원), 매콤양무침 (22,000원), 술국 (18,000원), 술국 (특)막창 (25,000원), 저염명란오이무침 (12,000원)"
명동교자 본점,3.5,"4,201","서울 중구 명동10길 29 1층
(지번) 명동2가 25-36",37.562573201873,126.985755097262,02-776-5348,"콩국수(포장불가능) (12,000원), 칼국수(포장불가능) (11,000원), 만두(포장가능) (12,000원), 비빔국수(포장불가능) (11,000원)"
우정,3.2,"1,291","서울 중구 퇴계로76길 55 1층
(지번) 신당동 304-791",37.5627895338505,127.014951667718,02-2233-0669,"2인 (17,000원), 3인 (20,000원), 4인 (26,000원), 해물떡볶이 (25,000원), 치즈떡볶이 (26,000원), 짜장떡볶이 (17,000원), 매운닭발 (9,000원), 순한닭발 (9,000원), 오뎅국물 (4,000원), 날치알밥 (5,000원), 주먹밥 (4,000원)"
가메골손왕만두 남대문본점,4.1,584,"서울 중구 남대문시장4길 42 1층
(지번) 남창동 60-2",37.558364188842,126.977119642563,02-755-2569,"고기왕만두 (4개) (4,500원), 김치왕만두 (4개) (4,500원)"
애성회관,4.2,393,"서울 중구 남대문로5길 23 대경빌딩 1층
(지번) 북창동 93-36",37.5624386516668,126.978920058394,02-352-0303,"한우수육 (48,000원), 한우불고기 (60,000원), 한우와낙지 (38,000원), 낙지볶음 (38,000원), 한우곰탕(보통) (10,000원)"
명동교자 분점,3.0,864,"서울 중구 명동10길 8
(지번) 명동2가 33-4",37.5634197792853,126.985035755931,02-776-3424,"콩국수(포장불가능) (12,000원), 칼국수(포장불가능) (11,000원), 만두(포장가능) (12,000원), 비빔국수(포장불가능) (11,000원)"
