이름,평점,리뷰수,주소,위도,경도,전화번호,메뉴
산채가한정식,3.9,23,"서울 중랑구 동일로157길 30 1층
(지번) 묵동 240-46",37.609832718929,127.075982688299,02-948-1138,"즉석가마솥밥 정식(2인이상주문) (12,000원), 즉석가마솥밥 특선정식(2인이상주문) (17,000원), 곤드레밥(1인가능) (9,000원), 제육볶음 백반(2인이상) (12,000원), 황태구이 백반(2인이상) (12,000원), 더덕구이 백반(2인이상) (12,000원), 더덕 생고기 오겹살 (15,000원), 동태탕 백반(2인이상) (10,000원)"
면동떡볶이,3.7,210,"서울 중랑구 면목로57길 33 1층
(지번) 면목동 552-4",37.5847105123946,127.086531332285,,"쫄볶이 (1인분) (3,500원), 라쫄면 (1인분) (3,500원), 라볶이 (1인분) (3,500원), 떡볶이 (1인분) (3,000원), 라면 (3,000원)"
미락한정식,4.1,19,"서울 중랑구 봉우재로 27 1층
(지번) 면목동 182-112",37.5902479802688,127.076255463021,02-494-3800,"생불고기 정식 (18,000원), 돼지양념구이 정식 (22,000원), 양념게장 정식 (20,000원), 보리굴비 (28,000원), 돌게장 정식 (가격정보 없음)"
강원도 동강오리 본점,4.3,142,"서울 중랑구 용마산로115길 10 1층
(지번) 망우동 486-9",37.5991590230574,127.099742728815,02-492-6717,"통마늘 오리주물럭 (비조리) (43,000원), 오리탕 추가 (10,000원), 오리주물럭 (비조리) (38,000원), 오리만 추가 (33,000원), 통마늘 추가 (5,000원), 새송이 버섯 추가 (5,000원), 생미나리+양념추가 (5,000원), 콜라 500mL (2,000원), 사이다 500mL (2,000원), 미린다 500mL (2,000원), 참이슬후레쉬 (4,000원), 참이슬오리지널 (4,000원), 처음처럼 (4,000원), 카스 병맥주 (4,000원), 테라 병맥주 (4,000원)"
홍어천국,4.4,36,"서울 중랑구 면목로 421 1층
(지번) 면목동 126-6",37.5896465780784,127.087051201678,02-436-4757,"삼합 (39,000원), 홍어무침（묵은지） (35,000원), 홍어찜（묵은지） (35,000원), 홍어회（묵은지） (35,000원), 홍어애탕 (20,000원), 수육보쌈 세트 (39,000원), 공기밥 (1,000원), 수육추가 (15,000원), 홍어애 (10,000원), 파김치 1팩 (5,000원), 묵은지 1팩 (5,000원), 갓김치 1팩 (5,000원), 콜라 355mL (2,000원), 사이다 355mL (2,000원)"
커피스터프,3.9,110,"서울 중랑구 망우로42길 10
(지번) 상봉동 118-1",37.5950497014032,127.082713527241,,"카페라떼 (4,500원), 잉글리쉬 블렉퍼스트 (4,000원), 크림 그린티라떼 (4,800원), 요거드스무디 (5,800원), 아메리카노 (3,800원)"
이학갈비 면목점,3.4,76,"서울 중랑구 면목로 310 2층
(지번) 면목동 617-2",37.5796278612169,127.087950762615,02-437-0170,"한우꽃등심(150g) (58,000원), 갈비꽃살(150g) (50,000원), 소왕양념갈비1대 (320g) (47,000원), 이학소갈비2대 (300g) (44,000원), 버섯생불고기(180g) (27,000원), 녹차돼지왕갈비 1대(300g) (22,000원), 한우육회(200g) 동절기메뉴 (32,000원), 영양돌솥밥 (18,000원), 영양갈비탕 (16,000원), 함흥냉면 (12,000원)"
쿠우쿠우 골드상봉점,3.3,601,"서울 중랑구 망우로 316 이지펠리스 3층
(지번) 상봉동 101",37.5965223858128,127.087565034141,02-433-6274,"평일점심 (25,900원), 평일저녁 (30,900원), 주말 및 공휴일 (34,900원), 초등학생(주말/공휴일) (17,900원), 어린이(만36개월 이상) (8,900원), 초등학생(평일런치) (15,900원), 초등학생(평일디너) (16,900원)"
소담촌 상봉점,3.7,143,"서울 중랑구 망우로 328 시네마시티 15층 1501호
(지번) 상봉동 92-2",37.5967896562752,127.088961999058,02-434-1999,"월남쌈샤브 (16,900원), 월남쌈버섯샤브 (21,900원), 월남쌈와규샤브 (21,000원), 월남쌈명품한우샤브 (24,500원), 월남쌈스페셜샤브 (26,000원)"
용마해장국,4.1,272,"서울 중랑구 용마공원로5길 20 1층
(지번) 망우동 406-1",37.594539002298,127.102280443169,02-2209-5938,"해장국 (10,000원), (특)고기만해장국 (13,000원), 고추장아찌 (5,000원)"
임현숙의이화김치찌개,3.0,81,"서울 중랑구 중랑천로 188 1층
(지번) 중화동 330-81",37.6013329449701,127.074453758368,02-432-4320,"김치찌개 (11,000원), 삼겹살 (1인분) (16,000원)"
찜집 본점,3.9,156,"서울 중랑구 면목로 287 1층
(지번) 면목동 632-6",37.578458499532,127.085941753913,02-494-0044,"섞어찜 (소) (73,000원), 알낙찜 (소) (58,000원), 아구찜 (소) (43,000원), 낙지찜 (소) (43,000원), 아낙찜 (소) (53,000원), 알찜 (소) (58,000원), 해물찜 (소) (63,000원), 꽃게범벅 (소) (73,000원), 꽃게찜 (소) (78,000원), 아구탕 (소) (43,000원), 해물탕 (소) (63,000원), 낙지탕 (소) (43,000원), 지리탕 (소) (55,000원), 알탕 (소) (58,000원), 꽃게탕 (소) (73,000원)"
먹거리집,2.8,417,"서울 중랑구 면목로91길 8 1층
(지번) 상봉동 113-23",37.594576216919,127.085389481171,,"내장 (29,000원), 수육 (중) (24,000원), 고기모듬 (중) (24,000원), 오소리감투 (24,000원), 머리고기 (21,000원), 머리뽈살 (21,000원), 편육 (21,000원), 제육볶음 (안주류) (16,000원), 술국 (13,000원), 족발 (8,000원), 순대 (7,000원), 순대국 (9,000원), 북어해장국 (8,000원), 내장탕 (10,000원), 제육볶음 (식사류) (11,000원)"
어글리스토브 상봉점,3.7,298,"서울 중랑구 상봉로 131 듀오트리스 1층
(지번) 상봉동 501",37.5974066200134,127.092177640813,02-433-8459,"어글리 리코타치즈 샐러드 (13,900원), 어글리 프렌치 토스트 (13,900원), 비프 필라프 (14,900원), 크랩 로제 파스타 (16,900원), 안창 & 치킨 스테이크 (24,900원)"
함평국밥,4.2,252,"서울 중랑구 봉우재로33길 73 1층
(지번) 상봉동 90-64",37.5954703227436,127.089216903184,,"김치 육회 비빔밥 (12,000원), 우거지국밥 (10,000원), 육사시미+육회 (300g) (55,000원), 육사시미(소) (30,000원), 육회(소) (30,000원)"
다함닭갈비 사가정본점,3.2,10,"서울 중랑구 사가정로51길 9
(지번) 면목동 604-12",37.581238406418,127.087803896119,02-432-6683,"다함닭갈비 (13,000원), 치즈닭갈비 (14,000원), 막국수 (7,000원), 치즈볶음밥 (3,000원)"
뚝배기바지락칼국수 면목본점,3.2,31,"서울 중랑구 면목로 294
(지번) 면목동 626-8",37.5788090726495,127.086563219651,02-2208-2949,"들깨칼국수 (7,000원), 들깨칼제비 (7,000원), 바지락칼국수 (7,000원), 바지락칼제비 (7,000원), 팥칼국수 (7,000원), 팥옹심이 (8,000원), 얼큰장칼국수 (8,000원), 만두칼국수 (8,000원)"
