이름,서브카테고리,평점,리뷰수,주소,위도,경도,전화번호,메뉴,영업시간
능라도 강남점,냉면,3.8,221,"서울 강남구 삼성로 534 싹아트센터 1층
(지번) 삼성동 151-7",37.5096776765406,127.055536318832,02-569-8939,메뉴 없음,매일 11:20 ~ 21:30
땀땀 본점,베트남음식,3.6,"1,754","서울 강남구 강남대로98길 12-5 1층
(지번) 역삼동 817-31",37.5004148135036,127.027973437756,,메뉴 없음,매일 11:00 ~ 22:00
크래버대게나라 강남점,"게,대게",4.2,376,"서울 강남구 언주로 620 현대인텔렉스빌딩 1층
(지번) 논현동 261",37.5116193245266,127.036352298064,02-547-7998,"대게 코스 (1kg) (변동가격), 킹크랩 코스 (1kg) (변동가격), 랍스타 코스 (1kg) (변동가격)",매일 11:30 ~ 23:00
알베르,카페,3.0,698,"서울 강남구 강남대로102길 34
(지번) 역삼동 618-11",37.5030565318496,127.028103011462,02-566-6181,"알베르시그니처아이스크림라떼 (8,000원), 티라미수 (7,000원), 패션후르츠 에이드 (8,000원), 블루베리 에이드 (8,000원), 아메리카노 (6,000원)",매일 10:00 ~ 23:00
마일스톤커피,커피전문점,4.5,841,"서울 강남구 논현로159길 49 1층
(지번) 신사동 554-4",37.521847450448,127.024334591638,070-4219-1195,"에스프레소 (4,500원), 아메리카노 (5,000원), 플랫화이트 (5,500원), 카페라떼 (5,500원), 비엔나커피 (6,500원), 아몬드라떼 (6,000원), 콜드브루 바닐라 라떼 (6,500원), 카푸치노 (5,800원), 바닐라빈라떼 (6,000원)",매일 10:00 ~ 21:00
꽁티드툴레아 도산점,카페,3.4,613,"서울 강남구 도산대로49길 39 1층
(지번) 신사동 646-21",37.5255631741936,127.036889294894,070-8846-8490,"Carrot lafe with hummus (15,000원), Gnocchi with classic tomato soup (16,000원), Fish cutlet toast (14,000원), Spicy tteol-bokki (16,500원), Jambon cheese brunch set (23,000원)",일 11:00 ~ 23:00
울프강스테이크하우스,"스테이크,립",3.7,"1,309","서울 강남구 선릉로152길 21 영인빌딩 1층
(지번) 청담동 89-6",37.5244973932097,127.041463043475,02-556-8700,"포터하우스 스테이크 (100g) (31,000원), W코스 (1인) (225,000원), 클래식코스 (1인) (198,000원), 청담 런치 코스 (1인) (120,000원), 단품 메뉴 (변동가격)",매일 11:00 ~ 22:00
별양집,"곱창,막창",4.4,122,"서울 강남구 테헤란로43길 17 지하1,1층
(지번) 역삼동 700-33",37.5044034043625,127.043661150546,02-501-2937,"특양구이 (170g) (43,000원), 대창구이 (200g) (42,000원), 곱창구이 (150g) (42,000원), 양밥 (23,000원), 곱창전골 中(2~3인분) (64,000원), 대창덮밥 (점심특선) (15,000원), 갈비덮밥 (점심특선) (19,000원), 홍창구이 (180g) (42,000원), 양념소갈비 (250g) (58,000원), 부추된장찌개 (5,000원), 양곰탕(점심특선) (17,000원)",매일 11:30 ~ 05:00
농민백암순대 강남직영점,순대,4.6,741,"서울 강남구 역삼로3길 20-4 1층
(지번) 역삼동 830-9",37.4949182390409,127.031492194164,02-501-2772,"국밥 (10,000원), 술국 (19,000원), 토종순대 (13,000원), 수육 (36,000원), 수육정식 (15,000원)",일요일
창고43 강남점,"육류,고기",3.4,247,"서울 강남구 강남대로 362 대륭강남타워 지하1층
(지번) 역삼동 826-20",37.4953055764745,127.029416048324,02-508-0043,"소불고기전골[중] (30,000원), 창고43 육포선물세트 1호 (50,000원), 창고43 육포선물세트 2호 (100,000원), 한우꼬리곰탕 (34,000원), 한우얼큰해장국 (21,000원), 창고43 스페셜 (49,000원), 창고43 설화등심 (67,000원), 창고43 특안심 (63,000원), 창고43 새우살 (72,000원), 한우명작모듬 (199,000원), 육회 (34,000원), 육사시미 (39,000원), 창고진한왕갈비탕 (21,000원), 매운갈비찜 (23,000원), 한우궁중미역국 (12,000원), 유자육회비빔밥 (16,000원), 창고43 도시락 (40,000원), 창고43 양념갈비 선물세트 (250,000원), 제비추리 (63,000원), 반달육전 (23,000원)",매일 11:30 ~ 22:00
강강술래 청담점,갈비,3.4,96,"서울 강남구 도산대로 535 1,2층
(지번) 청담동 125-16",,,02-3443-3392,"왕양념갈비 (43,000원), 술래양념구이 (34,000원), 한돈양념구이 (19,000원), 영양갈비탕 (13,000원), 차돌된장찌개 (9,000원)",매일 11:00 ~ 06:00
봉밀가 강남구청점,한식,4.4,91,"서울 강남구 선릉로 664 1층
(지번) 삼성동 8-1",37.5158910703504,127.042316926707,02-546-2305,"평양 메밀물국수 (14,500원), 한우1++ 곰탕 (14,500원), 평양 메밀비빔국수 (14,500원), 평양 만둣국 (12,000원), 메밀전 (8,900원), 평양 손만두 (8,000원), 평양 지짐 손만두 (9,000원), 육회 비빔면 (19,800원), 한우 청홍탕 (18,000원)",일요일
최가네버섯샤브매운탕칼국수 본점,샤브샤브,4.4,491,"서울 강남구 도산대로51길 36 2-3층
(지번) 신사동 655",,,02-547-7676,"스페셜 샤브샤브 (1인) (19,000원), 바싹 불고기 (대) (18,000원), 스몰 샤브샤브 (1인) (16,000원), 버섯매운탕칼국수 (14,000원), 샤브런치 (14,000원), 바싹 불고기 (소) (12,000원), 칼라물만두 (7,000원)",매일 11:00 ~ 21:40 · 휴게시간 매일 15:40 ~ 17:00
돝고기506,삼겹살,3.5,361,"서울 강남구 테헤란로 145 지하1층
(지번) 역삼동 646-15",37.5007127382074,127.035192693211,02-6933-9506,"A506 숙성돼지고기 삼겹살 (150g) (19,000원), D806 숙성돼지고기 삼겹살 (150g) (22,000원), I506 숙성돼지고기 목살 (150g) (19,000원), 항정살 (150g) (19,000원), 늑간살 (150g) (19,000원), 한우육회 (35,000원), 차돌박이 (31,000원), 한우육회비빔밥 (15,000원), 제육쌈밥 (15,000원), 김치찌개 (10,000원), 트러플크림볶음밥 (14,000원), 크림볶음밥 (10,000원), 계란찜 (7,000원)",매일 11:30 ~ 22:00 · 휴게시간 매일 15:00 ~ 17:00
한일관 압구정점,한식,3.4,120,"서울 강남구 압구정로38길 14
(지번) 신사동 619-4",37.527783181798,127.032497263908,02-732-3735,"불고기 1939 (33,000원), 차돌박이구이와 낙지볶음 (27,000원), 등심로스편채 (27,000원), 차돌박이구이와 향채무침 (25,000원), 탕평채 (13,000원), 냉면 (12,000원), 전통갈비탕 (19,000원), 된장찌개 (13,000원)",매일 11:30 ~ 21:30
벌교한상,한식,4.2,26,"서울 강남구 광평로46길 7 1층
(지번) 수서동 450-8",37.4858466768924,127.099392322489,02-451-2226,"새꼬막 (통,양념) (소) (20,000원), 꼬막무침 (35,000원), 보쌈 (중) (35,000원), 문어숙회 (35,000원), 홍어회 (35,000원), 소화한상 (15,000원), 벌교한상 (24,000원), 보리굴비정찬 (31,000원)",매일 10:50 ~ 21:30
압구정공주떡,"떡,한과",4.2,655,"서울 강남구 논현로161길 10 1층
(지번) 신사동 569-31",37.5236012907122,127.027446444565,02-516-3643,"흑임자케익 (80,000원), 모듬케익 (94,000원), 흑임자인절미(6호) (108,000원), 영양떡(6호) (108,000원), 영양떡+흑임자떡(6호) (108,000원), 영양떡+두텁(6호) (114,000원), 두텁+흑임자떡(6호) (114,000원), 두텁(5호) (120,000원), 약식(5호) (100,000원), 쑥포장인절미 (5호) (80,000원), 모듬찰떡 (5호) (120,000원), 선물세트(大,小) (135,000원), 쑥개떡 (5호) (85,000원)",매일 06:00 ~ 24:00
강남면옥 신사점,냉면,3.2,153,"서울 강남구 논현로152길 34 1층
(지번) 신사동 588-9",37.5214278383211,127.030944510342,02-3446-5539,"회냉면 (13,000원), 비빔냉면 (12,000원), 물냉면 (12,000원), 섞어냉면 (회냉+비냉) (13,000원), 갈비탕 (16,000원), 만두국 (11,000원), 찐만두 (10,000원), 갈비찜 (소) (52,000원), 수육 (40,000원), 홍어회 (40,000원)",매일 10:30 ~ 22:00
어거스트힐 강남점,양식,4.0,"2,377","서울 강남구 강남대로106길 25 1층
(지번) 역삼동 616-18",37.503383261177,127.027616261154,02-568-8003,"토마호크 스테이크(100g당) (19,700원), 티본스테이크(100g당) (17,000원), 채끝스테이크 (39,900원), 비프 로제 파스타 (20,900원), 스모크치킨 퀘사디아 (13,900원), 비프 버터 라이스 (21,900원), 베이크드 레몬버터 랍스타 테일&쉬림프 (76,000원), 프레쉬 치즈 샐러드 (21,900원), 수제 베이컨 콥샐러드 (21,900원), 문어 먹물 리조또 (20,900원), 새우 오일 파스타 (20,900원), 까르보나라 (13,000원), 스파이스 치킨라이스 (14,000원), 베이컨 잠발라야리조또 (19,900원), 수비드 치킨 토마토 파스타 (19,900원)",매일 11:30 ~ 22:00
크라이치즈버거 삼성역점,햄버거,4.4,426,"서울 강남구 테헤란로 620 미래에셋타워 지하1층
(지번) 대치동 996-1",37.5091979690111,127.065578760717,02-566-6244,"트리플치즈버거세트 (13,500원), 더블치즈세트 (10,900원), 치즈버거세트 (8,900원), 트리플치즈버거 (10,500원), 더블치즈버거 (7,900원), 치즈버거 (5,500원), 감자튀김 (2,500원), 치즈감자튀김 (4,500원), 밀크쉐이크 (5,000원), 더블치즈 버팔로윙 세트 (14,900원), 치즈버거 버팔로윙 세트 (12,500원), 뉴욕 버팔로윙_6PCS (9,900원), 뉴욕 버팔로윙_3PCS (5,500원), 음료수 (2,500원)",매일 10:30 ~ 21:00
대우부대찌개,"찌개,전골",3.8,581,"서울 강남구 테헤란로25길 34 1층
(지번) 역삼동 641-18",37.5027507897379,127.035271910674,02-552-1663,"등심구이(150g) (43,000원), 안심구이(150g) (43,000원), 부대찌개 (15,000원), 등심부대찌개 (24,000원)","월,화,수,목,금,일 11:00 ~ 21:00"
마녀주방 강남점,이탈리안,3.8,280,"서울 강남구 강남대로94길 9 크리스탈빌딩 지하1,지하2층
(지번) 역삼동 818-14",37.4994839547907,127.028096922783,,"김치 치즈 칠리 라이스 (11,500원), 알리오 올리오 (12,000원), 와인숙성 넓적다리 스테이크 (6,500원), 새우로제 파스타 (13,000원), 갈릭 크림 피자 (16,500원)",매일 12:00 ~ 22:00
기욤 청담점,디저트카페,3.3,473,"서울 강남구 선릉로152길 17 1층 101호
(지번) 청담동 88-37",37.5243711341168,127.041029133889,02-512-6701,"에스프레소 도피오 (7,500원), 아메리카노 (HOT) (7,000원), 까페오레 (HOT) (7,500원), 카푸치노 (HOT) (7,500원), 다크 모카오레 (HOT) (11,000원), 바닐라 카페오레 (HOT) (12,000원), 프렌치 키스 (HOT) (12,000원), 얼그레이 (HOT) (8,800원), 아쌈 (HOT) (8,800원), 페퍼민트 (HOT) (8,800원), 카모마일 (HOT) (8,800원), 텐저린진저 (HOT) (8,800원), 허니 레몬티 (9,000원), 허니 자몽티 (9,000원), 허니 레몬네이드 (9,000원), 허니 자몽에이드 (9,000원), 오렌지쥬스 (8,000원), 자몽쥬스 (8,000원), 프렌치석류티 (9,000원), 프렌치석류에이드 (11,000원), 아쌈밀크티 (HOT) (9,000원), 얼그레이밀크티 (HOT) (9,000원)","토,일 10:00 ~ 24:00"
이도곰탕 본점,곰탕,4.1,345,"서울 강남구 논현로94길 29-5
(지번) 역삼동 671-17",37.503350683906,127.038433980546,02-569-0524,"곰탕 (13,000원), 특곰탕 (16,000원), 쌀면곰탕 (13,000원), 수육 (49,000원), 툭쌀면곰탕 (16,000원)","토,일 10:00 ~ 21:00"
