이름,서브카테고리,평점,리뷰수,주소,위도,경도,전화번호,메뉴,영업시간
낙지일번지,"해물,생선",4.3,443,"서울 강북구 도봉로89길 10 1층
(지번) 수유동 191-38",37.6392569284659,127.026081517772,02-907-1017,메뉴 없음,매일 11:00 ~ 22:00
진미기사식당,기사식당,4.0,288,"서울 강북구 한천로 1163 1층
(지번) 수유동 273-77",37.6474221815511,127.016015740135,02-998-0010,메뉴 없음,매일 06:00 ~ 22:00
산성골,"육류,고기",3.0,61,"서울 강북구 덕릉로 126
(지번) 번동 441-28",37.6347590276028,127.027676024898,02-989-7341,"한우특선모음(500g) (115,000원), 345진짜돼지갈비 (300g) (17,000원), 매운양념 돼지갈비(300g) (17,000원), 생돼지갈비 (230g) (17,000원), 한우 특등심(180g) (40,000원), 한우 꽃살(160g) (40,000원), 한우 갈비살(160g) (40,000원), 한우 생육회(180g) (25,000원), 숯불고기 100g+고기주는 함흥 물냉면 (10,000원), 숯불고기 100g+고기주는 함흥 비빔냉면 (10,000원), 숯불고기 100g+고기주는 함흥 회냉면 (12,000원), 간장게장 (10,000원), 양념게장 (10,000원), 갈비탕 (15,000원)",매일 11:00 ~ 22:00
미즐카페엠,카페,3.3,149,"서울 강북구 4.19로 107 1층
(지번) 수유동 535-11",37.6435578967693,127.003794761375,02-999-5055,메뉴 없음,매일 11:00 ~ 21:00
어니언 미아,카페,4.6,241,"서울 강북구 솔매로50길 55 서울강북우체국 1층
(지번) 미아동 127-9",37.6240291818415,127.02843349604,070-7816-2714,"에스프레소(Espresso) (4,000원), 허니프레소(Honey Espresso) (4,000원), 아메리카노(Americano) (4,000원), 카페라떼(Cafe latte) (4,500원), 카푸치노(Cappuccino) (4,500원), 크림 카푸치노(Cream Cappuccino) (5,500원), 플랫화이트(Flatwhite) (4,500원), 바닐라라떼(Vanilla latte) (5,500원), 매운 토마토 라떼 (7,000원), 히비스커스 앤 로지스 티 (7,000원), 네 종류의 베리가 들어간 소다 (8,000원), 시그니쳐 밀크 티 (8,000원), 유자 허니 블랙 티 (7,000원), 발로나 초콜릿 드링크 (6,000원)","토,일 10:00 ~ 21:00"
스시노칸도 수유점,"초밥,롤",4.0,156,"서울 강북구 한천로139나길 1 3층
(지번) 수유동 192-3",37.6390404163578,127.025278711331,02-997-5949,"활어모둠초밥 10p＋서비스2p (21,000원), 펄떡펄떡 광어 초밥 (9,500원), 생연어 초밥 (9,000원), 고급진 유부 초밥 (5,000원), 달콤 촉촉 계란초밥 (5,000원), 초새우 초밥 (6,000원), 인기 새우 반반 (11,000원), 인기 메뉴 내 맘대로 선택 5p (11,000원), 인기폭발 구운연어 초밥 8p (13,000원), 기운펄펄 민물장어 초밥 (12,000원), 칸도 초밥（Best 10p） (15,000원), 나미꼬 초밥（Best 12P (19,000원), 히로미 초밥（Best 14P (21,000원), 인기 메뉴 내 맘대로 선택 10p (22,000원), 샤르르~ 계란새우초밥 (11,000원), 특허받은 특별한 구운새우초밥 (11,000원), 어린이초밥세트 (12,000원), 큰새우 한마리 새우장 초밥 (11,000원), 참치 반반 (20,000원), 광어연어 반반 (19,000원), 붉은참치 (20,000원), 황세치 (20,000원), 연어롤 (12,000원), 볼케이노롤 (12,000원), 고소한 크림치즈 필라델피아롤 (12,000원), 캘리포니아롤 (9,000원), 치킨롤 (10,000원), 눈꽃치즈가 듬뿍 치즈새우롤 (10,000원), 앗뜨거~ 뜨끈뜨끈 우동 (6,000원), 얼음동동 냉모밀 (6,000원)",매일 11:30 ~ 22:00
다래함박스텍,"돈까스,우동",4.4,227,"서울 강북구 수유로 20-2
(지번) 수유동 56-45",37.6327683890657,127.019031673634,02-2241-7558,"함박스텍 (6,500원), 매운함박스텍 (7,000원), 돈까스 (6,500원), 매운돈까스 (7,000원), 생선까스 (7,000원), 곱배기 (1,500원)",화~일 10:00 ~ 21:00 · 휴게시간 화~일 15:00 ~ 16:00
대광어회집,회,4.0,328,"서울 강북구 노해로 31 1층
(지번) 수유동 10-40",37.6384751516532,127.022546310141,02-903-6789,"대광어 (대) (65,000원), 대광어 (중) (50,000원), 대광어 (소) (35,000원), 농어 (1.3kg) (55,000원), 참돔 (1.3kg) (55,000원), 우럭(대) (55,000원), 우럭(중) (40,000원), 연어(대) (50,000원), 연어(중) (40,000원), 연어(소) (30,000원), 해삼 (20,000원), 멍게 (15,000원), 물회(대) (45,000원), 물회(중) (35,000원), 물회(소) (25,000원), 광어+연어(대) (55,000원), 광어+연어(중) (45,000원), 광어+연어(소) (35,000원), 광어+우럭(대) (60,000원), 광어+우럭(중) (50,000원), 광어+우럭(소) (40,000원), 광어+우럭+연어(대) (60,000원), 광어+우럭+연어(중) (50,000원), 방어(소)+광어(소) (95,000원)",화~일 16:00 ~ 01:30
능이마을 미아본점,오리,3.7,56,"서울 강북구 솔샘로 330 1층
(지번) 미아동 65-5",37.61698513145,127.028593917337,02-987-5292,"소금구이 (42,000원), 신선주물럭 (45,000원), 양념주물럭 (45,000원), 오리훈제 (47,000원), 오리능이백숙 (62,000원)",매일 11:00 ~ 22:00
조연탄 수유점,"육류,고기",4.5,245,"서울 강북구 한천로140길 20
(지번) 수유동 174-37",37.6407864624167,127.027568243831,02-996-8858,"제주먹고기 1인분(200g) (15,000원), 제주훌러덩껍데기(1인분) (10,000원)",일요일
제일분식,분식,3.1,276,"서울 강북구 숭인로 65-3 숭인시장
(지번) 미아동 465-46",37.6125852455048,127.028957382492,02-985-7333,"쫄면 (5,000원), 물냉면 (5,000원), 국수 (3,500원), 라면 (3,500원), 우동 (3,500원), 계란 (500원), 떡볶이 (3,000원), 오뎅 (3,000원), 튀김 (3,000원), 순대 (3,000원), 꼬마김밥 (3,000원), 맛탕 (3,000원), 팥빙수 (3,500원), 잡채 (3,500원), 비빔냉면 (5,000원)",일요일
