이름,서브카테고리,평점,리뷰수,주소,위도,경도,전화번호,메뉴,영업시간
고성막국수,국수,3.5,195,"서울 강서구 방화대로49길 6-7
(지번) 방화동 323-6",37.5774423477276,126.816128838129,02-2665-1205,메뉴 없음,일요일
조연탄,한식,4.0,598,"서울 강서구 곰달래로60길 33 1층
(지번) 화곡동 782-11",37.5307946364804,126.863289765159,070-7641-2008,메뉴 없음,일요일
오복순대국 등촌직영점,순대,3.9,198,"서울 강서구 공항대로45길 5 1층
(지번) 등촌동 656-50",37.5558279091053,126.854113746563,02-3661-6611,"순대국 (10,000원), 순대국(특) (11,000원), 순대정식 (13,000원), 술국 (15,000원), 순대 한 접시 (7,000원), 모둠순대 (17,000원), 수육 (18,000원)",매일 10:00 ~ 21:30
방화동쭈꾸미마을 1997,한식,3.9,105,"서울 강서구 금낭화로15길 12
(지번) 방화동 451-8",37.5741106535635,126.811106244738,02-2661-9575,"마늘쭈꾸미 (1인분) (15,000원), 쭈삼불고기 (1인분) (15,000원), 쭈꾸미야채볶음 (1인분) (15,000원), 양념숯불쭈꾸미 (1인분) (15,000원), 불향제육볶음 (1인분) (15,000원), 통쭈꾸미 (1인분) (18,000원), 점심 쭈꾸미야채볶음 (12,000원), 점심 쭈삼불고기 (12,000원), 점심 불향제육 (12,000원), 문어숙회(200g) (28,000원), 쭈꾸미숙회(300g) (30,000원)",매일 11:30 ~ 22:00 · 휴게시간 매일 15:00 ~ 17:00
칼스토랑,국수,4.4,410,"서울 강서구 방화대로6라길 2 1층
(지번) 공항동 1356-11",37.5551250509939,126.818564499914,02-2666-5142,"고기칼국수 (10,000원), 장칼국수 (10,000원), 짬뽕칼국수 (12,000원), 수제 생등심돈까스 (11,000원), 직화 쭈꾸미볶음（2인） (28,000원), 수육국밥 (10,000원), 찐만두 (6,000원), 튀김만두 (6,000원), 김치 1kg (13,000원), 샐러드꽃칼국수 (11,000원), 공기밥 (1,000원), 펩시제로콜라 (2,000원), 칠성사이다 (2,000원)",일요일
공항칼국수,한식,2.6,526,"서울 강서구 공항대로 18-1
(지번) 공항동 49-2",37.5609595311681,126.809129234237,02-2664-9748,"버섯칼국수 (10,000원), 내장탕 (12,000원), 버섯내장짬뽕 (10,000원), 내장칼국수 (12,000원), 일반칼국수 (9,000원), 수육 (중) (30,000원), 수육 (소) (20,000원), 소내장볶음 (중) (30,000원), 소내장볶음 (소) (20,000원), 우렁초무침 (15,000원), 골뱅이 (15,000원)",영업시간 매일 09:00 ~ 21:00
유림 닭도리탕,닭요리,3.3,711,"서울 강서구 공항대로71길 5
(지번) 염창동 280-6",37.5478258698188,126.871722147865,02-3665-3930,"토종 닭도리탕 (2~3인용) (53,000원), 한방오리 (2~3인용) (70,000원), 한방오리한마리반 (4~5인용) (102,000원), 토종닭백숙 (2~3인용) (65,000원), 닭백숙 한마리반 (4~5인용) (95,000원), 닭도리탕 한마리반 (4~5인용) (77,000원), 삼계탕 (17,000원), 찰밥 (3,000원), 볶음밥(닭도리탕용) (2,000원)",매일 11:30 ~ 22:00
사모님짬뽕,중국요리,3.3,295,"서울 강서구 금낭화로18길 10 1층
(지번) 방화동 453-27",37.5750796248244,126.812262768557,0507-1438-3422,"홍짬뽕 (10,000원), 홍짬뽕밥 (10,000원), 백짬뽕 (10,000원), 백짬뽕밥 (10,000원), 짜장면 (8,000원), 볶음밥 (9,000원), 수제만두튀김(한정수량) (7,000원), 깐풍탕수육 (25,000원)",영업시간 매일 11:00 ~ 20:30 · 휴게시간 매일 15:00 ~ 17:00
마곡오리,오리,3.1,148,"서울 강서구 양천로30길 11 1층
(지번) 마곡동 326-7",37.5726874871118,126.822874302182,02-3662-5292,"논두렁 주물럭 (중) (45,000원), 불고기 (중) (45,000원), 로스구이 (중) (45,000원), 1~2인용 (36,000원)",매일 11:30 ~ 22:00
화곡영양족발,"족발,보쌈",4.0,647,"서울 강서구 초록마을로2길 48 화곡본동시장 1층 가-3호
(지번) 화곡동 98-154",37.5432592790771,126.843502478979,,"막국수 (8,000원), 족발(중) (40,000원), 족발(대) (45,000원), 미니족발 (35,000원), 술국 (10,000원), 순대국 (10,000원)",매일 11:10 ~ 21:30
