이름,서브카테고리,평점,리뷰수,주소,위도,경도,전화번호,메뉴,영업시간
복돈이부추삼겹살 사당본점,삼겹살,2.7,477,"서울 관악구 남현1길 68-14 남현빌딩 1층
(지번) 남현동 1061-11",37.4751687521468,126.981124579443,02-582-5124,"생삼겹살(180g) (15,000원), 오겹살(180g) (12,000원), 냉동삼겹살(180g) (11,000원), 목살(180g) (11,000원)",매일 12:00 ~ 23:00
디자이너리카페,카페,3.9,372,"서울 관악구 관천로 71-1 4층
(지번) 신림동 1465-12",37.4850621264198,126.92411479464,02-868-7112,메뉴 없음,일 10:00 ~ 22:30
멕스칸즉석햄버거,햄버거,3.4,133,"서울 관악구 당곡길 9 1층
(지번) 봉천동 698-28",37.489749846541,126.928822191454,02-884-0280,"떡오뎅볶이 (1인분) (3,500원), 오뎅볶이 (1인분) (3,500원), 떡오뎅+사리 (1인분) (3,500원), 오뎅+사리 (1인분) (3,500원), 떡오뎅쫄면라면+사리 (1인분) (5,000원), 떡오뎅+사리2 (2인분) (6,800원), 떡오뎅+사리3 (2인분) (7,900원), 떡오뎅+사리3 (3인분) (10,200원), 떡오뎅+사리4 (3인분) (11,300원), 떡오뎅+사리4 (4인분) (13,600원), 떡오뎅+사리5 (4인분) (14,700원), 멕스칸버거 (1,500원), 애그버거 (2,000원), 치즈버거 (2,000원), 특버거 (2,500원)",영업시간 일 11:30 ~ 18:00
청송산오징어,"해물,생선",3.9,454,"서울 관악구 남현1길 8 1층
(지번) 남현동 1065-1",37.4757907849524,126.977868492846,02-584-5286,"산오징어회반 (29,000원), 산오징어회(2인) (58,000원), 산오징어찜(2인) (58,000원), 해물순두부 (10,000원), 조개탕 (10,000원), 바지락번데기탕 (10,000원), 계란찜 (8,000원), 바지락라면 (5,000원), 산오징어회+찜(2인) (58,000원)",일요일
고기굽는사람들 샤로수길본점,"육류,고기",4.4,382,"서울 관악구 관악로14길 70 1층 106호
(지번) 봉천동 1619-1",37.4782407660496,126.956347518093,0507-1357-6884,"480 숙성 깍뚝목살 *한정수량 (13,900원), 340 숙성 갈비본살 *한정수량 (21,000원), 숯불양념구이+고추장불고기[무한리필] (15,900원), 480 숙성 한양삼겹살 (13,900원), 340 숙성 소금양념 돈항정 (15,500원), 340 숙성 와사비 돈항정 (16,500원), 340 숙성 갈릭 돈항정 (16,500원), 340 숙성 한양소갈비살 (16,500원), 340 숙성 소금양념 소갈비살 (17,900원), 340 숙성 와사비 소갈비살 (18,900원), 340 숙성 갈릭 소갈비살 (18,900원), 간장벌집껍데기 (8,500원), 함흥식 물/비빔냉면 (6,500원), 집된장술밥 (7,900원), 한돈묵은지김치찌개 (4,900원), 집된장 차돌된장찌개 (5,900원), 집된장 시골된장찌개 (4,900원), 갈치속젓 돌솥알밥 (5,500원), 중화식 얼큰땡초라면 (6,000원), 활화산 계란찜 (5,500원), 340 숙성 돈항정 (14,500원)",화~일 12:00 ~ 23:00
논밭골 봉천점,갈비,3.6,91,"서울 관악구 청룡길 30 1층
(지번) 봉천동 915-26",37.4804825842774,126.945930883191,02-875-6493,"왕갈비탕 (13,000원)","월,일요일"
킷사서울,일식,3.3,824,"서울 관악구 남부순환로226길 31 2층
(지번) 봉천동 1603-3",37.4792187336193,126.953773403418,02-878-7444,"단뽀뽀 오므라이스 (13,000원), 부타동 (12,000원), 가츠산도 (11,000원), 카라이 스키야키 (15,000원), 아부리동 (19,000원), 쇼유사케동 (15,000원), 쇼유에비사케동 (15,500원), 비프카츠 (22,000원), 오므 야키소바 (14,000원), 킷사아부리동 (19,000원), 사케아부리동 (16,000원), 아부리쇼유사케동 (15,500원), 스키야키 (15,000원)",영업시간 매일 11:30 ~ 22:00 · 휴게시간 매일 15:00 ~ 17:00
모힝비스트로,이탈리안,3.9,185,"서울 관악구 남부순환로226길 36 2층
(지번) 봉천동 1598-6",37.479066091973,126.953516516483,02-873-5164,"립아이스테이크 (500g 기준) (65,000원), 격식을 갖춘 한끼 (46,000원), 육식가 세트 (54,000원), 모힝 시그니처 플래터 (28,000원), 지글지글 게살 치즈 크림 파스타 (16,000원), 만조 샐러드 (18,000원), 채끝등심 스테이크 크림 리조또 (23,000원)",영업시간 매일 11:00 ~ 22:00
쟝블랑제리,"제과,베이커리",3.8,509,"서울 관악구 낙성대역길 8 1층
(지번) 봉천동 1660-7",37.4772000660467,126.961984718921,02-889-5170,"소시지빵 (5,000원)",영업시간 매일 07:00 ~ 22:00
담양에초대,한정식,4.1,27,"서울 관악구 남현1길 38-10 교통문화교육원 2층
(지번) 남현동 1063-6",37.4753765702546,126.979245142307,02-588-1488,"왕대정식(점심) (22,000원), 보리굴비정식(점심) (24,000원), 계절전 (15,000원), 홍어전 (40,000원), 죽순우렁초무침 (20,000원), 일품활어회 (85,000원), 낙지탕탕 (50,000원), 죽순육회(전주식) (35,000원), 대통갈비찜 (35,000원), 홍어삼합 (45,000원), 황태구이 (30,000원), 죽순떡갈비 (30,000원), 장어정식 (70,000원), 조릿대정식 (33,000원), 보리굴비정식코스 (35,000원), 시눗대정식 (42,000원), 오죽정식 (54,000원), 낚지볶음 (35,000원), 죽순모둠튀김 (20,000원)",영업시간 매일 11:30 ~ 22:00 · 휴게시간 매일 15:00 ~ 17:00
정원쌈밥보리밥,쌈밥,4.4,148,"서울 관악구 신림로18가길 23 1층
(지번) 신림동 110-77",37.4719592987956,126.935012240902,02-887-6454,"보쌈정식 (11,000원), 제육볶음 (11,000원), 떡갈비정식 (11,000원), 대구탕 (12,000원), 고등어조림 (11,000원), 우렁쌈밥 (10,000원), 김치찌개 (10,000원)",일요일
