이름,서브카테고리,평점,리뷰수,주소,위도,경도,전화번호,메뉴,영업시간
송림식당,기사식당,3.8,373,"서울 광진구 자양번영로 79
(지번) 자양동 227-138",37.5367857595378,127.076517343663,02-457-5473,메뉴 없음,"영업시간 토,일 09:00 ~ 22:00"
서북면옥,냉면,3.6,493,"서울 광진구 자양로 199-1
(지번) 구의동 80-47",37.5454169735609,127.085329077866,02-457-8319,메뉴 없음,일요일
원조할아버지손두부,두부전문점,4.4,814,"서울 광진구 자양로 324 1층
(지번) 구의동 26-15",37.5540759465118,127.094192675873,02-447-6540,"모두부(홀) (7,000원), 순두부(홀) (4,000원), 콩국수(계절메뉴) (7,000원), 서리태콩국수(계절메뉴) (10,000원), 콩물 (5,000원), 서리태콩물 (7,000원)",영업시간 화~일 06:00 ~ 22:00
화기애애 건대점,"육류,고기",4.2,"1,560","서울 광진구 아차산로31길 16 1층
(지번) 화양동 8-37",37.5417668601098,127.06965474677,02-461-7585,"소고기 모듬 (45,000원), 돼지 모듬 (소)(400g) (29,000원), 돼지 모듬 (중)(600g) (44,000원), 돼지 모듬 (대)(900g) (66,000원), 동치미 국수 (4,500원), 비빔 국수 (4,500원), 볶음 김치와 누룽지탕 (6,000원), 글라스 와인 (6,000원), 삼겹살 (120g) (9,500원), 생목등심 (120g) (9,500원), 갈비살 (120g) (12,000원), 양념 갈비살 (120g) (12,000원), 꽃살 (120g) (21,000원), 생항정살 (120g) (12,000원), 묵밥 (5,000원), 안창살(120g) (18,000원), 김치찌개&계란찜(무한리필) (0원)","영업시간 토,일 12:00 ~ 23:00"
멕시칼리,양식,4.6,"1,862","서울 광진구 능동로36길 181 1층
(지번) 능동 256-8",37.5527239800087,127.088391279009,070-7623-1707,"소고기 타코(2TACOS) (11,300원), 돼지고기 타코(2TACOS) (10,300원), 소고기 께사디야 (14,300원), 돼지고기 께사디야 (13,300원), 과꽈몰레 나초 (8,800원), 새우타코 (11,800원), 피쉬타코 (11,800원), 비리아타코 (12,800원), 소고기타코랩 (11,800원), 돼지고기타코랩 (10,800원), 몰까헤떼믹스또 (43,000원), 스피니치&머쉬룸샐러드 (26,000원), 시저꼰뽀요샐러드 (18,000원), 비프치즈나초 (12,800원), 치즈나초 (6,800원), 멜티즈치즈딥나초 (7,800원), 스피니치딥나초 (11,300원), 빠빠 (11,800원), 할라빼뇨믹스또 (5,800원), 께소 (6,800원), 과까몰레 (6,800원)",영업시간 매일 11:30 ~ 22:00
로니로티 건대점,이탈리안,3.9,908,"서울 광진구 아차산로 225 3층
(지번) 화양동 7-44",37.5409180841466,127.068481030029,02-498-7999,"목살스테이크 샐러드 (17,900원), 오이스터 해물 크림 스파게티 (14,900원), 게살 딥 로제 스파게티 (14,900원), 목살필라프 (15,900원), 해산물 크림 리조또 (14,900원), 리코타 치즈 샐러드 (16,900원), 부채살 스테이크 샐러드 (19,900원), 베이컨 까르보나라 (14,900원), 해산물 올리브 스파게티 (13,900원), 해산물 토마토 스파게티 (14,900원), 해산물 야끼 필라프 매운맛 (15,900원), 고르곤졸라 피자 (17,900원), 마르게리따 피자 (17,900원), 갈릭 삼겹살 스테이크 샐러드 (17,900원), 치킨 찹 스테이크 샐러드 (17,900원), 닭가슴살 샐러드 (16,900원), 핑거텐더 샐러드 (16,900원), 버팔로 윙 샐러드 (16,900원), 새우 샐러드 (16,900원), 이탈리안 돈까스 샐러드 (14,900원), 오이스터 베이컨 크림 스파게티 매콤한맛 (14,900원), 오이스터 닭가슴살 크림 스파게티 (14,900원), 해산물 까르보나라 (14,900원), 치킨 버섯 크림 스파게티 (14,900원), 눈꽃 치즈 토마토 스파게티 (17,900원), 차돌박이 상하이 스파게티 (17,900원), 새우 필라프 (15,900원), 김치 필라프 (14,900원), 커리게살 필라프 (15,900원), 치킨필라프 (15,900원)",영업시간 매일 11:30 ~ 22:30 · 휴게시간 매일 15:30 ~ 16:20
광장동가온,국수,3.0,139,"서울 광진구 아차산로78길 75 현대골든텔2차 106호
(지번) 광장동 102",37.5515973987517,127.110984517421,02-3436-7100,"초계메밀국수 (15,000원), 가온 곰국시 (14,000원), 모듬 보쌈 (62,000원), 오징어 순대 (20,000원), 고기/김치 손만두 (10,000원), 바싹불고기 (18,000원), 수육정식 (45,000원), 보쌈정식 (39,000원), 만두국 (14,000원), 모듬전 (45,000원), 보쌈(중) (48,000원), 육전 (35,000원)",영업시간 매일 11:20 ~ 22:00
바르미샤브샤브N칼국수,샤브샤브,3.7,64,"서울 광진구 아차산로 471
(지번) 구의동 212-3",37.5404187841405,127.093974084703,02-3437-1005,"쇠고기 샤브샤브 (평인) (14,800원), 쇠고기샤브샤브 (주말.공휴일) (18,800원), 한우샤브샤브 (평일) (16,800원), 한우샤브샤브 (주말.공휴일) (17,800원), 어린이 입장료 (미취학아동 4-7세) (5,000원)",영업시간 매일 11:00 ~ 22:00
계탄집 본점,닭요리,4.4,222,"서울 광진구 능동로 31 1층
(지번) 자양동 553-264",37.5342776949491,127.067730487671,02-464-6804,"간장양념닭갈비 (1인) (14,000원), 매운양념닭갈비 (1인) (14,000원), 마늘소금닭갈비(1인) (14,000원)","토,일 12:00 ~ 23:30"
엘루이피자 건대점,피자,4.1,43,"서울 광진구 아차산로33길 35 1층
(지번) 화양동 8-4",37.5419397214626,127.070482168556,02-463-1365,"직화 불고기 피자 (19,900원), 페퍼로니 피자 (17,900원), 베이컨 포테이토 피자 (17,900원), 치즈 피자 (15,000원), 하와이안 피자 (17,900원), 고르곤졸라 피자 (17,900원), 양념치킨 (17,000원), 케이준 치킨 샐러드 (13,000원), 치즈시즈닝 감자튀김 (9,000원)",일 16:00 ~ 02:00
