이름,서브카테고리,평점,리뷰수,주소,위도,경도,전화번호,메뉴,영업시간
강강술래 시흥점,"육류,고기",3.5,202,"서울 금천구 시흥대로 193 금천ICT타워 2층
(지번) 시흥동 991",37.4509932654577,126.901277884409,02-808-1888,메뉴 없음,영업시간 매일 11:00 ~ 22:00
개성손만두요리전문점 가산디지털점,한식,4.5,228,"서울 금천구 가산로9길 22
(지번) 가산동 143-18",37.4768416493189,126.89052992797,02-851-8886,메뉴 없음,영업시간 매일 09:00 ~ 21:30
파티엘하우스,뷔페,3.0,72,"서울 금천구 디지털로 173 엘리시아빌딩 3층
(지번) 가산동 60-69",37.4779696398014,126.886068548417,02-865-1141,메뉴 없음,"영업시간 월,화,수,목,금,일 10:00 ~ 19:00"
도원,뷔페,3.5,154,"서울 금천구 범안로 1130 디지털엠파이어빌딩 1층 101호
(지번) 가산동 685",37.4655215598001,126.887672228018,02-861-6616,"도원 중식뷔페 도시락 ＋ 음료set (18,500원), 찹쌀탕수육 (22,000원), 백짬뽕 (11,000원), 삼선짬뽕 (11,000원), 삼선간짜장 (10,000원), 도원 중식뷔페 도시락 (17,000원), 모듬 안주 도시락 (23,000원), 짜장면 (7,000원), 차돌짬뽕 (12,000원), 게살볶음밥 (12,000원), 짬뽕밥 (8,500원), 팔보채 (30,000원), A코스 (40,000원), 짬뽕 (8,000원), 고추짬뽕 (11,000원), 볶음짬뽕 (10,000원), 홍합짬뽕 (10,000원), 삼선우동 (11,000원), 쟁반짜장 (9,000원), 삼선울면 (11,000원), 볶음밥 (9,000원), 새우볶음밥 (10,000원), 잡채밥 (10,000원), 짜장밥 (8,500원), 고추잡채밥 (11,000원), 마파두부덮밥 (10,000원), 특밥 (10,000원), 오징어덮밥 (10,000원), 새송이덮밥 (9,000원), 잡탕밥 (15,000원)",영업시간 매일 11:00 ~ 20:00 · 휴게시간 매일 15:00 ~ 16:30
삼숙이갈비 본점,갈비,4.1,74,"서울 금천구 벚꽃로 308 1층
(지번) 가산동 42-32",37.4819870291587,126.883088116031,02-864-8588,"수제돼지갈비(1인분) (18,000원), 소왕갈비(1인분) (29,000원), 소갈비살(1인분) (19,000원), 삼겹살(1인분) (17,000원), 생목살(1인분) (17,000원)",영업시간 매일 11:00 ~ 23:00 · 휴게시간 매일 15:00 ~ 16:30
동흥관,중국요리,2.8,214,"서울 금천구 시흥대로63길 20 B동 지하1층, 1,2층
(지번) 시흥동 115-10",37.4552239556402,126.898598446467,02-803-3759,"차돌짬뽕 (12,000원), 활조개짬뽕 (13,000원), 차돌마라탕면 (12,000원), 소고기탕면 (12,000원), 반접시탕수육＋차돌짬뽕 (22,000원), 세트（반접시 탕수육＋짜장） (17,000원), 세트（반접시 탕수육＋간짜장） (18,000원), 세트（탕수육＋맛짜장2） (24,000원), 짜장면 (8,000원), 간짜장 (9,000원), 삼선짬뽕 (12,000원), 볶음밥 (9,000원), 즉석 탕수육 (22,000원), 반접시탕수육＋2인분쟁반짜장 (30,000원), 세트 （반접시사천탕수육＋차돌짬뽕） (23,000원), 세트 （반접시깐풍기＋차돌짬뽕） (23,000원), 세트（반접시군만두＋짜장） (12,000원), 세트（반접시군만두＋짬뽕） (13,000원), 세트（반접시군만두＋볶음밥） (13,000원), 세트（반접시 탕수육＋짬뽕） (18,000원), 세트（반접시 탕수육＋볶음밥） (18,000원), 세트（깐풍기＋맛짜장2） (35,000원), 세트 （유린기＋맛짜장2） (35,000원), 세트（양장피＋맛짜장2） (40,000원), 세트（쟁반짜장2人＋탕수육） (38,000원), 세트（칠리새우＋맛짜장2） (50,000원), 세트（팔보채＋맛짜장2） (48,000원), 3人세트（양장피＋탕수육＋맛짜장3） (58,000원), 3人세트（유산슬＋사천탕수육＋맛짜장3） (68,000원), 3人세트（양장피＋칠리새우＋맛짜장3） (78,000원)",영업시간 매일 11:00 ~ 21:30
인크커피 가산점,커피전문점,4.0,"1,396","서울 금천구 가산디지털2로 127-20
(지번) 가산동 544-6",37.4793393924179,126.878073125818,02-854-7200,"자카파 밀크 (8,000원), 럼배럴 아메리카노 (6,500원), 과태말라 럼배럴 (8,000원), 브라질 파젠다 Um 카투카이 내츄럴 (7,500원), 에티오피아 예가체프 아라모 내츄럴 G1 (6,500원), 럼배럴 카페라떼 (6,800원), 럼배럴 크림커피 (6,800원), 인크 슈페너 (7,500원), 인크 아포가토 (8,000원), 아메리카노 (4,600원), 플랫화이트 (5,000원), 카페 라떼 (5,200원), 오틀리 라떼 (6,000원), 연유 라떼 (6,500원), 쿠키앤크림 블렌디드 (7,200원), 자몽 에이드 (7,000원), 시트러스 주스 (7,500원), 초코 라떼 (6,500원), 세러니티 (5,500원), 크림슨 펀치 (5,500원)",영업시간 월~금 09:00 ~ 21:00
돼지분식,분식,4.5,60,"서울 금천구 가산로9길 20 1층
(지번) 가산동 143-17",37.4768536292787,126.890720859849,,"떡라면 (4,500원), 만두 (3,500원), 만두국 (5,500원), 떡국 (5,500원), 떡만두 (5,500원), 칼국수 (5,500원), 수제비 (5,500원), 비빔국수 (5,500원), 쫄면 (5,500원)",영업시간 월~금 08:00 ~ 20:30
종로계림 닭도리탕원조 가산디지털단지점,닭요리,4.2,122,"서울 금천구 가산디지털1로 142 가산 더스카이밸리 1차 2층 228,229호
(지번) 가산동 371-57",37.4784047058322,126.883358589722,02-2067-0093,"마늘 닭도리탕 (대) (51,000원), 마늘 닭도리탕 (중) (39,000원), 마늘 닭도리탕 (소) (27,000원)",영업시간 월~금 11:00 ~ 22:00 · 휴게시간 월~금 15:00 ~ 16:30
통영해물가 가산2호점,"해물,생선",4.0,17,"서울 금천구 벚꽃로46길 1-5
(지번) 가산동 35-12",37.4831435177584,126.88249713678,02-852-8378,"생선회(대) (89,000원), 생선회(중) (77,000원), 생선회(소) (60,000원), 통영물회(특대) (82,000원), 통영물회(대) (70,000원), 통영물회(소) (58,000원), 통영해물탕(특대) (88,000원), 통영해물탕(대) (71,000원), 통영해물탕(소) (60,000원), 활우럭탕(대) (45,000원), 활우럭탕(소) (35,000원)",영업시간 월~금 14:00 ~ 23:00
