이름,서브카테고리,평점,리뷰수,주소,위도,경도,전화번호,메뉴,영업시간
무수옥,"육류,고기",3.5,148,"서울 도봉구 도봉로165길 15
(지번) 도봉동 600-4",37.6771588328553,127.044143069676,02-954-6292,"한우암소설렁탕 (12,000원), 한우암소육회비빔밥 (12,000원), 한우암소내장탕 (12,000원), 한우암소생등심 (48,000원), 한우암소육회 (30,000원), 한우암소수육 (30,000원)",영업시간 월~토 10:00 ~ 22:00
방학사거리짬뽕집 본점,중국요리,2.9,29,"서울 도봉구 도당로27길 22 1층
(지번) 방학동 649-41",37.6683205329158,127.041038428269,02-955-6558,메뉴 없음,월요일
하누소 창동본점,"육류,고기",2.6,182,"서울 도봉구 노해로 327 5층
(지번) 창동 337-1",37.6515058543634,127.04480620796,02-900-9800,"한우우마카세 (78,000원), 명품갈비탕 (17,000원), 함흥냉면 (12,000원), 어복쟁반(大) (80,000원), 하누소 정찬 A (45,000원), 하누소갈비탕 (16,000원), 한우양념갈비 (53,000원), 한우등심반상(런치) (35,000원), 한우갈비살반상(런치) (35,000원), 한우육회비빔밥 (16,000원), 명품갈비찜 大(3~4인) (63,000원), 한우504등심 (47,000원), 한우안심 (49,000원), 한우안창살 (58,000원), 일품양념갈비 (39,000원), 한우트러플육회 (30,000원), 한우불고기(1인분) (25,000원), 한돈수제양념갈비 (23,000원), 시그니처 혼례정찬 (88,000원), 하누소 정찬C 100(상견례상) (100,000원)",영업시간 매일 11:00 ~ 22:00
대문,한정식,3.5,43,"서울 도봉구 시루봉로 139-6 1층
(지번) 방학동 436-9",37.6637007124723,127.027547248279,02-956-0843,"간장게장(1미) (20,000원), 보리굴비(1미) (18,000원), 낙지볶음 (25,000원), 소갈비찜 (29,000원), 한우육회(200g) (30,000원), 난정식(1인) (30,000원), 수라정식(1인) (56,000원), 효정식(1인) (49,000원), 대문 특정식(1인) (39,000원), 대문정식(점심특선)(1인) (23,000원), 간장게장 정식(1인) (29,000원), 보리굴비정식(1인) (27,000원), 전복갈비찜정식(1인) (32,000원), 양념게장(250g) (12,000원), 생전복회(4미) (25,000원), 생전복버터구이(4미) (25,000원), 훈제연어(8pcs) (10,000원), 칠리새우(8마리) (20,000원), 소떡갈비 (15,000원), 보쌈 (23,000원)",영업시간 매일 11:30 ~ 21:00 · 휴게시간 매일 15:00 ~ 17:00
삼돌멸치쌈밥,쌈밥,4.0,"3,554","서울 도봉구 도봉산4나길 6-10 1층
(지번) 도봉동 281",37.6877997090617,127.042773580288,02-955-0701,"멸치쌈밥정식 (22,000원), 술상세트 (40,000원), 굴구이정식 (28,000원), 매생이굴국밥 (16,000원), 영양굴밥 (16,000원), 삼겹살 + 깍뚝목살 + 한우차돌박이 세트 (57,000원), 상위 1% 삼겹살 (180g) (17,000원), 명품깍뚝목살 (180g) (17,000원), 한우차돌박이 (150g) (25,000원)",영업시간 매일 11:00 ~ 21:30
쭈꾸미킹 쌍문점,"해물,생선",2.7,48,"서울 도봉구 도봉로 425 1층
(지번) 쌍문동 103-66",37.6441890107269,127.031596122485,02-900-7191,"쭈꾸미 볶음 (1인) (12,000원), 코다리조림 (1인) (12,000원), 철판쭈꾸미 (1인) (14,000원), 철판삼겹쭈꾸미 (1인) (15,000원), 쭈꾸미피자 세트1 (1인) (14,000원), 쭈꾸미피자 세트2 (1인) (16,000원), 철판쭈꾸미피자 세트3 (1인) (16,000원), 철판쭈꾸미피자 세트4 (1인) (18,000원), 철판삼겹쭈꾸미피자 세트5 (1인) (17,000원), 철판삼겹쭈꾸미피자 세트6 (1인) (19,000원)",영업시간 매일 11:00 ~ 21:30
소도둑 도봉동점,고기뷔페,3.8,18,"서울 도봉구 도봉로 909 1층
(지번) 도봉동 560-19",37.6856112995167,127.04572268609,02-955-8882,"무한제공 평일(100분) 성인 (25,800원), 무한제공 주말(100분) 성인 (27,800원), 선택무한제공(100분) 성인 (35,800원), 무한제공 (100분) 초등 (14,000원), 선택무한제공(100분) 초등 (15,800원), 유아(36개월 이상) (5,800원)",영업시간 매일 12:00 ~ 22:30
삼오집,"곱창,막창",3.4,99,"서울 도봉구 도봉로165길 4
(지번) 도봉동 596-23",37.6776992461076,127.044605780377,02-954-1916,"곱창전골 (소) (30,000원), 소고기버섯전골 (소) (30,000원), 곱창구이 (1인분) (18,000원), 모듬구이(1인분) (18,000원), 막창 (1인분) (18,000원), 대창 (1인분) (18,000원), 염통(1인분) (15,000원), 간천엽(1인분) (10,000원), 육회(1인분) (23,000원), 삼겹(1인분) (17,000원), 순두부 (10,000원)",영업시간 매일 11:30 ~ 23:00
도봉산양고기,"육류,고기",3.3,225,"서울 도봉구 도봉로191길 99-6
(지번) 도봉동 343-2",37.6899207996554,127.041739436159,02-3492-3324,"삼각갈비 (1인분) (28,000원), 등갈비 (1인분) (20,000원), 갈비살 (1인분) (17,000원), 보양전골 (중) (40,000원)",영업시간 매일 12:00 ~ 22:00
즐거운술상,"호프,요리주점",3.6,104,"서울 도봉구 노해로 341 신원리베르텔 1층 117호
(지번) 창동 338",37.6514452431588,127.045912956978,,"1인 코스 (50,000원)",영업시간 월~토 17:00 ~ 21:30
