이름,서브카테고리,평점,리뷰수,주소,위도,경도,전화번호,메뉴,영업시간
나정순할매쭈꾸미,"해물,생선",3.6,"1,111","서울 동대문구 무학로 144 1층
(지번) 용두동 119-20",37.5770746545606,127.030699225303,02-928-0231,메뉴 없음,영업시간 월~토 11:30 ~ 21:30 · 휴게시간 월~토 14:30 ~ 17:00
어머니대성집,해장국,3.5,667,"서울 동대문구 왕산로11길 4 1층
(지번) 용두동 232-26",37.5774742408426,127.028564198078,02-923-1718,메뉴 없음,영업시간 월 18:00 ~ 04:00
광주식당,한식,3.3,65,"서울 동대문구 경동시장로2길 49-4
(지번) 청량리동 773",37.580555841678,127.043784150437,02-969-4403,"청국장 (9,000원), 된장찌개 (9,000원), 김치찌개 (10,000원), 순두부 (9,000원), 동태찌개 (10,000원), 조기찌개 (10,000원), 갈치조림 (2인분) (22,000원), 제육볶음 (1인분) (16,000원), 오징어볶음 (1인분) (16,000원)",월요일
서울뼈구이매운족발,"족발,보쌈",3.5,687,"서울 동대문구 왕산로 274-1
(지번) 전농동 602-9",37.5850343644152,127.051280001821,02-965-5838,"뼈구이 (1인분) (13,000원), 뼈구의~리 (1인분) (14,000원), 미니족발 (20,000원), 양푼주먹밥 (3,000원), 날치알주먹밥 (4,000원)",월요일
한상차림밥상,한식,3.3,184,"서울 동대문구 한빛로 28 1층
(지번) 신설동 21",37.5778669590177,127.025941448638,010-9073-4141,"보쌈정식 (11,000원), 갈비찜정식 (13,000원), 돌솥보쌈정식 (13,000원), 돌솥갈비정식 (15,000원), 보쌈 (18,000원), 갈비 (20,000원)",월요일
영화장,중국요리,3.0,297,"서울 동대문구 휘경로 3-8 1-2층
(지번) 이문동 288-23",37.5965814813787,127.060942053934,02-967-9595,"양저우볶음밥 (13,000원), 탕수육 (23,000원), 사천탕수육 (26,000원), 유린탕수육 (26,000원), 깐소중새우 (33,000원), 깐풍중새우 (33,000원), 마늘중새우 (36,000원), 양장피 (30,000원), 전가복 (80,000원), 팔보채 (40,000원), 류산슬 (40,000원), 해물누룽지탕 (42,000원), 해삼탕 (80,000원), 삼선짬뽕 (12,000원), 삼선백짬뽕 (12,000원), 고추삼선짬뽕 (13,000원), 삼선간짜장 (10,000원), 짜장면 (8,000원), 짜장밥 (9,000원), 삼선짬뽕밥 (12,500원), 삼선백짬뽕밥 (12,500원), 잡탕밥 (22,000원), 군만두 (8,000원), 깐풍육 (26,000원), 고추삼선간짜장 (11,000원)",월요일
놀부만두,분식,3.6,224,"서울 동대문구 망우로16길 15 1층
(지번) 휘경동 276-33",37.5893525413018,127.061487903115,02-2241-7550,"고기통만두 (10개) (6,000원), 김치만두 (8개) (6,000원), 판모밀 (8,000원), 비빔모밀 (8,000원), 온모밀 (8,000원), 유부우동 (7,000원), 쫄면 (8,000원), 비빔밥 (8,000원), 사골만두국 (8,000원), 사골떡만두국 (8,000원), 사골떡국 (8,000원)","영업시간 월,화,수,목,금,일 11:00 ~ 20:00"
민들레영토 경희대점,커피전문점,4.9,79,"서울 동대문구 경희대로1길 34 1-2층
(지번) 회기동 60-84",,,02-959-3733,"문화마을 (5,000원), 커피 (1,000원), 케이크 (4,000원), 치즈오븐떡볶이 (7,000원), 빠네크림파스타 (15,000원)",월요일
달인군만두,분식,4.0,80,"서울 동대문구 전농로2가길 13 1층
(지번) 답십리동 488-39",37.5674464676207,127.057239925693,010-6487-2465,"원조 군만두(10개) (2,000원), 김치 군만두(10개) (2,000원)",영업시간 월~토 12:00 ~ 19:00
신락원,중국요리,3.6,94,"서울 동대문구 전농로20길 2 1층
(지번) 전농동 60-32",37.5788979681127,127.057164463607,02-2244-0008,"양장피 (38,000원), 오향장육 (38,000원), 해파리냉채 (28,000원), 삼풍냉채 (40,000원)",월요일
안동집,국수,3.4,189,"서울 동대문구 고산자로36길 3 경동시장 신관 지하1층 8-2호
(지번) 제기동 1021",37.5790377655561,127.039142935818,02-965-3948,"손국시 (8,000원), 건진국시 (8,000원), 비빔밥 (8,000원), 수육 (12,000원), 부추전 (8,000원), 배추전 (8,000원)",영업시간 월~금 10:00 ~ 18:00 · 휴게시간 월~금 15:30 ~ 16:30
혜성칼국수,칼국수,3.7,422,"서울 동대문구 왕산로 247-1 1층
(지번) 청량리동 50-18",37.5834249035109,127.04898605372,02-967-6918,"멸치칼국수 (10,000원), 닭칼국수 (10,000원)",월요일
먹깨비,"해물,생선",3.6,240,"서울 동대문구 장한로 92 화성빌딩 105~107호
(지번) 장안동 365-6",37.5688108189618,127.069843827191,02-2249-2158,"꽃게탕/찜(중) (65,000원), 간장게장(소) (58,000원), 갈치조림(소) (39,000원), 해물탕/찜(소) (49,000원), 철판낙지(중) (39,000원), 꽃게범벅(소) (59,000원), 양념게장(소) (50,000원), 섞어찜(소) (59,000원), 새우구이 (30,000원), 전복찜 (60,000원), 낙지볶음(소) (30,000원), 산낙지 (30,000원), 연포탕(소) (39,000원)",매일 00:00 ~ 24:00
