이름,서브카테고리,평점,리뷰수,주소,위도,경도,전화번호,메뉴,영업시간
을밀대 본점,냉면,4.2,"1,148","서울 마포구 숭문길 24
(지번) 염리동 147-6",37.5474926724344,126.945531718956,02-717-1922,메뉴 없음,영업시간 매일 11:00 ~ 22:00
와이키키마켓,"육류,고기",3.8,707,"서울 마포구 마포나루길 332
(지번) 상암동 1537-2",37.5588960431358,126.888660482013,02-854-8000,메뉴 없음,영업시간 매일 11:30 ~ 23:00
크레이지카츠,"돈까스,우동",4.0,557,"서울 마포구 포은로2나길 44 2층
(지번) 합정동 391-5",37.5504517603956,126.909712822276,070-8621-7219,"반반정식 (200g) (15,000원), 모둠정식 (230g) (18,000원), 냉소바 (10,000원), 크레이지 세트 (38,000원), 크레이지 돈맥 세트 (43,000원), 크레이지 돈볼 세트 (45,000원), 로스카츠정식 (180g) (13,000원), 히레카츠정식 (180g) (14,000원), 특로스카츠정식 (230g) (당일한정수량) (18,000원), 로스카츠 커리라이스 (13,000원), 에비후라이 커리우동 (10,500원), 커리우동 (9,000원), 야채 튀김 우동 (9,000원)",영업시간 매일 11:30 ~ 21:00 · 휴게시간 매일 15:00 ~ 17:00
당인동국수공장,국수,3.6,113,"서울 마포구 와우산로3길 48-3
(지번) 당인동 25-9",37.5457899173517,126.920242432764,02-337-3007,"당인냉면 (13,000원), 당인온면 (13,000원), 비빔 메밀면 (13,000원), 들기름 메밀면 (13,000원), 어복쟁반 (48,000원), 당인온반 (13,000원), 옥수수온면 (13,000원), 곱창전골 (48,000원), 소고기수육 (33,000원), 소고기초무침 (30,000원), 돼지고기편육 (15,000원), 녹두전 (15,000원)",월요일
아소정,냉면,3.7,434,"서울 마포구 백범로25길 9 1층
(지번) 염리동 149-9",37.546604494117,126.946376651787,02-703-5959,"궁중 갈비찜（끓여서） (56,000원), 궁중 갈비찜 （조리 후 식혀서） (53,000원), 국물 많은 불고기 전골 2人 (35,000원), 깔끔한 맛 갈비탕 1人 (14,000원), 물냉면 (10,000원), 비빔냉면 (10,000원), 회냉면 (12,000원), 섞음냉면 (12,000원), 대원군냉면 (10,000원), 매운 청양고추 냉면 (10,000원), 여린무 물냉면 (10,000원), 여린무 비빔냉면 (10,000원), 말도마라 매운갈비찜（끓여서） (56,000원), 말도마라 매운갈비찜（조리 후 식혀서） (53,000원), 말도마라 매운비빔냉면 (10,000원), 깔끔한 맛 갈비탕（조리후 식혀서） (13,000원), 말도마라 매운갈비탕 1인 (15,000원), 말도마라 매운갈비탕（조리 후 식혀서） 1인 (14,000원), 국물 많은 불고기 전골（비조리） 2인 (33,000원), 깔끔한맛 특갈비탕 (17,000원), 가오리무침（소）（2인） (15,000원), 가오리무침（대）（3~4인） (25,000원), Aset (65,000원), Bset (89,000원), Cset (119,000원), 말도마라 A set（2~3인） (65,000원), 말도마라 B set（3~4인） (89,000원)",영업시간 매일 11:30 ~ 21:30 · 휴게시간 매일 15:00 ~ 17:00
마포나루 도화본점,한정식,4.3,81,"서울 마포구 삼개로 11 1층
(지번) 도화동 201-39",37.539367295599,126.947760216592,02-711-5959,"닭찜 (38,000원), 나루함박햄전골 (30,000원), 생굴+나루보쌈 (38,000원), 홍어+나루보쌈 (38,000원), 나루육개장 (8,000원), 나루국밥 (8,000원), 해물파전 (19,000원)",영업시간 월~토 11:30 ~ 22:00 · 휴게시간 월~금 14:30 ~ 16:30
피오니 홍대점,디저트카페,3.8,572,"서울 마포구 독막로7길 51 1층
(지번) 서교동 395-78",37.5500851944722,126.919764712297,02-333-5325,"드립커피 (4,500원), 드립커피라떼 (5,500원), 드립커피바닐라라떼 (6,000원), 드립커피크림라떼 (7,000원), 녹차 (5,000원), 홍차 (5,000원), 허브차 (5,000원), 딸기빙수 (11,000원), 딸기주스 (7,000원), 녹차라떼 (5,000원), 아이스초코/핫초코 (5,800원)",영업시간 매일 12:00 ~ 22:00
원조조박집 본관,"육류,고기",4.2,289,"서울 마포구 토정로 313-1 1층
(지번) 용강동 40-1",37.5399716114492,126.943866192022,02-712-7462,"한우주물럭(1인분 200g) (50,000원), 돼지갈비(1인분 250g) (19,000원), 생갈비(1인분 250g) (23,000원), 돼지갈비포장(600g) (29,000원), 동치미포장(1kg) (7,000원), 총각김치포장(900g) (13,000원), 식혜포장(1리터) (7,000원), 된장찌개 (1,000원), 동치미국수 (2,000원)",영업시간 월~토 11:00 ~ 22:00 · 휴게시간 월~토 15:00 ~ 17:00
망원동 즉석우동 전문돈까스 본점,"돈까스,우동",3.9,943,"서울 마포구 동교로 83 1층
(지번) 망원동 386-4",37.5542486631229,126.911148349271,02-336-1330,"즉석우동 (7,000원), 어묵우동 (8,000원), 어묵(1인분) (7,000원), 돈까스 (10,000원)",영업시간 월~토 11:00 ~ 22:00
장수갈매기 본점,"육류,고기",3.7,256,"서울 마포구 도화길 46 1층
(지번) 도화동 182-11",37.541666740877,126.950702614395,02-716-7766,"갈매기살 (200g) (17,000원), 돼지갈비 (200g) (17,000원), 소금구이 (200g) (17,000원), 삼겹살 (200g) (17,000원), 껍데기 (10,000원), 열무국수 (2,000원)",영업시간 매일 10:00 ~ 23:30
바다회사랑,회,3.4,816,"서울 마포구 동교로27길 60 1층
(지번) 연남동 566-8",37.5604147426721,126.921061101833,02-338-0872,"광어(대) (75,000원), 광어(중) (65,000원), 광어(소) (45,000원), 우럭 (대) (70,000원), 우럭 (중) (60,000원), 광어&우럭 (대) (75,000원), 광어&우럭 (중) (65,000원), 참돔 (대) (95,000원), 참돔 (중) (80,000원), 참돔 (소) (65,000원), 모듬회 (대) (80,000원), 모듬회 (중) (70,000원), 모듬회 (소) (60,000원), 농어 (대) (95,000원), 농어 (중) (80,000원), 농어 (소) (65,000원), 꽃멍게 (30,000원), 비단멍게 (30,000원), 돌멍게 (30,000원)",월요일
마루심 마포점,장어,4.4,225,"서울 마포구 토정로 316 성진빌딩 1층
(지번) 용강동 51-3",37.5395191234938,126.943476279419,02-711-1378,"(상)히쯔마부시 (39,000원), (미니) 히쯔마부시 (25,000원), 마루심 무지개 SET (55,000원), 마루심 눈꽃 SET (55,000원), (특) 우나동 (53,000원), (특)히쯔마부시 (53,000원)",영업시간 매일 11:00 ~ 22:00 · 휴게시간 월~금 15:00 ~ 17:00
앤트러사이트 합정점,커피전문점,3.6,262,"서울 마포구 토정로5길 10
(지번) 합정동 357-6",37.5458190457697,126.918434124547,02-336-7850,"아메리카노 (5,500원), 카페라떼 (6,000원), 솔티카라멜커피 (7,500원), 레몬 에이드 (7,000원), 뱅쇼 (8,000원), 에스프레소 (5,500원), 플랫화이트 (6,000원), 카푸치노 (6,000원), 바닐라라떼 (7,000원), 카페모카 (7,000원), 콜드브루바닐라라떼 (7,500원), 레몬티 (6,500원), 밀크티 (7,500원), 오늘의필터커피 (5,500원), 초콜렛밀크 (7,000원), 콜드브루 라떼 (6,500원)",영업시간 매일 09:00 ~ 22:00
여우골 홍대점,"초밥,롤",4.2,160,"서울 마포구 와우산로19길 9 2층
(지번) 서교동 363-24",37.5511310178553,126.922652400213,02-325-8717,"모듬초밥 (12,000원), 연어초밥 (17,000원), 특선초밥 (17,000원), 여우초밥 (22,000원), 도로초밥 (30,000원), 장어 낱개초밥 (3,000원), 장새우 낱개초밥 (2,500원), 배꼽살 (40,000원), 머리살 (37,000원), 쥬도로 (36,000원), 가마도로 (40,000원), 오도로 (38,000원), 도로 낱개초밥 (3,000원), 엔가와 낱개초밥 (2,500원), 연어뱃살 낱개초밥 (2,500원), 연어 낱개초밥 (1,700원), 찐새우 낱개초밥 (1,500원), 문어 낱개초밥 (1,500원)",영업시간 매일 11:00 ~ 22:00 · 휴게시간 월~금 15:00 ~ 16:30
카미야,"돈까스,우동",4.2,498,"서울 마포구 와우산로21길 28-6 지하1층
(지번) 서교동 358-39",37.5525831557199,126.922376917358,02-322-5733,"오코노미가츠 (9,000원), 믹스가츠 (10,500원), 로스 히레가츠 (9,500원), 에비 치즈가츠 (11,000원), 히레 치즈가츠 (10,000원)",영업시간 매일 11:00 ~ 21:30
백년토종삼계탕 본점,삼계탕,3.6,31,"서울 마포구 양화로 118 1층
(지번) 서교동 354-12",37.5538260940611,126.920231832244,02-325-3399,"토종삼계탕 (18,000원), 후라이드치킨 (17,000원), 닭볶음탕 (36,000원), 들깨삼계탕 (20,000원), 흑마늘삼계탕 (21,000원), 녹두삼계탕 (20,000원), 옻계탕 (20,000원), 산삼배양근삼계탕 (24,000원), 콜라 (2,000원), 사이다 (2,000원), 공기밥 (1,000원)",영업시간 매일 09:00 ~ 22:00
마포왕족발,"족발,보쌈",3.7,218,"서울 마포구 만리재로 19 1층
(지번) 공덕동 256-10",37.5447947887537,126.953258247848,02-717-2126,"족발(대) (40,000원), 냉채족발 앞다리 (48,000원), 반반매운족발 앞다리(대) (47,000원), 매운족발(대) (47,000원), 파족발 앞다리 (48,000원), 돼지국밥 (10,000원), 순대국 (10,000원), 얼큰탕 (10,000원), 내장탕 (10,000원), 머리고기 (25,000원), 쟁반국수 (13,000원), 술국 (20,000원)",영업시간 매일 08:00 ~ 03:00
진진,중식,3.6,335,"서울 마포구 월드컵북로1길 60 1층
(지번) 서교동 375-35",37.553806747709,126.918422364162,070-5035-8878,"대게살볶음 (37,000원), 멘보샤 (25,000원), 해물짬뽕 (11,000원), 전복팔보채 (54,000원), 홍믄생선 (45,000원), 두찌전복 (70,000원), 깐풍대하 (12,000원), 깐쇼대하 (12,000원), 카이란 전복 (48,000원), 주유원제 (45,000원), 자연송이볶음 (150,000원), 마의상수 (28,000원), 해삼 전복 (150,000원), 샤오기 (26,000원), 카이란 소고기 볶음 (35,500원), 깐풍기 (26,000원), 마파두부 (22,000원), 깐쇼새우 (30,000원), XO볶음밥 (11,000원), 금사오릉 (49,000원), 칭찡우럭 (43,000원), 어향가지 (24,000원), 소고기 양상추 쌈 (33,500원), 아스파라거스와 전복 (52,000원)",영업시간 월~토 11:30 ~ 21:30 · 휴게시간 매일 15:00 ~ 17:00
카와카츠 본점,"돈까스,우동",4.2,553,"서울 마포구 동교로 126 광남벨라스아파트 1층 102호
(지번) 서교동 465-1",37.5547412384639,126.916201018938,070-8801-2053,"카와 로스카츠 정식 (220g) (13,000원), 카와 히레카츠 정식 (230g) (14,000원), 카와 특로스카츠 정식 (240g) (16,000원), 카와 모둠카츠 정식 (로스220g) + (히레80g ) (17,000원), 카와 오로시카츠 정식 (로스) (14,000원)",영업시간 월~토 11:30 ~ 20:00 · 휴게시간 월~토 15:00 ~ 17:00
스케줄 합정,양식,3.3,"2,459","서울 마포구 양화로6길 33 홍타운 1층
(지번) 서교동 394-17",37.5491292880159,126.916081577079,02-322-2622,"스케줄김치볶음밥 (17,000원), 와규 스테이크 크림 리조또 (33,000원), 차돌 대파 떡볶이 (26,000원), 우니오일스파게티니 (32,000원), 1++no.9. 채끝등심 (200g) (68,000원), 새우 로제 스파게티니 (25,000원), 우니&와규 스테이크 (180g) (55,000원), 완도 전복 리조또 (29,000원), 그릴드 풍기 리조또 (25,000원), 쉬림프, 바질 파스타 (25,000원), 리코타 치즈 샐러드 (18,000원), 갑오징어 오일 파스타 (25,000원), 고르곤졸라 피자 (22,000원), 페퍼로니 피자 (25,000원), 차돌 청양 피자 (25,000원), 갈릭 쉬림프 피자 (26,000원), 제주 애플 망고 빙수 (36,000원), 멜론 빙수 (29,000원), 샤인머스켓 빙수 (32,000원), 반반 빙수 (32,000원)",영업시간 매일 11:00 ~ 23:00
