이름,서브카테고리,평점,리뷰수,주소,위도,경도,전화번호,메뉴,영업시간
서관면옥 교대본점,냉면,4.1,455,"서울 서초구 서초대로56길 11 1층
(지번) 서초동 1675-5",37.4939907944744,127.017269436895,02-521-9945,"평양냉면 (16,000원), 선비냉면 (16,000원), 골동냉면 (16,000원), 맛박이냉면 (18,000원), 랭반 (17,000원), 서관면상 (점심특선) (18,000원), 한우수육 (35,000원), 돝제육 (21,000원), 서관만두 (13,000원), 녹두빈대떡 (19,000원), 어복쟁반 (작은반) (80,000원)",영업시간 매일 11:00 ~ 21:00 · 휴게시간 매일 15:00 ~ 17:00
임병주 산동칼국수,칼국수,3.3,"1,353","서울 서초구 강남대로37길 65 2층
(지번) 서초동 1365",37.4845663234169,127.029985196755,02-3473-7972,메뉴 없음,월요일
배나무골 양재본점,한식,4.0,12,"서울 서초구 마방로2길 12 보성빌딩 지하1층
(지번) 양재동 241-3",37.4730945210073,127.039129900303,02-571-5252,"배나무골정식 (23,000원), 보리굴비정식 (26,000원), 연화코스 (49,000원), 오봉코스 (60,000원)",영업시간 월~토 11:30 ~ 21:30 · 휴게시간 월~금 15:00 ~ 17:00
일품진진수라 강남점,한정식,3.5,488,"서울 서초구 서초대로 254 오퓨런스빌딩 지하 2층
(지번) 서초동 1553-5",37.4920207116979,127.009620980568,02-6250-3110,"간장게장반상 (40,900원), 오분자기뚝배기반상 (35,900원), 궁중구절판 (30,000원), 궁중해물탕 (30,000원), 떡갈비구이 (30,000원), 궁중팥갈비찜 (35,000원), 송화버섯갈비구이 (40,000원)",영업시간 매일 11:00 ~ 21:30 · 휴게시간 매일 15:00 ~ 17:00
조양관,한정식,3.0,625,"서울 서초구 서초대로74길 29 서초파라곤오피스텔 1층, 지하1층
(지번) 서초동 1327-29",37.49494258899,127.027426341397,02-3473-8181,"갈비찜 (대) (50,000원), 갈비찜 (소) (30,000원), 대하구이 (40,000원), 더덕 오징어 구이 (25,000원), 떡갈비 (30,000원), 메로구이 (30,000원), 모듬회 (50,000원), 문어숙회와 해조찜 (40,000원), 바싹 불고기 (25,000원), 보리굴비찜 (20,000원), 복분자 장어구이 (65,000원), 삼합 (대) (50,000원), 삼합 (소) (30,000원), 상견례 특선 (50,000원), 구절판 (0원), 삼합 (0원), 상차림 양(陽) (0원), 상차림 (0원), 상차림 관(館) (0원), 상차림 조(朝) (0원)",영업시간 월~금 11:20 ~ 21:30 · 휴게시간 월~토 15:00 ~ 17:20
초선과여포 본점,중국요리,4.0,206,"서울 서초구 서초대로78길 44 2층
(지번) 서초동 1330-16",37.493807077575,127.028452355866,02-525-9890,"짜장면 (8,000원), 삼선볶음밥 (9,500원), 레몬꿔바로우(소) (31,000원), 생등심 찹쌀등심탕수육(소) (27,000원), 생등심 찹쌀등심탕수육(중) (32,000원), 소고기 탕수육(소) (41,000원), 사천탕수육 (36,000원), 어항동구 (48,000원), 전가복 (78,000원), 칠리중새우 (45,000원)",영업시간 월~금 11:00 ~ 21:40 · 휴게시간 월~금 15:00 ~ 17:00
봉산옥 서초동본점,한식,3.6,205,"서울 서초구 반포대로8길 5-6 1층
(지번) 서초동 1451-8",37.4833822130797,127.012453383943,02-525-2282,"봉산만둣국 (14,000원), 김치말이국수 (냉) (13,000원), 열무회국수 (13,000원), 삯국수 (12,000원), 양푼열무비빔밥 (10,000원), 접시만두 (14,000원), 오징어순대 (28,000원), 녹두빈대떡 (22,000원), 만두전골 (대) (55,000원), 만두전골 (소) (45,000원), 궁중갈비찜 (1인) (30,000원), 매운갈비찜 (1인) (30,000원), 소고기전 (18,000원)",영업시간 월~금 11:00 ~ 21:20 · 휴게시간 월~토 14:30 ~ 17:00
묘오또 방배점,"돈까스,우동",4.1,247,"서울 서초구 방배로28길 16 세광빌딩 1층
(지번) 방배동 850-1",37.4903293489337,126.993072909968,,"일본식 돈까스 (10,000원), 치즈철판 돈까스 (13,000원), 가케우동 (10,000원), 가케우동 세트 (15,000원), 붓가케우동 (10,000원), 메밀소바 (10,000원), 메밀소바 세트 (15,000원), 모듬튀김 (5,000원), 돈까스 소바정식 (16,000원), 돈까스 정식 (평일점심) (15,000원), 가케우동 세트 (평일점심) (14,000원), 붓가케우동 세트 (평일점심) (14,000원), 붓가케우동 세트 (15,000원), 치쿠와 붓가케우동 (12,000원), 에비텐 가케우동 (12,000원), 가케소바(온) (10,000원), 에비텐 가케소바(온) (12,000원), 돈까스정식 (17,000원), 치쿠와 가케우동 (12,000원), 냄비우동 (13,000원), 냄비우동 세트 (18,000원)",영업시간 매일 11:00 ~ 20:30 · 휴게시간 매일 14:40 ~ 17:30
일일향 강남3호점,중국요리,3.0,35,"서울 서초구 서초대로78길 22 홍우빌딩 3층
(지번) 서초동 1327-2",37.4958057253368,127.027547429997,02-555-8133,"깐풍기 (2~3인기준) (30,000원), 유린기 (2~3인기준) (30,000원), 육즙 돼지고기 탕수육 (2~3인기준) (28,000원), 짜장면 (밥) (7,000원), 옛날짬뽕 (밥) (8,000원), 옛날 볶음밥+후라이 (8,000원), 잡채볶음밥+후라이 (12,000원)",영업시간 매일 11:30 ~ 21:00 · 휴게시간 매일 15:00 ~ 17:00
초동집 본점,"육류,고기",4.0,172,"서울 서초구 방배천로 22 1층
(지번) 방배동 452-4",37.4784686930161,126.982851828231,02-585-2722,"삼겹살(150g) (16,000원), 제비추리(130g) (37,000원), 차돌박이(130g) (27,000원), 토시살(150g) (49,000원), 돼지갈비(250g) (18,000원), 돼지모듬(600g) (55,000원), 한우등심(150g) (38,000원), 살치살(130g) (46,000원), 한우육회(180g) (33,000원), 한우모듬(350g) (69,000원), 고급한우모듬(400g) (125,000원)",월~금 09:00 ~ 22:00
