이름,서브카테고리,평점,리뷰수,주소,위도,경도,전화번호,메뉴,영업시간
해주냉면,냉면,3.5,198,"서울 송파구 백제고분로7길 8-16 1층
(지번) 잠실동 195-9",37.5096527123279,127.079773391153,02-424-7192,메뉴 없음,월~토 11:30 ~ 21:00
명인밥상,한정식,3.1,172,"서울 송파구 송이로 157 지하1층
(지번) 가락동 124-21",37.4931918951358,127.125238187143,02-409-3355,메뉴 없음,매일 15:00 ~ 17:00
황도바지락칼국수,칼국수,3.6,579,"서울 송파구 백제고분로 358 1층
(지번) 석촌동 286-9",37.5042941822869,127.106094189934,02-417-5058,"칼국수 (12,000원), 왕만두 (7,000원), 미니보쌈 (17,000원)",매일 10:00 ~ 22:00
진지아,중국요리,4.3,"1,128","서울 송파구 백제고분로41길 12-9 1-2층
(지번) 송파동 23-10",37.5075796350977,127.108247193024,02-418-5354,"마라곱창전골 (34,000원), 진지아 꿔바로우 (22,000원), 삼선 해물 누룽지전골 (35,000원), 망고 크림새우 (17,000원), 곱창마라샹궈 (35,000원), 팔보채 (42,000원), 몽골리안비프 (32,000원), 청경채 마늘볶음 (19,000원), 쯔란 등갈비 (28,000원), 연유 꽃빵튀김（3개） (4,000원), 전가복 (65,000원), 깐풍육 (25,000원), 어향소스 가지튀김 (22,000원), 칠리소스 중새우 (25,000원), 새우 볶음밥 (12,000원), 게살 볶음밥 (14,000원), 마파두부 덮밥 (14,000원), 마라 직화 소고기탕면 (14,000원), 마라곱창국수 (14,000원), 새우 완탕면 (13,000원), 공기밥 (1,500원), 코카콜라 （355mL） (2,000원), 스프라이트 （355mL） (2,000원), 빙홍차 (3,000원)",월~금 11:45 ~ 22:00 · 휴게시간 월~금 16:00 ~ 17:00
청와옥 석촌호수점,순대,3.4,599,"서울 송파구 삼학사로 96 1층
(지번) 석촌동 2",37.5056889929139,127.097455125368,02-422-0550,"청와옥 순대국밥(보통) (10,000원), 청와옥 편백정식 (15,000원), 얼큰 순대국밥(보통) (11,000원), 청와옥 솥밥정식(보통) (12,000원)",매일 08:00 ~ 22:00
군산오징어 잠실본점,"해물,생선",3.5,115,"서울 송파구 삼학사로 101 군산오징어빌딩 1,2층
(지번) 삼전동 130-14",37.5062829479541,127.097001917858,02-413-2046,"오징어불고기 (32,000원), 오삼불고기 (32,000원), 오차돌불고기（오징어＋차돌） (36,000원), 오낙불고기 (36,000원), 갑오징어불고기 (44,000원), 갑오삼불고기 (44,000원), 오징어튀김 (16,000원), 새우튀김 (15,000원), 오징어＋새우튀김 (16,000원), 오낙전골 (42,000원), 오버섯차돌전골 (38,000원), 오징어숙회 (17,000원), 오징어순대 (20,000원), 해초한치물회 (28,000원), 돈까스 (8,000원), 오싹막국수 (7,000원), 오징어초무침 (16,000원), 주먹밥 (3,000원), 공기밥 (1,500원), 미나리 전 (12,000원), 칠성사이다 캔 355mL (2,000원), 콜라 캔 355mL (2,000원), 환타（파인） 캔 355mL (2,000원), 참이슬 (5,000원), 진로 (5,000원), 처음처럼 (5,000원), 카스 (6,000원), 클라우드 (7,000원), 레드와인（로라 하트윅 까베르네 쇼비뇽 싱글빈 야드） (34,200원), 테라 (6,000원)",매일 11:30 ~ 22:30
육화식당,삼겹살,4.3,379,"서울 송파구 올림픽로32길 29 1-2층
(지번) 방이동 70",,,02-424-6882,"소고기된장찌개 (7,000원), 대게장볶음밥 (7,000원), 암돼지꽃목살 (180g) (17,000원), 암돼지본삼겹 (180g) (17,000원), 한우투뿔등심 (150g) (38,000원), 한우육회(200g) (26,000원), 암돼지오겹살 (180g) (17,000원), 한우투뿔차돌(150g) (25,000원)",영업시간 월~금 16:00 ~ 00:30
진대감 방이점,"육류,고기",4.1,"1,989","서울 송파구 오금로13길 6 오선빌딩 1층
(지번) 방이동 67",37.5130833187935,127.108454439821,02-416-2472,"한우차돌삼합 (29,000원), 한우투뿔모듬 (119,000원), 한우파김치전골 (55,000원), 한우차돌박이 (29,000원), 한우꽃게된장찌개 (12,000원), 한우차돌짬뽕라면 (10,000원), 갓김치물냉면 (10,000원), 갓김치비빔냉면 (10,000원), 구수한누룽지 (8,000원), 날치알볶음밥 (6,000원), 누룽지계란찜 (6,000원), 점심)한우꽃게된장찌개밥상 (12,000원), 점심)한돈파김치전골밥상 (11,000원), 점심)한우차돌짬뽕라면밥상 (10,000원), 점심)시원한 묵밥밥상 (10,000원), 점심)벌교꼬막비빔밥상 (11,000원), 벌교꼬막비빔밥 (11,000원), 생관자 (15,000원), 차돌초밥용 밥 (5,000원)",매일 11:30 ~ 22:00
삿뽀로 방이점,일식집,3.8,69,"서울 송파구 오금로11길 7 제이타워빌딩 2층
(지번) 방이동 24-3",37.5145543838088,127.10796656942,02-418-7797,"런치스페셜 C (37,000원), 스시 정식 (31,000원), 특스시 정식 (39,000원), [평일 런치] 사모님 정식 (30,000원), [디너] 모듬사시미 정식 (62,000원)",매일 11:30 ~ 22:00
화반 방이점,삼겹살,4.3,189,"서울 송파구 오금로13길 8 1층
(지번) 방이동 67-7",37.513188796365,127.108585120773,02-418-9292,"숙성삼겹살 180g (18,000원), 화반Set 510g(3인) (58,000원), 숙성목살 180g (18,000원), 벌집껍데기 (12,000원), 한우꽃갈비살 130g (25,000원), 순두부찌개 (9,000원), 숙성갈매기살 150g (19,000원), 한우꽃등심 130g (38,000원), 한우차돌박이 150g (27,000원), 한우육회 (25,000원), 숙성가브리살 150g (19,000원), 숙성항정살 150g (19,000원)","월,화,수,목,일 11:30 ~ 01:00"
