이름,서브카테고리,평점,리뷰수,주소,위도,경도,전화번호,메뉴,영업시간
대박곱창 본점,"곱창,막창",4.3,198,"서울 양천구 오목로 170 태남프라자 1층
(지번) 신정동 949-3",37.5248447165993,126.856176788194,02-2601-8892,메뉴 없음,월~토 15:00 ~ 23:30
락희안 목동점,중국요리,4.0,75,"서울 양천구 오목로 330 2-3층
(지번) 목동 405-285",,,0507-1492-7579,메뉴 없음,월요일
원두막,갈비,3.0,51,"서울 양천구 신목로 56 2-3층
(지번) 신정동 296-77",,,02-2061-1212,"한우모듬구이 (130g) (32,000원), 한우양념구이 (150g) (29,000원), 일품소왕갈비 (280g) (34,000원), 한우꽃등심 (130g) (35,000원), 한우꽃살 (130g) (43,000원), 한우차돌박이 (130g) (27,000원), 한우갈비살 (130g) (36,000원), 삼겹살 (200g) (16,000원), 돼지왕갈비 (300g) (18,000원), 참숯훈제오리 (200g) (17,000원), 한우육사시미 (170g) (34,000원), 한우육회 (200g) (29,000원), 원두막보쌈 (43,000원), 유황오리보쌈 (1마리) (39,000원), 보리밥정식 (10,000원), 한우국밥 (10,000원), 영양왕갈비탕 (13,000원), 한우육회비빔밥 (14,000원), 한우불고기쌈밥정식 (15,000원), 함흥물냉면 (11,000원), 함흥비빔냉면 (11,000원)",매일 10:00 ~ 22:00
카멜리온,"제과,베이커리",4.5,276,"서울 양천구 오목로 196 1층
(지번) 신정동 987-1",37.525185337435,126.859202861547,,"멜론크림빵 (4,000원), 녹차 멜론빵 (3,900원), 가리쿠로멜론 (4,000원), 정통 멜론빵 (2,400원), 양버터 (5,000원), 밤밤 (4,600원), 키나코네（인절미멜론빵） (4,500원), 치즈페퍼로니 (3,600원), 단호박 (4,500원), 달콤짭짤 커피번 (2,700원), 천연버터 스콘 (3,000원), 천연버터 초코호두 스콘 (3,600원), 하동 녹차 라떼 (3,600원), 진한 단호박 라떼 (3,600원), 짱구 라무네 멜론맛 （병） (3,500원), 로얄 밀크티 (3,600원), 달콤한 초코라떼 (3,600원)","월,화요일"
더아리엘 목동점,뷔페,3.4,326,"서울 양천구 오목로 300 현대하이페리온2 206동 지하1층 109~115호
(지번) 목동 961-1",37.5248304019543,126.87002254331,02-2655-0770,"주말&공휴일 성인 (중학생이상) (65,900원), 평일점심 소인 (초등학생) (33,000원), 평일저녁 소인 (초등학생) (44,000원), 주말&공휴일 소인 (초등학생) (44,000원), 유아 (20년생~취학전) (22,000원), 평일런치 성인 (중학생이상) (42,000원), 평일디너 성인 (중학생이상) (65,900원)","월,화요일"
대박곱창 신정점,"곱창,막창",4.3,33,"서울 양천구 신월로 340
(지번) 신정동 1026-2",37.5215710318525,126.858878432075,02-2651-0852,"야채곱창 (10,000원), 야채순대 (10,000원), 순대곱창 (11,000원), 치즈곱창 (11,000원), 알곱창 (11,000원)",매일 15:00 ~ 00:30
한우나주곰탕,곰탕,3.8,217,"서울 양천구 오목로 313-2 1층
(지번) 목동 406-120",37.525269487582,126.872527785909,02-2645-3999,"수육 (중) (35,000원), 전골 (45,000원), 솥밥 나주곰탕 (12,000원), 솥밥 진곰탕 (14,000원), 솥밥 특 곰탕 (15,000원), 솥밥 특 진곰탕 (17,000원), 솥밥 갈비탕 (17,000원), 솥밥 무릅도가니 (20,000원), 솥밥 내장탕 (13,000원), 수육+솥밥곰탕 (24,000원), 특 전골 (65,000원), 수육 (대) (50,000원), 죽 (3,000원), 솥밥 (3,000원)",매일 08:30 ~ 22:30
항아리보쌈,"족발,보쌈",4.3,25,"서울 양천구 신목로 48 1층
(지번) 신정동 296-69",37.5196507729128,126.873472388159,02-2696-0053,"굴보쌈 (소) (35,000원), 커플세트 (2인) (39,000원), 보쌈 (소) (28,000원), 회보쌈 (소) (35,000원), 막국수 (소) (8,000원), 쟁반국수 (소) (8,000원), 해물파전 (12,000원)",매일 11:30 ~ 23:00
양천옥설렁탕,설렁탕,4.2,105,"서울 양천구 등촌로 86
(지번) 목동 730-2",37.5377040353006,126.8639038703,02-2654-7788,"설렁탕 (11,000원), 우거지 선지해장국 (10,000원), 떡국 설렁탕 (10,000원), 특설렁탕 (14,000원), 왕갈비탕 (16,000원), 꼬리곰탕 (21,000원), 만두설렁탕 (12,000원), 진짜무릎도가니탕 (17,000원), 우족탕 (17,000원), 낙지갈비탕 (19,000원), 전복갈비탕 (20,000원), 물/비빔 막국수 (9,000원), 회막국수 (10,000원)",매일 00:00 ~ 24:00 · 휴게시간 매일 15:00 ~ 17:00
하순옥황금안동국시 목동본점,국수,4.2,"1,065","서울 양천구 목동서로 213 세신비젼프라자 지하1층 101~104호
(지번) 목동 923",37.5280169945095,126.870615708032,02-2646-2648,"[국내최초]상황버섯입은 황금빛 보양식 안동국시 (15,000원), [국내유일]보양식 황금 수육 (45,000원), [국내유일]보양식 황금버섯 소고기국밥 (15,000원), [국내최초]보양식 은이버섯 황금해물파전 (25,000원), [메밀99%]디톡스 눈꽃 메밀묵 (25,000원), [자연산]원기회복 포항 참문어 (45,000원), [보양식] 황금 모듬전 (36,000원), [부모님과 함께]황금정식 (55,000원), [중요한 손님께]강복정식 (43,000원), [고기좋아하는 자녀와]수복정식 (33,000원), [친구들과]다복정식 (29,000원), 보양식 황금삼색수육안동국시 (18,000원), 보양식 황금차돌 안동국시 (23,000원), 보양식 어린이 황금안동국시 (6,000원), 보양식 후식용 황금안동국시 (8,000원)",매일 10:30 ~ 21:00 · 휴게시간 월~금 15:00 ~ 17:00
