이름,서브카테고리,평점,리뷰수,주소,위도,경도,전화번호,메뉴,영업시간
원조호수삼계탕 본점,삼계탕,3.5,163,"서울 영등포구 도림로 276 1층
(지번) 신길동 342-108",37.502647972871,126.904373139824,02-846-4688,"삼계탕 (18,000원)",매일 11:00 ~ 21:30
진주집,국수,3.9,"3,655","서울 영등포구 국제금융로6길 33 지하1층 5,6,7,27,28호
(지번) 여의도동 36-2",37.5207908297398,126.926911965929,02-780-6108,메뉴 없음,영업시간 월~금 10:00 ~ 20:00
여로집 본관,"해물,생선",2.8,9,"서울 영등포구 영중로10길 26 1층
(지번) 영등포동3가 15-1",37.5186952702308,126.908186792683,02-2678-8934,"오징어볶음 (27,000원), 오징어초무침 (27,000원), 오징어순대 (18,000원), 계란찜 (9,000원), 계란말이 (13,000원), 계란탕 (8,000원), 해물파전 (15,000원), 조개탕 (15,000원), 고등어구이 (15,000원), 삼치구이 (15,000원), 대접밥 (2,000원), 공기밥 (1,000원), 콜라 (2,000원), 사이다 (2,000원)",매일 11:30 ~ 22:00
대한옥,설렁탕,3.3,755,"서울 영등포구 영등포로51길 6
(지번) 영등포동2가 221-1",37.5193555187882,126.910884093078,02-2633-5052,"꼬리수육(대) (83,000원), 꼬리수육(소) (70,000원), 꼬리탕 (30,000원), 설렁탕 (12,000원), 설렁탕(특) (14,000원)","월,일요일"
강강술래 당산점,"육류,고기",3.1,221,"서울 영등포구 선유로 251
(지번) 양평동4가 35",37.5352421789392,126.896747010198,02-2677-9233,"한우육회 (29,000원), 한우 스페셜 (53,000원), 한우 생등심 (43,000원), 한우 모듬구이 (37,000원), 강강양념구이 (33,000원)",매일 11:00 ~ 22:00
당산옛날곱창,"곱창,막창",4.3,538,"서울 영등포구 당산로47길 14
(지번) 당산동6가 313-1",37.5353741059467,126.902277256782,02-3667-2315,"모듬곱창 (220g) (26,000원), 소곱창 (200g) (26,000원), 소대창 (200g) (24,000원), 소막창 (200g) (24,000원), 양깃머리 (180g) (27,000원), 소염통 (200g) (15,000원), 간.천엽 (10,000원)",월~토 11:30 ~ 23:30
청수,냉면,2.9,258,"서울 영등포구 국제금융로 112 1층
(지번) 여의도동 53-11",37.5183968410658,126.933905858565,02-784-1559,"오뎅백반 (12,000원), 돌냄비우동 (12,000원), 돌솥비빔밥 (12,000원), 우동정식 (13,000원), 청수우동 (10,000원), 메밀온면 (12,000원), 비빔메밀 (12,000원), 김밥 (5,500원), 유부초밥 (6,000원), 고기만두 (6,500원), 메밀정식 (15,000원), 메밀국수 (12,000원), 메밀열무 (12,000원)",매일 11:00 ~ 20:40
코끼리베이글,"제과,베이커리",3.4,"1,481","서울 영등포구 선유로 176 수화공단 1층 60호
(지번) 양평동3가 69",37.5286104254461,126.893270984521,070-4184-0082,"스테이크 샌드위치 (8,300원), 햄치즈 샌드위치 (6,800원), 애플베리콜포트 샌드위치 (6,800원), 아메리카노 (3,900원), 라떼 (4,500원), 카모마일 (6,200원), 애플주스 (5,300원), 산펠레그리노 (5,500원), 무화과콩포트(FigCompite) (8,500원), 햄치즈 베이글 샌드위치 (7,900원), 연어 베이글 샌드위치 (7,900원), 하몽 베이글 샌드위치 (7,900원)",영업시간 매일 08:30 ~ 20:00
양키스그릴 문래점,"스테이크,립",3.7,834,"서울 영등포구 도림로 434-9 1층 102호
(지번) 문래동3가 58-35",37.5147864435463,126.894988596554,0507-1358-2819,"뉴욕 스테이크 (250g) (23,000원), 립엔드 스테이크 (230g) (23,000원), 터키식 안심 스테이크 (250g) (39,500원), 쉬림프 칠리 파스타 (15,000원), 트러플 라구 파스타 (15,000원), 치즈 무덤 스파게티 (15,000원), 로스트 비프 필라프 (12,000원), 베이컨 필라프 (12,000원), 쉬림프 필라프 (12,000원), 로스트 비프 샌드위치 (점심메뉴) (12,000원), 비프 샐러드 (13,500원), 프렌치프라이 (8,000원), 버팔로윙&스틱 (9,500원), 매쉬드 포테이토 (5,500원), 코울슬로 (4,500원)",월~금 11:30 ~ 22:00 · 휴게시간 월~금 15:30 ~ 17:00
또순이네,"육류,고기",3.3,"1,414","서울 영등포구 선유로47길 16 1층
(지번) 양평동4가 81",37.5358685279774,126.895386159156,02-2672-2255,"된장찌개 (7,000원), 토시살(1인분) (33,000원), 등심(1인분) (33,000원), 생등심(1인분) (38,000원)",매일 11:30 ~ 21:30 · 휴게시간 매일 16:00 ~ 17:00
