이름,서브카테고리,평점,리뷰수,주소,위도,경도,전화번호,메뉴,영업시간
함평국밥,국밥,4.2,251,"서울 중랑구 봉우재로33길 73 1층
(지번) 상봉동 90-64",37.5954703227436,127.089216903184,,"김치 육회 비빔밥 (12,000원), 우거지국밥 (10,000원), 육사시미+육회 (300g) (55,000원), 육사시미(소) (30,000원), 육회(소) (30,000원)",영업시간 월~토 16:00 ~ 02:00
먹거리집,순대,2.8,422,"서울 중랑구 면목로91길 8 1층
(지번) 상봉동 113-23",37.594576216919,127.085389481171,,"내장 (29,000원), 수육 (중) (24,000원), 고기모듬 (중) (24,000원), 오소리감투 (24,000원), 머리고기 (21,000원), 머리뽈살 (21,000원), 편육 (21,000원), 제육볶음 (안주류) (16,000원), 술국 (13,000원), 족발 (8,000원), 순대 (7,000원), 순대국 (9,000원), 북어해장국 (8,000원), 내장탕 (10,000원), 제육볶음 (식사류) (11,000원)",매일 00:00 ~ 24:00
홍어천국,"해물,생선",4.4,37,"서울 중랑구 면목로 421 1층
(지번) 면목동 126-6",37.5896465780784,127.087051201678,02-436-4757,"삼합 (39,000원), 홍어무침（묵은지） (35,000원), 홍어찜（묵은지） (35,000원), 홍어회（묵은지） (35,000원), 홍어애탕 (20,000원), 수육보쌈 세트 (39,000원), 공기밥 (1,000원), 수육추가 (15,000원), 홍어애 (10,000원), 파김치 1팩 (5,000원), 묵은지 1팩 (5,000원), 갓김치 1팩 (5,000원), 콜라 355mL (2,000원), 사이다 355mL (2,000원)",영업시간 매일 11:00 ~ 22:30
용마해장국,해장국,4.1,276,"서울 중랑구 용마공원로5길 20 1층
(지번) 망우동 406-1",37.594539002298,127.102280443169,02-2209-5938,"해장국 (10,000원), (특)고기만해장국 (13,000원), 고추장아찌 (5,000원)",영업시간 화~일 10:00 ~ 20:00 · 휴게시간 화~일 14:00 ~ 15:00
소담촌 상봉점,샤브샤브,3.8,142,"서울 중랑구 망우로 328 시네마시티 15층 1501호
(지번) 상봉동 92-2",37.5967896562752,127.088961999058,02-434-1999,"월남쌈샤브 (16,900원), 월남쌈버섯샤브 (21,900원), 월남쌈와규샤브 (21,000원), 월남쌈명품한우샤브 (24,500원), 월남쌈스페셜샤브 (26,000원)",영업시간 매일 11:00 ~ 21:30
작은부엌,양식,4.4,158,"서울 중랑구 면목로 361 1층
(지번) 면목동 501-4",37.5843418191467,127.088244558838,0507-1311-9160,"허니갈릭페스츄리피자 (18,400원)",영업시간 월~토 11:30 ~ 21:00 · 휴게시간 월~토 15:00 ~ 17:00
산채가한정식,한정식,3.9,25,"서울 중랑구 동일로157길 30 1층
(지번) 묵동 240-46",37.609832718929,127.075982688299,02-948-1138,"즉석가마솥밥 정식(2인이상주문) (12,000원), 즉석가마솥밥 특선정식(2인이상주문) (17,000원), 곤드레밥(1인가능) (9,000원), 제육볶음 백반(2인이상) (12,000원), 황태구이 백반(2인이상) (12,000원), 더덕구이 백반(2인이상) (12,000원), 더덕 생고기 오겹살 (15,000원), 동태탕 백반(2인이상) (10,000원)",영업시간 매일 11:00 ~ 21:30 · 휴게시간 매일 15:30 ~ 17:00
캠프X그릴,"육류,고기",4.3,73,"서울 중랑구 동일로 929 2층
(지번) 묵동 238-90",37.6133347197629,127.076760276991,02-6677-0043,"숙성 생목살 (200g) (15,000원), 양념쭈구미 (400g) (15,000원), 숙성 가브리살 (200g) (15,000원), 숙성 생삼겹살 (200g) (15,000원), 오리훈제 (200g) (12,000원), 2인 모듬세트 (41,000원), 모듬소세지 (11,000원), 대하소금구이 (14,000원)",영업시간 월~금 16:50 ~ 24:00
쪽갈비대통령 먹골본점,갈비,4.8,125,"서울 중랑구 동일로163길 46 1층
(지번) 묵동 237-138",37.6118241022709,127.074684957326,02-979-0316,"양념쪽갈비(1인분) (17,000원), 매운쪽갈비(1인분) (17,000원), 주먹밥 (5,000원), 매운주먹밥 (5,000원), 잔치국수 (6,000원), 누룽지 (6,000원)",영업시간 월~토 16:00 ~ 22:00
고향만두&칼국수,칼국수,4.9,23,"서울 중랑구 중랑역로 75 1층
(지번) 중화동 312-25",37.6002557084675,127.077824667249,02-2208-4192,"칼국수 (5,000원), 김치떡만두국 (6,000원), 떡국 (5,000원), 물냉면 (5,000원), 비빔냉면 (5,000원)",영업시간 월~토 10:30 ~ 21:00
