name,degree,review num,address,tel
유림 닭도리탕,3.3,709,서울 강서구 공항대로71길 5,02-3665-3930
광어포차 금도수산,3.2,206,서울 강서구 화곡로63길 129 1층,02-3663-0301
발산삼계탕,3.8,214,서울 강서구 강서로 344,02-3662-3930
샤브20 서울발산역점,4.1,35,서울 강서구 공항대로 261 2층 205호,02-2658-2005
아웃백스테이크하우스 공항점,3.5,100,서울 강서구 마곡중앙6로 16 마곡GMG타워 3층 301호,02-3661-1101
조연탄,4.0,600,서울 강서구 곰달래로60길 29,070-7641-2008
방화동교동짬뽕,4.3,434,서울 강서구 금낭화로24나길 21 1층,02-2665-5778
원조수구레,3.6,138,서울 강서구 공항대로 103 m9타워 1층 111호,02-2665-4596
우리도한번잘구워보세 공항동점,4.6,119,서울 강서구 송정로 52 1층,02-2666-9010
고성막국수,3.5,196,서울 강서구 방화대로49길 6-7,02-2665-1205
홍린,3.3,53,서울 강서구 우장산로15길 25,02-2608-6556
후라토식당 발산역점,3.7,369,서울 강서구 공항대로 269-15 211호,02-6012-8154
소담촌 마곡점,3.5,144,서울 강서구 마곡중앙6로 93 열린프라자 4층 403호,02-3661-5566
백제원 등촌점,3.4,70,서울 강서구 공항대로 367 3층 301호,02-2668-4114
칼스토랑,4.4,411,서울 강서구 방화대로6라길 2 1층,02-2666-5142
김종용누룽지통닭 화곡본점,3.4,56,"서울 강서구 화곡로 115 1,2층",02-6405-9292
시골한우시골돼지 서울본점,4.9,54,서울 강서구 가로공원로 181,02-2694-9492
훈장골 발산점,3.6,56,서울 강서구 공항대로36길 9,02-2666-5251
화곡영양족발,4.0,641,서울 강서구 초록마을로2길 48 화곡본동시장 1층 가-3호,
속초그바람에 발산점,4.4,190,서울 강서구 강서로54길 11 1층,02-3665-6839
신고집해물찜 화곡점,3.6,75,서울 강서구 강서로 188 1층,02-2668-3359
마부자생삼겹살김치찌개,3.1,189,서울 강서구 마곡중앙5로 6 마곡나루역보타닉푸르지오시티 1층 119~124호,02-3665-0788
도라무통,3.7,190,서울 강서구 곰달래로 163 1층,02-2699-9282
목동분식,4.2,201,서울 강서구 강서로45라길 36,02-2662-4180
더메이드뷔페,3.2,227,서울 강서구 마곡중앙6로 21 이너매스마곡1차 4층 404~424호,02-3663-7090
차돌집,3.6,92,서울 강서구 방화대로21길 85 1층,02-2664-5534
맹순이꽃게아구전문점,3.4,231,서울 강서구 공항대로 272 하바나빌딩 2층,02-3661-6570
만배아리랑,4.2,13,"서울 강서구 화곡로18길 24 강서뉴타워 1층 111,113호",02-2607-3126
명품양꼬치,4.5,42,서울 강서구 화곡로 119 2층 202호,02-2699-0777
홍능참숯불갈비 본점,4.4,38,서울 강서구 금낭화로 66,02-2665-5612
쭈퐁,3.8,186,서울 강서구 공항대로45길 44 1층,02-3662-2030
하영족발과보쌈,4.8,26,서울 강서구 화곡로64길 82 1층,02-2606-0806
오복순대국 등촌직영점,4.0,193,서울 강서구 공항대로45길 5 1층,02-3661-6611
광주똑순이아구찜,3.9,592,서울 강서구 강서로 375-8 정호빌딩 1층,02-2668-3030
수한무닭칼국수,4.6,73,서울 강서구 화곡로21길 21 1층,02-2605-1613
갈비생각 발산점,3.4,122,서울 강서구 강서로54길 42 1층,02-2063-1113
스타벅스 방화DT,4.0,49,서울 강서구 방화대로 375,1522-3232
닥터로빈 강서점,4.1,96,"서울 강서구 공항대로 396 1,2층",02-2065-3111
경상도집,4.4,89,서울 강서구 강서로45나길 16 송화시장 57호,02-2607-5112
카페우드진,4.0,212,서울 강서구 마곡중앙6로 45 리더스퀘어마곡 1층 113호,02-6052-0116
장어촌민물장어,4.1,23,서울 강서구 강서로52길 34,02-3663-9293
개화산장,4.3,95,서울 강서구 개화동로19길 6-53,02-2665-5293
이삭토스트 서울화곡역점,3.6,16,서울 강서구 화곡로 154,0507-2079-9843
첫번째순대국집,3.5,141,서울 강서구 방화동로 23,02-2662-5861
예향정 마곡점,4.2,151,서울 강서구 마곡중앙로 161-11 힐스테이트에코 2층 A-202~203호,02-3665-1973
사모님짬뽕,3.3,294,서울 강서구 금낭화로18길 10 1층,0507-1438-3422
원마산아구찜,4.8,56,서울 강서구 마곡서1로 115-1 마곡헤리움1차 2층 211호,02-2661-1929
고메스퀘어 발산직영점,3.2,38,서울 강서구 공항대로 247 퀸즈파크나인 B103~B104호,02-6421-9997
신촌기사식당,3.3,94,서울 강서구 방화대로 408 세언빌딩 1층,02-3664-4221
맥도날드 등촌DT점,3.4,66,서울 강서구 양천로 546,02-6091-6800
도화림 마곡점,3.8,69,서울 강서구 공항대로 194 퀸즈파크12차 2층 210~213호,02-6309-9595
양산도 등촌점,4.1,933,서울 강서구 공항대로 519 신성빌딩 1층 101호,02-2088-2074
주엔,3.6,30,서울 강서구 마곡중앙6로 40 JH장흥빌딩 2층 204~205호,02-2659-7677
충북식당,3.2,197,서울 강서구 강서로45가길 9,02-2697-1475
원조나주곰탕,4.5,134,서울 강서구 양천로14길 10 2동 1층,02-2666-8292
타르데마 우장산,4.4,79,서울 강서구 강서로46길 9 1층 1호,02-6397-1782
동아풍천민물장어,3.1,28,서울 강서구 양천로 731 동아3차아파트 309동 지하1층 107-1호,02-3663-3354
삼정집,4.1,160,서울 강서구 강서로56길 92 1층,02-3662-8040
브루클린커피,4.0,156,서울 강서구 강서로52길 16 1층,02-3664-5595
상생삼겹살,4.5,145,"서울 강서구 마곡중앙로 161-8 두산더랜드파크 B동 1층 113,114호",02-6989-9191
메이필드호텔 낙원,3.8,54,서울 강서구 방화대로 94 별관 한옥 1층,02-2660-9010
이태리부대찌개 발산점,3.8,40,서울 강서구 마곡중앙6로 66 퀸즈파크텐 B동 B103호,02-6411-9111
김순옥들내음 본점,3.5,59,서울 강서구 금낭화로24길 29-13 3동 1층,02-2064-0093
장심도 블랙,4.2,237,서울 강서구 마곡동로 55 마커스빌딩 2층 201호,02-6905-3003
또순이네 마곡점,4.1,174,서울 강서구 마곡중앙로 59-21 에이스타워2차 1층 109호,02-2665-2770
김종용누룽지통닭 등촌점,4.3,92,서울 강서구 공항대로61길 21,02-3664-2292
가마메시야울림,3.2,285,서울 강서구 마곡중앙로 76 힐스테이트에코마곡역 1층 125~126호,010-6293-3376
마초갈비 마곡점,3.5,290,서울 강서구 마곡동로 62,02-3663-0904
여가반상,4.1,72,서울 강서구 마곡중앙6로 85 마곡사이언스파크뷰 2층,02-2135-2773
투썸플레이스 강서구청점,4.5,16,"서울 강서구 화곡로 347 그랜드아이파크 1-2층 115~116, 209~210호",02-2699-3948
왕십리연탄구이곱창,4.0,50,서울 강서구 공항대로45길 11,02-2063-3792
더퍼스트클래스파티 강서NH서울타워점,4.5,227,서울 강서구 양천로 570 20층,02-2013-5670
모담다이닝 LG아트센터 서울점,3.2,71,서울 강서구 마곡중앙로 136 3층 2호,070-4647-1075
마곡오리,3.1,148,서울 강서구 양천로30길 11 1층,02-3662-5292
돈돼랑,3.9,48,서울 강서구 화곡로 128,02-2607-9399
광선집,4.5,306,서울 강서구 곰달래로 149 소망빌딩 1층,0507-1461-0608
와카츠,3.9,57,서울 강서구 강서로17길 16 1층,02-6397-8355
스타벅스 마곡나루공원,3.8,14,서울 강서구 마곡중앙5로 47,1522-3232
메이탄 강서점,3.2,71,서울 강서구 강서로 242 강서힐스테이트상가 215호,02-2699-8686
띠아낭,4.3,213,서울 강서구 화곡로64길 72 1층,070-4300-0707
케렌시아,4.2,102,"서울 강서구 마곡서로 152 두산더랜드타워 B동 2층 219,220호",02-6989-9336
화곡미담분식,3.7,138,서울 강서구 강서로7길 15 1층,02-2606-3319
한방전주콩나물국밥 등촌점,4.6,16,서울 강서구 공항대로 549 1층,02-3662-0748
왕세숫대야냉면돈까스,3.9,81,서울 강서구 공항대로 423 1층,02-2668-3608
다루마,4.8,16,서울 강서구 마곡중앙5로1길 21 럭스나인오피스텔 N동 2층 201호,02-3665-6500
코다리연구소 명태명가,4.5,21,서울 강서구 강서로56길 96 1층,02-3661-9233
햇빛촌,3.6,32,서울 강서구 강서로54길 102,02-3661-5921
모던꿀꿀,4.9,92,서울 강서구 등촌로3길 17 1층,02-2654-9293
등촌샤브칼국수 등촌점,4.4,81,서울 강서구 강서로56가길 65 2층,02-2659-9318
여자만,3.3,10,"서울 강서구 가로공원로 199-1 2,3층",02-2699-9292
용대리황태세상,3.3,20,서울 강서구 양천로49길 20 닛시빌딩 B동 1층,02-3661-0113
고기싸롱 발산역점,4.3,142,서울 강서구 강서로 402 재영빌딩 1층 102~103호,02-2668-3991
베이징 화곡본점,3.8,70,서울 강서구 화곡로 118 2층,02-2699-7275
발산한우진곱창 2호점,3.9,329,서울 강서구 강서로 395 1층,02-2668-7776
선주가 본점,4.8,76,서울 강서구 마곡중앙로 161-1 1층 111호,02-3664-1578
제일식당,4.4,25,서울 강서구 양천로 443-36,02-3661-3616
개성집,4.4,28,서울 강서구 화곡로58길 30 1층,02-2602-5327
대한국수,4.2,652,서울 강서구 공항대로46길 13-6 1층,02-2135-8193
취차이,3.7,21,서울 강서구 방화동로1길 5 1층,02-363-6271
코끼리한상 강서직영점,3.8,159,서울 강서구 화곡로64길 50 1층,02-3661-2014
굴사냥 화곡본동점,3.8,140,서울 강서구 화곡로 194-52 1층,02-2697-9433
육시리 마곡본점,4.2,806,"서울 강서구 마곡중앙6로 40 장흥빌딩 1층 102, 103호",02-3662-9797
긴꼬리초밥 마곡점,3.8,721,서울 강서구 공항대로 269-15 힐스테이트에코마곡 2층 201호,02-3662-7005
서울 오마카세 우미마토,4.5,934,서울 강서구 공항대로 219 센테니아 1층 114호,0507-1367-5832
오복집 강서점,3.6,61,서울 강서구 공항대로45길 24 1층,02-2658-0033
주문진바다식탁,5.0,10,서울 강서구 공항대로5길 5,02-2667-0553
가랑삼계탕 마곡점,4.0,48,"서울 강서구 마곡동로 62 마곡사이언스타워 3층 301,302호",02-3665-8660
서울미트볼 가양점,3.7,30,서울 강서구 화곡로68길 15 아벨테크노 1층,02-3456-2655
능라도 마곡점,3.4,146,"서울 강서구 마곡동로 56 건와빌딩 2층 202,203호",02-6958-8939
도야지,4.4,26,서울 강서구 마곡중앙6로 45 리더스퀘어마곡 120호,
화로상회 가양점,4.3,281,서울 강서구 양천로57길 9-13 가양휴먼빌 1층 102~107호,02-2668-6892
탐라팩토리,4.7,316,"서울 강서구 마곡중앙6로 21 이너매스마곡1차 1층 104,131호",0503-7151-7444
추천해꼬막짬뽕,4.1,126,서울 강서구 강서로 158 1층,
피그백 화곡본점,3.8,950,서울 강서구 화곡로21길 35 1층,02-2602-5452
만배아리랑 등촌점,4.1,115,서울 강서구 등촌로51길 17 1층,02-2644-2535
범식당,3.9,28,서울 강서구 강서로18가길 6,02-2602-8092
루트205,4.6,522,"서울 강서구 남부순환로 205 1,2층",
황소곱창,4.3,84,서울 강서구 공항대로46길 78 1층,02-2605-3392
원조양평서울해장국 발산직영점,4.7,17,서울 강서구 강서로52길 34,02-6408-3737
양평해장국 마곡점,4.0,10,서울 강서구 공항대로 242 열린M타워2 2층 212호,02-6403-0877
소플러스 마곡점,4.2,19,서울 강서구 양천로30길 123-28 1층,02-2666-9297
미스터피자 발산점,3.0,33,서울 강서구 강서로 289 연빌딩 1층 101호,02-2665-1067
다채우렁돌솥쌈밥,3.9,110,서울 강서구 화곡로20길 12,02-2608-0008
진1926 마곡나루점,3.9,74,서울 강서구 마곡중앙로 161-8 두산 더랜드파크 B동 116호,02-6989-9202
이현우스시,4.6,294,서울 강서구 강서로33길 26 1층,02-2699-0020
헤이더그린,3.3,554,서울 강서구 대장로 58 1층,
이함흥냉면,4.3,10,서울 강서구 강서로5다길 9 1층,02-2605-0037
어부의딸 본점,4.4,37,서울 강서구 공항대로46길 97 1층,02-2608-2357
도쿄하나 등촌점,3.7,446,서울 강서구 공항대로 367 2층,02-2668-0880
일품 마곡점,4.3,258,서울 강서구 공항대로 228 리더스타워 1층 112호,02-6952-0200
우나기모토,4.9,541,서울 강서구 공항대로38길 49 성원빌딩 2층,0507-1351-2118
천천향화곡양꼬치,4.0,174,"서울 강서구 강서로7길 28 해태드림타운 1층 101,102호",02-2692-8881
스타벅스 마곡사이언스타워R,3.6,36,서울 강서구 마곡동로 62,1522-3232
다케 혼술,4.1,59,서울 강서구 초록마을로2길 50,02-6959-2721
더블랙 본점,4.7,15,서울 강서구 공항대로 269-15 2층 214호,02-2668-3885
마장동고기집 서울방화점,4.0,20,서울 강서구 양천로 82-1,02-2662-6904
해촌칼국수 발산본점,4.5,60,서울 강서구 강서로 349,02-3664-1114
삼부숯불구이,4.7,11,서울 강서구 공항대로 14,02-2664-6378
김희라 한국식왕돈까스,3.9,146,서울 강서구 강서로 201 1층,02-2601-0636
인라이크,4.6,151,서울 강서구 양천로30길 103 화성빌딩 1층 103호,070-7789-3344
돼지래스토랑 셋째,3.3,120,서울 강서구 마곡서로 152 두산더랜드타워 B동 3층 301~303호,02-6989-9669
할매칼국수,4.2,32,서울 강서구 월정로 108 해창위너스빌 1층,02-2602-7106
베이커리룬,4.3,415,서울 강서구 공항대로 261 1층,02-2659-4645
이치방라멘,4.4,64,서울 강서구 강서로 271 1층,070-4069-6145
일식비,3.3,31,"서울 강서구 마곡동로 61 에이스프라자 3층 301,302호",0504-3142-2267
오봉집 발산본점,3.5,775,서울 강서구 마곡동로4길 15 엠팰리체 2층 205호,02-3661-7040
움버거앤윙스 양천향교역점,4.5,77,"서울 강서구 강서로 457 1,2층",02-3661-0620
나라구한닭정통닭갈비,4.2,160,서울 강서구 강서로 378 1층 105호,02-6401-2223
소곤면옥,3.5,144,서울 강서구 양천로47길 20,02-540-8287
코끼리탭룸,4.5,65,서울 강서구 공항대로 195 힐스테이트에코동익 101동 1층 130호,0503-7150-5174
육부자,3.8,30,서울 강서구 양천로 344,02-6470-0077
화양연화,4.6,90,서울 강서구 마곡중앙6로 70 매그넘797 2층 212-213호,02-3662-3545
폴바셋 강서마곡DT점,4.4,68,"서울 강서구 양천로 300 1,2층",02-3663-0860
모두의편백샤브 발산직영점,3.7,539,서울 강서구 공항대로 290 2층 205~206호,0503-7150-4159
메이필드호텔 캐슬테라스,3.8,133,서울 강서구 방화대로 94 본관 1층,02-2660-9030
메이필드 서울 봉래헌,3.7,115,서울 강서구 방화대로 94 별관,02-2660-9020
광화문살롱,3.1,146,"서울 강서구 공항대로45길 63 1층 105,106호",02-2668-3966
올바른스시 화곡역 직영점,3.9,67,서울 강서구 강서로33길 12 3동 1층,02-2605-5556
동래순훠궈,3.7,34,서울 강서구 마곡중앙6로 93 열린프라자 3층 307호,02-3661-5868
본가백구오리불고기,3.8,51,서울 강서구 강서로17길 40,02-2692-3433
마곡삼계탕,4.0,74,서울 강서구 공항대로 247 퀸즈파크나인 2층 234~238호,02-6421-9889
다이닝원 발산점,3.6,107,서울 강서구 마곡중앙6로 93 9층,02-3661-1357
소카크,3.2,455,서울 강서구 마곡동로 56 건와빌딩 1층 103호,02-6952-2200
등촌정육식당 본점,4.1,103,"서울 강서구 공항대로59길 75 나동 1,2층",02-2063-2008
돌배기집 강서구청점,3.5,119,서울 강서구 공항대로46길 47 다원빌딩 1층,02-6398-0306
임진강 민물장어,3.7,39,서울 강서구 양천로 723,02-3663-7900
깅꼬 서울,3.2,304,서울 강서구 개화10길 40 1-2층,070-7705-8800
80년전통원조순대국,3.7,43,서울 강서구 방화대로6가길 34,02-2665-0843
본가왕해물찜 강서점,4.3,23,서울 강서구 강서로5나길 82 1층,02-2699-5758
진진바리횟집,3.6,35,서울 강서구 공항대로46길 13-12 1층,02-3661-4667
신경섭의인생참치,4.6,150,서울 강서구 마곡동로4길 23 2층,02-6953-7337
원조소금구이,4.5,64,서울 강서구 곰달래로60길 5 1층,02-2643-8139
도쿄화로 본점,4.3,91,서울 강서구 까치산로 180,02-6448-0624
샹리,3.9,25,서울 강서구 공항대로 164 류마타워 지하1층 B105호,02-2664-3700
담소소사골순대육개장 마곡나루역점,3.3,10,서울 강서구 마곡중앙로 161-11 힐스테이트에코마곡나루역오피스텔 1층 A-123~124호,02-3665-1821
동래정 화곡점,3.6,134,서울 강서구 화곡로31길 79,02-2607-3335
태문네,3.0,72,서울 강서구 양천로28길 40,
방화동쭈꾸미마을 1997,3.9,101,서울 강서구 금낭화로15길 12,02-2661-9575
길목집,4.2,55,서울 강서구 공항대로 649 제성빌딩 1층 4호,02-3661-9289
여기모이소 개화산역본점,4.1,12,서울 강서구 양천로 31 1층 46호,02-2666-9285
생선나라,4.3,30,서울 강서구 화곡로66길 90 1층,02-3663-2855
호우양꼬치 마곡점,3.7,258,서울 강서구 마곡중앙6로 93 열린프라자 2층,02-2668-7188
짚신매운갈비찜 강서구청점,3.4,32,서울 강서구 화곡로58길 25-5,02-2602-4880
스타벅스 김포공항DT점,4.2,43,서울 강서구 개화동로 517,1522-3232
참치예담,3.2,89,서울 강서구 마곡중앙5로1길 20 보타닉비즈타워 2층 201~202호,02-6326-6668
아그라 김포점,3.2,261,서울 강서구 하늘길 38 롯데몰 김포공항점 MF층,0507-1404-5794
홍성원,4.2,114,서울 강서구 공항대로 206 2층,02-2662-8870
가막골흑염소,3.4,27,서울 강서구 화곡로56길 37-11,02-2608-5255
바코 마곡점,4.5,155,서울 강서구 마곡동로10길 23 대방디엠시티 2차 106호,02-2659-3205
스타우스,4.2,10,서울 강서구 화곡로58길 22-11,02-2605-0160
가양정육식당 3호점,4.0,41,서울 강서구 양천로 424 데시앙플렉스 지식산업센터 1층 123호,02-2054-6868
등촌최월선칼국수,3.8,606,서울 강서구 화곡로64길 68 1층,02-3661-2744
오백년장어 등촌점,3.6,74,서울 강서구 공항대로 367 4층 401호,02-2668-8778
의성식당,3.4,58,서울 강서구 공항대로59가길 25-6 1층,02-3663-1909
샤브몽,5.0,85,서울 강서구 화곡로 347 그랜드아이파크 2층 201~203호,02-2039-0281
사또주먹고기 화곡점,4.7,88,서울 강서구 가로공원로76길 10 사또주먹고기,02-2696-0701
하루,4.7,71,서울 강서구 까치산로27길 21 1층,02-2605-4988
원조복순이민속촌,4.7,40,서울 강서구 송정로 54 1층,02-2666-0287
다원레스토랑,3.6,216,서울 강서구 공항대로65길 1-5,02-3665-3600
스타벅스 강서구청사거리점,4.2,30,서울 강서구 화곡로 350 1층 104~107호,1522-3232
한우1번지,3.6,44,서울 강서구 양천로 564 두산위브센티움 119 1층,02-2668-0001
브롱스 마곡발산점,4.5,11,서울 강서구 강서로 385 우성에스비타워 3층 309호,02-2658-3006
상암두부마을순대국 목동직영점,3.7,15,서울 강서구 곰달래로 261,02-2643-1125
올웨이즈 베이글,4.6,200,서울 강서구 마곡중앙5로1길 25 마곡헤리움2차 1층 110호,070-7576-1801
봉평고향막국수,5.0,22,서울 강서구 양천로75길 19 1층,02-3663-2677
진부령황태촌 화곡점,3.6,488,서울 강서구 강서로 148 1층,02-2603-8892
굴천지&초계국수,3.7,18,서울 강서구 강서로33길 24 해피빌딩 1층,02-2603-9916
전주가콩나물국밥전문점 방화점,4.5,14,서울 강서구 양천로 85 1층,02-6397-5867
잔치잔치,4.4,75,서울 강서구 공항대로3길 27 1층,02-2064-0609
백두한우곱창전문,3.9,170,서울 강서구 공항대로 291 등촌동성원상떼뷰오피스텔 1층,02-3662-3015
다온참치,3.8,21,서울 강서구 마곡중앙6로 45 리더스퀘어 2층 203호,02-6953-7937
현대생선구이&회정식,4.5,21,서울 강서구 마곡중앙로 56 마곡사이언스타워2 지하1층 104~105호,02-2699-2690
다래정 등촌점,4.4,57,서울 강서구 공항대로59길 20 1층,02-6402-4823
스타벅스 마곡나루역점,4.0,20,서울 강서구 마곡중앙로 161-17,1522-3232
디프커피,4.9,133,서울 강서구 마곡동 772-5 리더스퀘어마곡 A동 1층 104호,0507-1481-0665
달인대보손칼국수,3.9,188,서울 강서구 마곡중앙5로 6 마곡나루역보타닉푸르지오시티 서관 2층 211호,02-3663-9571
카메야라멘,4.3,246,서울 강서구 강서로 489-4 2층,02-2668-3412
사남매전복갈비찜&해신탕,4.6,161,서울 강서구 강서로5나길 83 1층,02-2608-8400
장가네돼지국밥,4.7,21,서울 강서구 곰달래로49길 29 1층,02-2603-6262
동일수산,3.3,76,"서울 강서구 마곡중앙5로1길 21 마곡럭스나인오피스텔 N동 2층 206,207호",02-3662-9473
풍천숯불민물장어,3.9,25,서울 강서구 초록마을로 6 1층,02-2699-8892
부부 손칼국수김치만두,3.9,35,서울 강서구 강서로56가길 47 1층,02-3662-4594
푸른농장해바라기 화곡점,3.9,93,서울 강서구 곰달래로 141,02-2691-2223
개성손만두,4.5,35,서울 강서구 강서로47길 113 성호빌딩 2층 201호,02-2666-5255
남도복국 마곡나루역점,3.7,10,서울 강서구 마곡중앙5로 6 지하1층 B128호,02-3661-2002
열린지혜의맛,3.5,137,서울 강서구 곰달래로 164 1층,02-2699-0586
오이락우동,4.0,23,서울 강서구 화곡로64길 58 지하1층,
더뻘,3.6,22,서울 강서구 공항대로45길 68-6,02-3665-1602
소담,5.0,12,서울 강서구 화곡로63길 121,02-3664-9996
정일품삼계탕,3.4,30,서울 강서구 공항대로59가길 10 2층,02-3661-8058
간판없는 햄버거집,4.9,124,서울 강서구 공항대로53가길 15 1층,
돈오야 까치산역본점,4.1,25,서울 강서구 강서로 55,02-2695-3392
풍년집정육식당 방화동점,3.9,16,서울 강서구 방화동로 77 1층,02-2661-2252
늘상식당 강서구청점,4.6,63,서울 강서구 화곡로58길 22-14 여름빌딩 1층,02-6368-3164
쓰부 화곡본점,4.3,211,서울 강서구 까치산로 172 1층,
해바라기정육식당 강서점,4.3,47,서울 강서구 화곡로 218,02-2608-5215
이팔복돈까스,5.0,46,서울 강서구 화곡로26가길 36 삼광빌라 1층 101호,02-2696-4729
대동집 마곡나루역점,4.3,49,서울 강서구 마곡중앙로 171 1층,02-3664-4574
