name,degree,review num,address,tel
월래순교자관,4.1,422,서울 구로구 디지털로19길 12 1층,02-855-8488
평양냉면,3.8,165,서울 구로구 고척로10길 65 1층,02-2614-2263
다채 개봉점,4.0,63,서울 구로구 개봉로23길 38 동흥빌딩 1층,02-2685-3392
메이비,3.0,70,서울 구로구 디지털로32나길 51,02-859-3073
초가집부뚜막청국장,4.1,87,서울 구로구 구로중앙로28길 24 1층,02-863-0600
바르미스시샤브 현대백화점 디큐브시티점,3.7,269,서울 구로구 경인로 662 별관 3층,02-2210-9570
닥터로빈 고척점,4.3,90,서울 구로구 경인로46길 51 (주)귀뚜라미에너지 복합건물 지상 1층,02-2066-8211
고바우,4.3,145,서울 구로구 부일로1길 9,02-2611-5586
강촌숯불닭갈비 본점,3.2,257,서울 구로구 공원로6나길 35-2 1층,02-851-2194
소담촌 고척점,3.6,69,서울 구로구 경인로 397 골든타워빌딩 2층,02-2625-8388
무한자금성,3.5,207,서울 구로구 디지털로 273 에이스트윈타워2차 지하1층 B104~B105호,02-856-0133
뒤뜰,3.3,68,서울 구로구 안양천로539길 6 고척빌딩 1층,02-2613-1973
신림춘천집 구로디지털직영점,4.6,742,서울 구로구 디지털로32나길 17-23 우남산업 102호,070-8624-1998
손가네생오리부페,4.4,96,서울 구로구 개봉로19길 29 1층,02-2066-9066
석구네마포주먹고기,4.4,25,서울 구로구 경인로63길 21-10,02-2632-9092
한우가,3.4,33,서울 구로구 공원로 67,02-851-9292
추억굽는꼼이네 신도림점,4.5,189,서울 구로구 공원로8길 13 1층,02-856-3447
디저트샵시소,4.8,174,서울 구로구 천왕로 29 이펜하우스4단지 상가동 1층 101호,010-8372-8487
파티오,3.4,60,서울 구로구 공원로 83 초원가든 5층,02-857-2820
신도림참족발 신도림점,4.3,345,서울 구로구 경인로 661 신도림1차푸르지오상가 1층 158호,02-3439-7182
밤새먹소 구로역점,3.6,16,서울 구로구 경인로 572 스타팰리스 1층,02-2068-7637
경복궁 현대백화점디큐브시티점,3.4,78,서울 구로구 경인로 662 6층,02-2210-9639
남길참치 오류직영점,3.4,34,서울 구로구 경인로 240 예성라온팰리스 1층,02-2613-1005
에버애프터,4.0,160,서울 구로구 새말로18길 36-10 지층,070-7543-1098
미소장어,4.9,168,서울 구로구 디지털로32나길 17-8 2층,02-6397-3382
약초마을,3.9,15,서울 구로구 가마산로 280 1층,02-855-9002
팀홀튼 구로하이엔드점,3.2,73,서울 구로구 디지털로26길 5 에이스하이엔드타워1차 1층 101호,070-7450-1013
할머니추어탕,3.6,57,서울 구로구 개봉로19길 39,02-2615-1023
뭉텅 구로디지털단지점,4.5,665,서울 구로구 시흥대로 577-11,070-8154-7777
푸짐한닭한마리,4.5,85,서울 구로구 디지털로32나길 19,02-852-5581
진심갈비,4.6,94,"서울 구로구 경서로 11 1층 104, 105, 107호",02-2689-9992
금성관 나주곰탕 구로직영점,4.7,269,서울 구로구 디지털로32길 92 미래타워 1층,02-838-7898
더족발 신도림본점,4.5,882,서울 구로구 경인로 619-3 푸르지오3차 상가 1층 106호,02-2636-9288
옹기종기감자옹심이,4.6,160,서울 구로구 서해안로30길 13-8 1층,070-8151-2454
참조은순대국전문점 구로직영점,3.7,36,서울 구로구 구로중앙로 47 1층,02-855-0622
구름산추어탕 구로점,4.2,19,서울 구로구 디지털로31길 38-9,0507-2086-4442
숙이네조개전골 신도림점,3.4,129,서울 구로구 새말로16길 29 1층,02-861-6522
서울안심축산 테크노마트점,3.9,17,서울 구로구 새말로 89 태영빌딩 2층 201호,0507-1400-4661
컴포 신도림점,4.6,189,서울 구로구 경인로67길 57 상림빌딩 1층 102호,02-2637-3841
오사카로,3.3,131,서울 구로구 경인로67길 23 신도림2차푸르지오 101동 2층 206호,02-2634-2223
내고향소머리국밥,3.8,93,서울 구로구 공원로6나길 43-15 1층,02-852-8465
대왕곱창구이,4.0,99,서울 구로구 새말로16길 29 1층 2호,02-830-7956
능이네능이버섯백숙 고척점,4.0,23,서울 구로구 중앙로 37 1층,02-2060-2365
버거킹 개봉점,3.2,13,서울 구로구 개봉로 55 1-2층,070-7438-8623
속초붉은대게,4.2,30,서울 구로구 디지털로32다길 9 라이프플러스 1층 106호,02-866-8919
중화백반,4.5,90,서울 구로구 디지털로34길 55 코오롱싸이언스밸리2차 지하1층 104호,
무시칸 구로역점,4.8,119,서울 구로구 새말로 18-49 1층,02-838-0072
원조양평신내서울해장국 고척점,3.2,26,서울 구로구 목동남로 6 현준프라자 2층,02-2060-9030
제면청년,3.6,35,서울 구로구 경인로40길 47 개봉역사 3층 6호,02-3666-9797
취화원,4.0,27,서울 구로구 경인로47길 134,02-2066-4952
옛날마차,3.7,166,서울 구로구 디지털로32길 97-16,02-853-8844
우방정육식당,4.1,92,서울 구로구 부일로1길 110 1층,02-2615-4651
수밀블랑제리,4.5,94,서울 구로구 중앙로 100 1동 1층 103호,02-2688-8425
다원국수,4.3,99,서울 구로구 경인로 22 지평회관 1층 109호,02-2060-0090
평양메밀촌,4.7,21,서울 구로구 경인로 209-1 1층,02-2613-9200
고흥집생선구이,4.7,19,서울 구로구 디지털로27길 65 1층,02-858-9469
고향마차,4.0,55,서울 구로구 새말로4길 24,02-867-6442
스타벅스 구로고척점,4.5,33,서울 구로구 경인로 387,1522-3232
주산식당,4.3,18,서울 구로구 중앙로14길 31 신성빌딩 1층 104호,02-2625-1101
최우영스시,3.2,335,서울 구로구 디지털로 288 대륭포스트타운 지하 1층,
신선회수산 신도림점,4.5,148,서울 구로구 공원로6다길 14 1층,02-867-0408
라도맨션,3.7,916,서울 구로구 공원로6다길 20 혜성빌딩 3층,
헤비스테이크 구로디지털단지점,3.5,62,서울 구로구 디지털로26길 110 동일테크노타운 1층 104호,02-3283-3355
박가네보리밥손칼국수,4.6,79,서울 구로구 구로동로22길 23 1층,
서일순대국 구로점,4.0,65,서울 구로구 구로중앙로 6 1층,02-855-9833
스시히라,3.3,81,서울 구로구 경인로 619-3 신도림푸르지오3차아파트 상가동 1층,02-2638-0077
백년갈비숯불화로구이,3.5,13,서울 구로구 서해안로 2316 1-2층,02-2612-2422
397카페,3.0,83,서울 구로구 신도림로 25,
사계진미숯불닭갈비 구로디지털점,4.4,136,서울 구로구 디지털로32나길 29 3층,02-855-7302
제주도초밥,4.0,159,서울 구로구 가마산로26길 23,02-830-6002
서울안심축산 신도림역디큐브시티점,3.8,34,서울 구로구 경인로 661 푸르지오1차오피스텔 2층 244호,0507-1440-8077
예커피,4.7,63,서울 구로구 고척로21나길 63 1층,070-4231-2233
명륜진사갈비 구로고대병원점,4.2,74,서울 구로구 구로동로 197 2층,02-852-0268
비포어커피로스터스,4.9,90,서울 구로구 디지털로31길 62 아티스포럼 1층 104호,010-7197-7021
옥스라이브파이어그릴,4.6,384,서울 구로구 개봉로20길 30 1층,070-8670-1754
히어로스터,3.9,32,서울 구로구 경인로63길 21-8 1층,
다케롤&스시,4.3,33,서울 구로구 도림천로 446,02-830-1399
백년불고기 구로디지털점,4.4,75,서울 구로구 시흥대로163길 15 1층,02-865-5024
낙원갈비집 구로구청점,3.3,341,서울 구로구 가마산로 286 2층,02-855-3841
빈브라더스 현대백화점디큐브시티,3.9,195,서울 구로구 경인로 662 별관 3층,02-2210-9351
육식예찬,4.4,95,서울 구로구 디지털로32나길 17-19,02-865-7722
