name,degree,review num,address,tel
강강술래 상계지점,3.6,309,서울 노원구 동일로 1628 1층,02-935-9233
제일콩집,3.9,374,서울 노원구 동일로174길 37-8,02-972-7016
경복식당,4.6,132,서울 노원구 공릉로39길 10 1층,02-949-7331
감동식당,4.8,666,서울 노원구 한글비석로47길 58 1층,070-7543-4481
닭한마리 공릉본점,3.9,523,서울 노원구 동일로 1020 1층,02-972-7459
라라브레드 공릉점(휴업중),3.9,220,서울 노원구 공릉로41길 32 1층,070-4252-8770
쿠우쿠우 노원점,3.6,223,서울 노원구 노원로 247 서울온천 6층 601호,02-975-1172
쪼매매운떡볶이 공릉점,4.6,248,서울 노원구 공릉로 208 1층,02-977-1120
수락이오냉면 본점,4.3,209,서울 노원구 동일로237다길 7 1층,02-935-2515
해품장 팔팔장어 본점,3.6,186,서울 노원구 노원로 192,02-977-8892
감각,3.3,234,서울 노원구 상계로 77 1층,070-7576-4177
로니로티 노원점,4.2,913,서울 노원구 상계로 63-7 청우빌딩 2층 201호,02-3391-7999
참만나,4.5,30,서울 노원구 화랑로 443 디벨리움 3층,02-974-1500
노원한우,4.3,18,서울 노원구 동일로218길 35,02-935-9448
크래버대게나라 노원점,4.1,201,서울 노원구 한글비석로 326 1층,02-931-2338
공도,3.4,121,서울 노원구 동일로178길 14,0507-1435-5890
제형면옥 하계점,3.3,81,서울 노원구 공릉로59나길 78-10 2층,02-978-8088
제주미향해장 공릉점,4.0,180,"서울 노원구 동일로178길 19-38 연세빌딩 1층 101, 103호",070-4243-8984
털보고된이 본점,4.3,200,서울 노원구 노해로81길 22-22 1층,02-932-8616
옛날칼국수,3.2,499,서울 노원구 동일로 1417 1층,02-939-6169
우이동멸치국수 본점,4.9,35,서울 노원구 노원로 462 1층,02-939-9595
소담촌,3.9,119,서울 노원구 상계로 90 마블러스1 2층,02-933-5522
태릉양꼬치양갈비,4.3,87,서울 노원구 공릉로 110 1층,02-977-4587
리틀파스타 공릉본점,3.4,361,서울 노원구 동일로198길 78 청교프라자 2층,02-974-0201
투파인드피터 노원점,4.4,686,서울 노원구 상계로1길 34 1층,070-8803-2311
씬머이,4.2,104,서울 노원구 동일로173길 15 1층,010-9902-4822
광성반점,3.6,66,서울 노원구 동일로173가길 5,02-976-0396
화포식당 노원점,4.2,114,서울 노원구 상계로 72 1층,02-936-6699
평양칼국수,3.2,102,서울 노원구 동일로242길 8-4 1층,02-937-5002
이종구낙지세상 본점,3.3,95,서울 노원구 중계로 90 우암타운 1층 109~112호,02-930-9284
아웃백스테이크하우스 노원점,3.8,264,서울 노원구 동일로 1419 디와이홀딩스빌딩 1~2층,02-938-5471
테르미니,3.4,23,서울 노원구 화랑로53길 12,02-972-0036
연어시장 석계본점,4.4,119,서울 노원구 석계로 13 1층,02-910-9540
풍미연,3.1,206,서울 노원구 노해로85길 7,02-936-2315
예향정 노원점,4.6,532,서울 노원구 동일로217가길 31 청화빌딩 2층,0502-5550-0818
삼덕식당,3.8,238,서울 노원구 상계로5길 9 1층,02-932-1013
엄마손칼국수,3.9,102,서울 노원구 상계로39길 5,02-937-4967
하노이별 공릉점,4.4,81,서울 노원구 공릉로29길 18 B101,0502-5551-1795
땅코참숯구이 노원점,4.5,299,서울 노원구 노해로85길 15-5 1층,02-931-2856
호남해물탕아구찜,4.8,20,서울 노원구 노해로81길 22-17 1층,02-934-4226
원조강영숙봉평메밀촌 본점,4.0,58,서울 노원구 공릉로 191-6 1층,02-971-6953
어글리스토브 노원역점,4.3,569,서울 노원구 노해로81길 12-21 3층,02-935-8459
소문난멸치국수,3.4,133,서울 노원구 동일로173가길 81 1층,
돈까스먹는용만이,3.9,345,서울 노원구 한글비석로20길 52,02-931-8870
시즌,3.8,195,서울 노원구 상계로3길 38-2 2층,
신고집찜칼국수 본점,3.7,64,서울 노원구 노원로15길 51-30 1층,02-948-4880
맥도날드 상계DT점,3.5,58,서울 노원구 동일로 1612 1~2층,02-6221-6500
동학,4.2,92,서울 노원구 공릉로51길 6 1층,010-8686-7283
스타벅스 공릉DT점,3.9,66,서울 노원구 동일로 1015,1522-3232
제임스키친,4.3,260,서울 노원구 노해로81길 12-26 2층,02-952-4748
커피베스코,4.3,207,서울 노원구 상계로 55 2층,
무명칼국수,4.3,175,서울 노원구 석계로7길 4,02-941-7776
핏짜굽는언니 공릉점,3.2,107,서울 노원구 동일로198길 58 1층,02-979-0234
운천숯불구이,4.7,33,서울 노원구 상계로3길 38-4,02-932-9933
일상다반,3.0,65,서울 노원구 동일로186길 77-17 1층 101호,02-971-0666
썸머타이,4.3,194,서울 노원구 노해로75길 14-25 동신빌딩 1층,02-935-3649
태능우렁쌈밥 하계점,3.1,17,서울 노원구 한글비석로1길 37 2층,02-971-5074
스타벅스 상계초교사거리점,4.6,44,서울 노원구 노원로 449,1522-3232
고반식당 수락산점,4.4,250,서울 노원구 동일로242길 66 1층,02-2135-7771
공릉동멸치국수,3.9,20,서울 노원구 동일로173가길 43 1층,070-8160-6158
72420 노원직영점,4.4,115,서울 노원구 동일로217가길 11 1층,02-937-2420
오메가생선구이 본점,4.3,29,서울 노원구 화랑로 343 1층,02-975-5592
하회정,4.7,15,서울 노원구 동일로173가길 131 1층,02-977-7005
카페포레스트,4.6,139,서울 노원구 한글비석로12길 51-49,02-2116-0598
일심해장국 월계점,3.1,16,서울 노원구 석계로15길 25 한일아파트상가 1층 108호,02-909-1640
또와순두부수제비,3.4,147,서울 노원구 노해로85길 10-8 1층,02-951-8240
엄마마늘보쌈,4.0,135,서울 노원구 석계로 16,02-913-9222
스시웨이 노원점,3.4,112,서울 노원구 동일로 1374 2층,02-935-3774
노원돈부리,4.6,98,서울 노원구 동일로 1343 동일프라자 1층 101-103호,02-937-1295
터줏대감,3.7,32,서울 노원구 동일로246길 21,02-3391-4546
수락산풍천장어,3.3,27,서울 노원구 동일로242길 48 다온빌딩 1층,02-938-8488
천우가,3.9,140,서울 노원구 덕릉로 688 6층,02-952-9800
피노키오냉면,4.0,141,서울 노원구 한글비석로 474 보람아파트상가 206호,02-930-7233
중원,3.4,71,서울 노원구 동일로242가길 36 1층,02-930-6188
신닭발닭날개,4.6,51,"서울 노원구 상계로3길 38-4 B동 101,102호",02-6463-9111
호이폴로이커피로스터스,4.7,146,서울 노원구 동일로186길 64 1층,010-2613-5782
더숲,3.6,129,"서울 노원구 노해로 480 조광빌딩 지하 1,2층",02-951-0206
횡성한우정육백화점,4.7,326,서울 노원구 공릉로 162,02-972-1712
스타벅스 은행사거리점,3.7,20,"서울 노원구 중계로 217 중흥빌딩 103,203호",1522-3232
가양양꼬치,3.9,66,서울 노원구 노해로85길 1 2층,02-936-8183
영양센타 노원점,3.5,37,서울 노원구 동일로217가길 31 1층,02-937-6038
금화반점,3.9,23,서울 노원구 동일로 1352 3층,02-938-3335
도리연닭도리탕 노원점,4.2,428,서울 노원구 노해로85길 10-8 2층,02-951-6994
풍성진감자탕,3.3,107,서울 노원구 노해로83길 10-11 1층,02-937-3732
더메이즈 노원점,3.2,66,서울 노원구 상계로5길 26 6층,02-6012-2620
브런힐,4.4,95,서울 노원구 중계로8길 48 1층,02-935-0000
토속순창왕순대,4.4,34,서울 노원구 상계로 146 1층,02-939-4392
동선식당,4.6,75,서울 노원구 노해로85길 10-17 1층,02-932-7778
하토상의술방,3.7,43,서울 노원구 상계로3길 10 한일빌딩 2층,
왕십리조개창고 노원점,3.1,31,서울 노원구 상계로1길 38-11 우창프라자 2층 201호,010-3942-3533
천하뼈다귀감자탕,3.2,102,서울 노원구 동일로 1595 1층,02-933-9897
더원,4.4,31,서울 노원구 광운로 61 2층,02-909-5477
화로상회 상계역점,3.7,55,서울 노원구 한글비석로 384 대호프라자 113~120호,02-937-2292
우리집곱창,4.1,142,서울 노원구 덕릉로123길 11,02-936-6091
네코정,3.7,26,서울 노원구 동일로192길 77 동신아파트 104동 상가 2층,070-4110-5224
바다세상,4.7,16,서울 노원구 한글비석로1길 61 1층,02-939-4989
고씨네 서울여대점,3.6,72,서울 노원구 화랑로51나길 8 203호,02-978-9788
닭갈비제작소 노원점,3.6,36,서울 노원구 상계로3길 29 2층,02-932-0223
하나샤브샤브 본점,3.6,49,서울 노원구 동일로203가길 29 브라운스톤상가 1층 101호,02-972-2656
백오얏,4.9,358,서울 노원구 상계로1길 8 대유빌딩 2층 202호,010-8572-9211
봉평메밀막국수 상계본점,3.7,67,서울 노원구 한글비석로20길 61,02-939-1136
포앤시드니 중계브라운스톤점,3.5,296,"서울 노원구 동일로203가길 29 브라운스톤중계 상가 1층 110,111호",02-979-1555
호접몽,3.4,44,서울 노원구 중계로18길 9 2층,02-939-8082
파스쿠찌 공릉역점,4.0,22,"서울 노원구 동일로191길 7 청배빌딩 1,2층",02-972-8497
속초붉은대게 중계점,4.2,50,서울 노원구 한글비석로 366 신일아파트 상가동 1층,02-938-2066
어장촌생선구이,4.1,32,서울 노원구 노해로75길 14-17,02-938-3456
