name,degree,review num,address,tel
수정궁,3.6,86,서울 도봉구 방학로 173,02-3491-0440
무수옥,3.5,148,서울 도봉구 도봉로165길 15,02-954-6292
황금정원,3.0,210,서울 도봉구 방학로 312,02-954-8881
방학사거리짬뽕집 본점,3.0,29,서울 도봉구 도당로27길 22 1층,02-955-6558
통나무집,4.0,23,서울 도봉구 노해로60길 99 1층,02-900-6644
오성정육식당,4.2,54,서울 도봉구 도봉로 500 1층,02-996-6789
묵은지사랑,4.1,35,서울 도봉구 도봉로164길 38,02-954-5264
대문,3.6,43,서울 도봉구 시루봉로 139-6 1층,02-956-0843
산도토리임자탕,4.5,119,서울 도봉구 덕릉로60길 13 1층,02-903-9928
소문난순대국,4.4,49,서울 도봉구 도봉산3길 56 1층,02-955-7004
향원,4.2,24,서울 도봉구 덕릉로59길 62 1층,02-994-5350
영수네감자국 본점,4.2,66,서울 도봉구 도봉로181길 86 1층,02-955-3917
즐거운술상,3.6,100,서울 도봉구 노해로 341 신원리베르텔 1층 117호,
한가향,3.5,111,서울 도봉구 도봉로169길 202 1층,02-955-7722
도봉산양고기,3.3,223,서울 도봉구 도봉로191길 99-6,02-3492-3324
삼오낙지,4.7,138,서울 도봉구 도봉로110길 95 1층,02-992-6309
산아래주막,4.0,145,서울 도봉구 도봉산길 65-17,02-954-5550
옹기꽃게장,3.7,154,서울 도봉구 도봉산4가길 14-9 1층,02-3493-8201
쉐프마인드,4.2,65,서울 도봉구 노해로 384 동아상가 1층 30호,02-992-1691
창동숯불돼지갈비,3.3,52,서울 도봉구 노해로63다길 15,02-900-9818
쌍문동판다쓰,4.1,92,서울 도봉구 우이천로24길 49 1층,02-6052-1578
창동빈대떡,4.3,21,서울 도봉구 도봉로110나길 37 1층,02-990-0576
채랑,4.2,21,서울 도봉구 도봉로 465 1층,02-900-4001
파인트리스텀프,4.4,73,서울 도봉구 방학로17길 48 1-2층,02-975-0003
피자리아150길,4.6,25,서울 도봉구 도봉로150다길 64 여산빌딩 1층 103호,070-7519-4907
이용선칡냉면,4.6,39,서울 도봉구 노해로60길 66 1층,02-900-3522
금문,3.5,58,서울 도봉구 노해로63길 79 우림빌딩 2층 205호,02-907-7575
소도둑 도봉동점,3.8,18,서울 도봉구 도봉로 909 1층,02-955-8882
사누끼,3.5,45,서울 도봉구 노해로63다길 14,02-998-9605
제일곱창,4.0,36,서울 도봉구 노해로65길 7-18 동방프라자 2층,02-995-2790
샤브마을,4.6,555,서울 도봉구 도봉로 445 1층,02-998-8573
장수옥설렁탕도가니탕,3.5,35,서울 도봉구 도봉로 805 1층,02-3494-6980
시골불냉면 방학본점,3.9,25,서울 도봉구 도당로 90-1 1층,02-3492-7735
갈비1번지 방학점,4.1,92,서울 도봉구 도봉로 663-12,02-6338-9292
목포항회센타,3.8,20,서울 도봉구 도봉로181길 13 1층,02-954-6890
빕스 방학점,4.2,173,서울 도봉구 도봉로 684 모비우스스퀘어 9층,02-954-1997
요리왕,4.0,39,서울 도봉구 덕릉로59마길 18,02-906-6304
자매집,4.1,15,서울 도봉구 도봉로156길 22 1층,02-955-5788
마쯔무라돈까스 본점,4.3,196,서울 도봉구 노해로63길 84 지하1층,02-991-9801
덩어리 쌍문본점,3.6,210,서울 도봉구 도봉로117길 8 1층,02-992-0522
북청식당,3.3,46,서울 도봉구 노해로69길 15-15 1층,02-900-0794
태림산채정식,3.8,59,서울 도봉구 노해로60길 32 1층,02-998-5468
골목순대국,3.1,40,서울 도봉구 도봉로133길 41,02-990-5731
영즉석 떡볶이,3.7,81,서울 도봉구 도봉로109길 35-26 1층,02-990-6128
