name,degree,review num,address,tel
고메스퀘어 신대방직영점,3.1,420,서울 동작구 신대방1가길 38 동작성원상떼빌 상가 106동 지하1층 102호,02-845-1350
서일순대국 별관,3.6,150,서울 동작구 여의대방로24길 16 1층,02-821-7769
가마솥손두부,4.0,65,서울 동작구 남부순환로271길 20,02-3472-2202
약초마을,3.3,84,서울 동작구 노량진로 26 1층 102호,02-824-5215
소담촌 사당직영점,4.3,197,서울 동작구 동작대로 43 5층,02-522-0653
전주전집,3.4,429,서울 동작구 동작대로7길 19 1층,010-4660-7391
농부쌈밥,4.0,106,서울 동작구 사당로30길 19,02-521-8005
조가네갑오징어 사당점,3.2,190,서울 동작구 남부순환로271길 24 1층,02-3472-0108
라시에스타,3.3,249,서울 동작구 동작대로 21 양지빌딩 6층,02-587-9087
닥터로빈 흑석점,3.2,135,서울 동작구 현충로 124 뉴지엄 1층,02-3280-3103
논고을,3.6,267,서울 동작구 남부순환로269길 12,02-525-9203
동작노을카페,3.8,66,서울 동작구 동작대로 335 1-4층,
모스키친,4.5,45,서울 동작구 보라매로 91 1층,02-6497-3529
김종구의참치박사,4.3,771,서울 동작구 동작대로 25-1,02-523-3799
머치커피,4.5,206,서울 동작구 동작대로9길 43 1층,0507-1320-2726
운봉산장,4.2,511,서울 동작구 장승배기로 118-1 1층,02-815-2850
방배김밥,3.6,84,서울 동작구 동작대로27길 59-16 1층,02-599-0566
해물한소반 사당직영점,3.4,116,서울 동작구 동작대로1길 18 1층,02-597-0717
다독이네숯불구이,4.8,408,서울 동작구 노량진로 106-5 1층,02-6101-9299
기꾸참치,4.7,174,서울 동작구 남부순환로271길 14 2층,02-3486-3737
영일만,4.0,127,서울 동작구 남부순환로271길 27 1층,02-522-4080
어촌식당,4.0,116,서울 동작구 상도로 122 1층,02-815-4715
브레드숨,4.2,107,서울 동작구 노량진로24길 2 한강쌍용아파트 상가 101호,070-8861-0007
서일순대국 본관,3.7,109,서울 동작구 여의대방로22길 20 1층,02-821-3468
