name,degree,review num,address,tel
락희안 가좌본점,4.0,785,서울 서대문구 가재울로4길 53 1-2층,0507-1375-7581
고미정,4.0,284,서울 서대문구 연희로26길 28 1-2층,02-324-0016
어머니와아들,4.1,300,서울 서대문구 홍은중앙로 100-1 1층,02-391-0411
연희동칼국수 본점,3.3,353,서울 서대문구 연희맛로 37 2층,02-333-3955
복성각,3.2,73,서울 서대문구 명물1길 24,02-364-1522
미스터서왕만두,4.5,158,서울 서대문구 신촌역로 16 103호,
맛있는집,4.6,198,서울 서대문구 거북골로20길 55 지하1층,02-305-1906
조은집,3.3,106,서울 서대문구 연희맛로 43,02-323-8084
목란,3.2,839,서울 서대문구 연희로15길 21,02-732-0054
달인꽈배기,3.8,63,서울 서대문구 통일로 205-3,02-313-5419
공릉닭한마리,3.6,108,서울 서대문구 연세로2길 77 1층,02-393-9599
이품,3.5,149,서울 서대문구 연희로11길 20 1층,02-322-6172
연희곰탕,4.4,81,서울 서대문구 증가로 17 1층,02-336-1801
피터팬1978 본점,4.0,230,서울 서대문구 증가로 10 연궁빌딩 1층,02-336-4775
우동카덴 연희점,3.5,436,서울 서대문구 연희로 173 거화빌딩 1층,02-3142-6362
정통집 신촌점,3.1,17,서울 서대문구 연세로9길 7 1층,02-3144-7848
심야식당텐조,4.3,161,서울 서대문구 거북골로20길 71 1층,02-303-1057
더파이홀,4.1,604,서울 서대문구 연세로5나길 20 1층,010-4258-1181
연희보리밥,3.5,422,서울 서대문구 연희맛로 33 1층,
롯지190,4.6,62,서울 서대문구 홍제천로 190 1층,
라이라이,3.6,122,서울 서대문구 연희로15길 27,02-338-3203
춘천집닭갈비막국수,3.3,62,서울 서대문구 연세로5가길 1 1층,02-325-2361
리틀쿠바,4.2,172,서울 서대문구 연세로11길 5 2층,02-6369-4056
돈불1971 신촌직영점,4.2,498,서울 서대문구 연세로5다길 36 1층,02-3141-1617
꼬숑돈까스,3.8,302,서울 서대문구 명물1길 2 1층,
더도이축산직영점 신촌본점,4.4,14,서울 서대문구 연세로7길 24 1층,02-2135-6624
신촌영양센터,3.2,36,서울 서대문구 연세로4길 34 1층,02-312-5460
여우골 신촌점,3.8,47,서울 서대문구 연세로5다길 10 1층,02-6337-4988
녹원쌈밥,3.6,73,서울 서대문구 연희로25길 22,02-336-9483
통큰갈비 신촌본점,4.4,134,서울 서대문구 연세로5다길 40 1층,02-333-1397
모래내곱창,4.5,96,서울 서대문구 증가로10길 26 1층,02-306-0374
청송함흥냉면전문점 본관,3.8,139,서울 서대문구 연희맛로 6 1층,02-334-3545
아마 신촌본점,4.5,164,서울 서대문구 연세로7길 24 2층,
로얄싸롱,3.8,210,서울 서대문구 연희로11가길 43,02-6956-2112
폴앤폴리나 연희동점,4.5,55,서울 서대문구 연희로11길 56 1층,02-333-0185
동학뉴욕비,4.7,15,"서울 서대문구 연세로12길 37-3 지하1층,1층",
땡땡거리 형제옥,4.3,27,서울 서대문구 충정로6안길 3 1층 땡땡거리 형제옥 식당,0502-5551-0091
이로운밥상,4.0,166,서울 서대문구 연대동문길 27-6 1-2층,02-365-1245
사조미가,3.4,46,서울 서대문구 통일로 107-39 사조빌딩 2층,02-362-1500
강수사,4.3,32,서울 서대문구 연희로 157 1층,02-3141-4848
맛있는칼국수 본점,4.3,127,서울 서대문구 불광천길 150 1층,02-375-9177
월순철판동태찜,4.3,234,서울 서대문구 연희맛로 17-14 1층,02-325-1567
호천식당,3.6,89,서울 서대문구 연희로14길 5,02-334-0749
봉일천장군집,4.5,36,서울 서대문구 응암로 141,02-309-7364
곳간 전세계제분소,4.3,64,서울 서대문구 성산로 317 가동 1층,02-999-4722
월순홍가네철판동태찜 서대문점,3.4,60,서울 서대문구 통일로9안길 20-14 1층,02-362-4549
완차이,4.1,106,서울 서대문구 명물길 50-7 1-2층,02-392-7744
평택고여사집냉면,4.0,64,서울 서대문구 연희로 81-9 1층,02-392-7461
파파노다이닝,3.5,42,서울 서대문구 이화여대길 88-14 1층,02-364-0604
클로리스 신촌점,4.2,126,서울 서대문구 연세로4길 38,02-392-7523
앤트러사이트 연희점,3.5,213,서울 서대문구 연희로 135,02-332-7650
타코벨 신촌점,3.2,62,서울 서대문구 연세로 26-1 1층,02-365-4540
복성각 서대문점,3.7,81,서울 서대문구 통일로 135 충정빌딩 지하1층,02-313-5887
장위동유성집 서대문점,5.0,90,서울 서대문구 경기대로 63,02-392-4102
미스터힐링 신촌점,4.1,21,서울 서대문구 신촌로 119 신영스카이텔 지하1층,02-2138-1187
소담식당,3.9,31,서울 서대문구 연세로4길 21 1층,070-8152-1177
파파브레드,4.5,44,서울 서대문구 북아현로2안길 6 1층,0502-5550-7254
스타벅스 연희DT점,3.7,30,서울 서대문구 연희로 144,1522-3232
소신이쏘,3.8,116,서울 서대문구 연세로5가길 19 1층,02-324-3245
닥터로빈 이대점,4.2,51,서울 서대문구 이화여대길 52 이화여대캠퍼스 ECC 지하 4층,02-363-3101
아저씨네낙지찜 신촌점,4.1,79,서울 서대문구 연세로5다길 39,02-323-6665
부탄츄 신촌점,3.3,227,서울 서대문구 연세로5길 26-9 1층,02-3144-6604
웅네서서갈비,3.9,143,서울 서대문구 신촌역로 13-1 1층,02-365-6333
엄마손떡볶이 본점,3.4,105,서울 서대문구 증가로10길 37,02-305-7572
효동각 본점,3.0,29,서울 서대문구 연대동문길 24,
그로어스,4.2,967,서울 서대문구 연희로27길 52 1~2층,02-332-9653
대성집 별관,3.7,26,서울 서대문구 영천시장길 54 영천시장 1층,02-392-8998
미네르바,4.5,57,서울 서대문구 명물길 18 2층,02-3147-1327
천진분식,4.5,92,서울 서대문구 이화여대5길 7,02-364-0410
고삼이 신촌점,4.4,266,서울 서대문구 연세로7안길 38 1층,02-324-1403
돈까스대왕전,3.4,12,서울 서대문구 신촌로 155 해암빌딩 1층,
가타쯔무리,4.2,291,서울 서대문구 명지대길 72 1층,
정육면체,3.7,658,서울 서대문구 연세로5다길 22-8 1층,070-4179-3819
아웃백스테이크하우스 신촌점,3.9,165,서울 서대문구 연세로12길 33,02-3147-1871
스웨이커피스테이션,4.2,320,서울 서대문구 연희로11길 61,02-6348-0061
영이호프,4.5,19,서울 서대문구 거북골로 19-1 1층,02-302-2539
독수리다방,4.1,144,서울 서대문구 연세로 36 독수리빌딩 8층,02-363-1222
민스키친 연희점,4.1,16,서울 서대문구 연희맛로 7 2층,02-324-5511
산천마루,3.8,294,서울 서대문구 세검정로1길 21,02-394-3919
신촌수제비,3.1,190,서울 서대문구 신촌로 87-8 1층,02-334-9252
제니스카페,4.2,42,서울 서대문구 연희맛로 17-49,02-3789-7817
오향만두,4.4,156,서울 서대문구 연희맛로 22 1층,02-326-2087
스타벅스 이대점,3.9,140,서울 서대문구 이화여대길 34 1층,1522-3232
주막보리밥,4.5,43,서울 서대문구 신촌로 17 동우빌딩 1층,02-332-5662
사모님돈가스,4.3,236,서울 서대문구 연희로11가길 39 2층,02-332-2204
소담촌 홍제점,3.6,38,서울 서대문구 통일로 413 연세스포츠센터 5층,02-391-8877
디폴트밸류,4.3,119,서울 서대문구 성산로 333 노엘 1층,02-2293-3889
진미오향족발,4.1,29,서울 서대문구 연세로5나길 18,0504-458-0682
명륜진사갈비 서울연희점,4.0,95,서울 서대문구 성산로 325 동신빌딩 1층,02-332-9252
장어세상,4.0,15,서울 서대문구 수색로10길 11,02-304-1015
매뉴팩트커피 연희본점,4.3,187,서울 서대문구 연희로11길 29 1-2층,02-6406-8777
유닭스토리 닭한마리 신촌점,3.7,167,서울 서대문구 연세로4길 7 1층,02-6012-9563
벽제갈비 신촌점,3.6,55,서울 서대문구 명물길 22 2층,02-392-8308
비밀,4.3,32,서울 서대문구 이화여대7길 48 경국빌딩 1층 101호,02-313-0877
커피빈 신촌점,4.3,32,서울 서대문구 연세로 8-1 버티고빌딩 1층,02-363-5572
명인강메밀 푸른초장,4.0,90,서울 서대문구 충정로 43-4 1층,02-362-1172
연희김밥 본점,3.4,97,서울 서대문구 연희로11가길 2,02-323-8090
가마마루이,4.1,120,서울 서대문구 성산로22길 4,02-3142-3929
카페폭포,4.1,500,서울 서대문구 연희로 262-24 1층,02-330-4998
연남서식당,3.4,68,서울 서대문구 연희맛로 15,02-716-2520
금옥당 연희점,3.7,171,서울 서대문구 연희로11라길 2 1층,02-322-3378
시오 연희본점,3.5,278,서울 서대문구 연희로11가길 23 1층,02-3144-6919
현명식탁,4.0,363,서울 서대문구 명물길 32 5층,02-2088-1229
오소오소 서대문직영점,3.4,277,서울 서대문구 충정로 47 신원빌딩 지하1층,02-363-5550
양밍산,4.4,73,서울 서대문구 가좌로 36 1층,010-3233-1688
연어초밥,4.7,122,서울 서대문구 이화여대1길 42-1 3층,02-313-2611
제주돈1848,4.3,49,서울 서대문구 명물길 27-7,02-363-1848
식탁 하늬솔점,3.2,25,서울 서대문구 성산로 527 하늬솔빌딩 1층,02-362-0777
인왕골,4.0,38,서울 서대문구 인왕시장길 42 1층,02-391-6787
콩부자 홍제점,3.8,26,서울 서대문구 통일로 427-1 1층,02-395-2018
술익는마을,3.8,35,서울 서대문구 연세로7길 22 1층,
카츠미 신촌점,3.4,43,서울 서대문구 연세로7안길 2 2층,02-336-3521
미도인 신촌점,3.5,24,서울 서대문구 명물길 33 2층,02-313-6111
구씨네부엌,4.2,459,서울 서대문구 신촌로 9 1층,02-333-9931
삭,4.1,119,서울 서대문구 이화여대3길 12 1층,02-363-0709
카우떡볶이,3.7,196,서울 서대문구 이화여대길 88-21 1층,02-313-9999
이정희떡볶이,3.5,120,서울 서대문구 증가로10길 14 1층,02-303-4302
까이식당,4.5,134,서울 서대문구 이화여대2가길 24 1층,02-313-7339
스시마쯔,4.3,30,서울 서대문구 연희로 166 1층,02-3144-2129
유자유김치떡볶이 신촌점,4.2,182,서울 서대문구 연세로11길 22,02-332-9301
서대문족발 본점,3.5,10,서울 서대문구 충정로6안길 54,02-312-5580
타코몽,4.5,204,서울 서대문구 신촌로 49 1층,02-334-8106
원조봉순게장,4.2,136,서울 서대문구 경기대로 26-26 더스타일하우스디센트럴 201동 B106호,02-3147-2333
별당김치찜,3.7,61,서울 서대문구 명물1길 2 1층,
호밀밭,4.3,242,서울 서대문구 신촌역로 43 1층,02-392-5345
정정아식당 신촌직영점,4.2,20,서울 서대문구 연세로5가길 32 2층,02-3144-7796
쿳사 연희,4.3,350,서울 서대문구 증가로 48 대로변 (주차정보는 꼭 네이버에서 확인 부탁드립니다),0507-1310-1977
아민 이화,4.4,954,서울 서대문구 이화여대길 52-31 1층,02-363-0113
뉴타운,3.6,114,서울 서대문구 연세로12길 27 1층,
고릴라,3.9,86,서울 서대문구 충정로 22-2,02-312-3541
난향,3.4,48,서울 서대문구 신촌로 67 거촌빌딩 지하1층,02-322-6900
테라스,3.9,53,서울 서대문구 북아현로 2 2층,02-362-0027
동래정 아현점,4.8,24,서울 서대문구 신촌로 261-1 1층,02-365-0603
부엉이돈가스 신촌점,4.1,48,서울 서대문구 연세로4길 62 1층,02-312-1216
낙원스낵 신촌점,3.9,22,서울 서대문구 연세로5가길 17 1층,
탭스터,4.7,66,서울 서대문구 증가로 1 1층 103호,070-7576-2448
왕왕,3.6,33,서울 서대문구 연희맛로 27 2층,02-333-5188
이빠네마그릴,4.0,481,서울 서대문구 연세로4길 6 2층,02-365-6118
가미분식,4.0,99,"서울 서대문구 이화여대8길 2 301-나,302호",02-364-3948
왕봉24시해장국,3.9,35,서울 서대문구 인왕시장길 46,02-379-7362
