name,degree,review num,address,tel
옛날마차,3.5,122,서울 양천구 신정중앙로 84,02-2608-6755
푸주옥,3.5,75,서울 양천구 남부순환로 663 1층,02-2696-8825
양천뼈다귀 본점,3.7,261,서울 양천구 목동동로 258,02-2642-4334
대박곱창 본점,4.3,192,서울 양천구 오목로 170 태남프라자 1층,02-2601-8892
황금오리농장,3.8,128,서울 양천구 국회대로 192 1층,02-2699-6974
항아리보쌈,4.3,23,서울 양천구 신목로 48 1층,02-2696-0053
삿뽀로 목동점,3.2,81,서울 양천구 목동동로 189 삼성쉐르빌1 지하1층 102호,02-2644-3366
설악산칡냉면 본점,3.5,65,서울 양천구 목동중앙남로3가길 59 1층,02-2645-8985
팔각도 목동점,3.6,610,서울 양천구 목동동로 266-1 금강빌딩 1층,02-6053-8883
락희안 목동점,4.0,66,서울 양천구 오목로 330 2-3층,0507-1492-7579
파티세리소나,4.7,257,서울 양천구 목동중앙북로5길 34 1층,02-2606-4454
마실,3.8,36,서울 양천구 목동동로 55 신정동밀레니엄프라자 6층,02-2649-1800
더아리엘 목동점,3.3,326,서울 양천구 오목로 300 현대하이페리온2 206동 지하1층 109~115호,02-2655-0770
스타벅스 신월IC DT점,3.3,22,서울 양천구 남부순환로 430,1522-3232
화로상회 목동1호점,4.0,21,서울 양천구 목동동로8길 9 1층,02-2062-2292
한마음정육식당 목동직영점,4.7,113,서울 양천구 신목로 48,02-6014-2929
대가,3.5,495,서울 양천구 신정중앙로 66,02-2605-1667
서가앤쿡 서울목동점,3.4,49,서울 양천구 오목로 286 2층,02-2647-2006
원조양평신내서울해장국 양천직영점,4.0,114,서울 양천구 공항대로 646 태진빌딩 1층,02-2653-3456
만복순대국,3.9,215,서울 양천구 목동로 219 1층,02-2696-0304
조개천하 목동직영점,3.5,70,서울 양천구 신정중앙로 68 해풍빌딩 1층 101호,02-2065-2067
원두막,3.0,51,서울 양천구 신목로 56 2-3층,02-2061-1212
6즙530,3.8,62,"서울 양천구 오목로 337-10 소망빌딩 1층 105,106호",02-2642-9298
홍마방,4.0,136,서울 양천구 목동중앙북로14길 1 1층,02-2646-9316
커피별녹색잔,4.6,181,서울 양천구 목동로21길 26,02-2696-3337
카멜리온,4.5,275,서울 양천구 오목로 196 1층,
강릉스낵,3.8,214,서울 양천구 목동동로 228-2 1층,02-2643-5556
시민막국수숯불닭갈비,4.3,200,서울 양천구 목동동로10길 21-1 1층,02-2062-4848
목동평양면옥 본점,3.9,56,서울 양천구 목동서로 57 1층,02-2644-7743
허니돈,4.8,30,서울 양천구 목동동로 309 지하1층,
사또춘천숯불닭갈비,4.9,10,서울 양천구 신정중앙로 74,
안동돼지갈비 본점,3.5,64,서울 양천구 목동중앙북로7가길 43 1층,02-2647-8886
진미집,3.1,135,서울 양천구 공항대로 646 1층 1호,02-3664-6400
동호철판낙지,4.5,31,서울 양천구 신월로15길 12,02-2605-9876
정진식당,4.5,63,서울 양천구 신정중앙로 94 1층,02-2602-3378
스타벅스 목동행복한점,4.4,25,서울 양천구 목동동로 309,1522-3232
그집장어,4.5,13,서울 양천구 오목로 192 대청빌딩 1층,02-2606-9981
할머니추어탕 신월2호점,3.7,61,서울 양천구 가로공원로 146 정용빌딩 1층,02-2607-1023
소플러스 신월점,3.2,66,서울 양천구 화곡로 64 1층,02-2696-9277
양산도 목동점,4.9,341,서울 양천구 목동서로 155 상가 113호,02-6739-0123
색동저고리 목동점,3.8,36,서울 양천구 목동동로 411,02-2649-5522
일미락 본점,3.7,128,서울 양천구 목동동로 226-15 1층,02-2642-9292
금성수제돈까스백반,3.6,72,서울 양천구 신목로5길 3 1층,02-2653-2630
만춘원,4.3,18,서울 양천구 은행정로18길 10 1층,02-2699-2281
스시경,4.1,96,서울 양천구 목동중앙북로7가길 10 정목빌딩 1층 106호,02-2062-0677
창평가마솥순대국 유일무이점,4.0,18,서울 양천구 오목로 320-2 청석빌딩 1층,02-2643-3100
양천옥설렁탕,4.2,106,서울 양천구 등촌로 86,02-2654-7788
착한낙지 목동점,3.1,96,서울 양천구 국회대로 289,02-2649-0112
상도연탄갈비,3.7,31,"서울 양천구 신목로 100-2 1,2층",02-2062-8676
한우나주곰탕,3.8,217,서울 양천구 오목로 313-2 1층,02-2645-3999
박가네들깨칼국수 목동본점,4.2,38,서울 양천구 신목로12길 7,02-2649-2333
부산돼지국밥 신월점,4.2,112,서울 양천구 남부순환로 344 1층,02-2690-5533
윤정포장마차,3.4,18,서울 양천구 중앙로34길 19 1층,
가이오국수 목동점,4.6,24,서울 양천구 목동중앙북로 33 1층,02-2655-0925
강모집,4.0,127,서울 양천구 목동중앙본로 107 대명이튼캐슬 A동 1층 101호,02-6406-7904
라고파스타,3.9,87,서울 양천구 목동동로 293 현대41타워 1층,02-2168-2331
백년초버섯칼국수,3.1,13,서울 양천구 목동중앙로 45,02-2652-2239
도쿄빙수 오목교역점,3.6,21,서울 양천구 오목로 328 1층,02-2644-6568
달마을,4.7,40,서울 양천구 목동중앙본로 80,02-2642-0953
남춘네숯불닭갈비 염창직영점,4.3,70,서울 양천구 목동중앙북로 100 1층,02-2645-2668
목동해물,3.2,58,서울 양천구 목동동로 226-14 1층,02-6101-2335
화이트리에 목동점,4.6,92,서울 양천구 목동동로 387 광장빌딩2차 1층,02-2646-3008
우곳간,4.9,52,서울 양천구 목동로15길 8 삼천리아파트 101동 상가 1층 3호,070-7778-3113
소품은돼지,4.2,226,서울 양천구 신월로 133 양천빌딩 1층,02-2699-7773
신정닭발 본점,4.3,88,서울 양천구 중앙로34길 6,02-2642-9918
14일의설레임,4.4,173,서울 양천구 월정로 20 1층,02-2602-8292
매드포갈릭 목동점,4.1,77,서울 양천구 목동동로 233-3 SMT빌딩 지하1층,02-2061-1191
둥근바다,4.2,29,서울 양천구 신목로 70 1층,02-2646-0808
크래프트한스 오목교점,4.9,14,서울 양천구 오목로 329-2 1층,02-2061-0515
쉐이크쉑 목동점,3.6,63,서울 양천구 목동서로 161 1층,02-6436-0202
노형,4.4,24,서울 양천구 목동동로14길 9 1층,
송추가마골 인어반 목동점,3.5,87,서울 양천구 목동동로 293 현대41타워 3층,02-6959-5461
호돈돈가스,4.3,95,서울 양천구 신월로 132 1층 102호,070-8800-7789
보사노바 베이커리랩 신정점,3.0,265,서울 양천구 중앙로45길 8-32 1-2층,02-2602-3038
금석궁,4.0,59,서울 양천구 오목로48길 19 1층,02-2608-3100
홍두깨손칼국수,3.7,41,서울 양천구 남부순환로 589,
닥터로빈 목동점,3.7,958,서울 양천구 오목로 299 트라팰리스 웨스터애비뉴 W동 1층 101호,02-2646-3101
해촌샤브칼국수 목동직영점,4.0,22,서울 양천구 목동중앙북로 65 1층,02-2644-9114
금강호민물장어 신월본점,4.0,38,서울 양천구 남부순환로 431,02-2602-0592
스타벅스 신월동DT,4.5,20,서울 양천구 남부순환로 319,1522-3232
미시락,3.6,42,서울 양천구 목동중앙북로16길 10 1층,02-2645-5065
족발신선생 목동점,3.5,183,서울 양천구 신정중앙로 98 1층,02-2692-9225
살구나무집칼국수,3.5,87,서울 양천구 중앙로32길 35,02-2652-9991
