name,degree,review num,address,tel
충무칼국수보쌈,3.8,238,서울 은평구 은평로 193 2층,02-3142-3198
가이오국수 본점,4.0,203,서울 은평구 연서로 132 1층,02-388-0621
1인1잔,3.6,516,서울 은평구 연서로 534 1-2층,02-355-1111
중화원,3.6,187,서울 은평구 통일로66길 10-16 1층,02-353-3379
원조두꺼비집불오징어,4.3,440,서울 은평구 연서로28길 5 1-2층,02-355-3130
산들애 건강밥상,4.0,147,서울 은평구 대서문길 43-16 1층,02-385-9693
목노집,3.8,150,서울 은평구 연서로28길 10 1층,02-355-1652
차이몬스터,3.8,447,서울 은평구 불광천길 334 1층,02-305-7843
탕면,4.4,270,서울 은평구 진관3로 33 지하1층 B111호,02-6084-0342
소담촌 구산직영점,3.6,173,서울 은평구 서오릉로 145 상원빌딩 3층,02-356-8668
봉평 옹심이메밀칼국수,4.2,101,서울 은평구 연서로 247,02-354-5121
원조은평감자국,4.4,43,서울 은평구 응암로 287 1층,02-389-4458
골목집갈비살 연신내직영점,4.2,38,서울 은평구 연서로27길 12-9 1층,02-6398-4586
벙구갈비,4.1,48,서울 은평구 응암로 269 1층,02-352-5092
옥토끼제면소,4.4,157,서울 은평구 불광천길 536 1층,02-6104-6353
아리산채,4.3,111,서울 은평구 수색로 217-1 1층,02-307-1687
모이세해장국,4.1,83,서울 은평구 연서로 60 1층,02-353-4174
통김치삼겹살,4.6,128,서울 은평구 응암로13길 23 1층,02-302-4772
보들이족발,3.7,570,서울 은평구 연서로 230-10,0507-1429-7610
다온상회,4.2,106,서울 은평구 연서로 205-2 1층,
화포식당 연신내점,4.0,41,서울 은평구 연서로29길 20-15 1층,0507-1428-8591
스타벅스 연신내역사거리점,4.0,37,서울 은평구 통일로 842,1522-3232
넷길이콩나물국밥,4.4,125,서울 은평구 진흥로 139 2층,02-6406-7808
이상향,4.1,286,서울 은평구 진흥로5길 17 1층,070-7797-7206
카페뤽상부르,3.9,118,"서울 은평구 연서로25길 6-11 1, 2층",02-385-2846
은하식당,4.1,44,서울 은평구 진흥로15길 26 1층,02-355-3980
깡통그릴,4.9,97,서울 은평구 응암로9길 19-1 1층,
벙구갈비,4.1,24,서울 은평구 은평로 32,02-306-5092
플롭 불광천점,3.9,242,서울 은평구 불광천길 338 1층,02-303-1195
흥수갈비,4.8,13,서울 은평구 응암로13길 7 1층,02-302-6586
싸리골,4.1,32,서울 은평구 서오릉로 160 1층,02-355-3086
마포구이마당 DMC본점,3.8,600,서울 은평구 증산서길 14-7 1층,02-376-8880
