이름,서브카테고리,평점,리뷰수,주소,위도,경도,전화번호,메뉴,영업시간
푸지미곱창,"곱창,막창",3.7,351,"서울 강동구 천호옛14길 23
(지번) 성내동 42-5",37.5361921826906,127.126763513364,,메뉴 없음,매일 16:00 ~ 22:30
로니로티 천호점,이탈리안,4.0,905,"서울 강동구 천호대로 1027 동원천호빌딩 2층
(지번) 천호동 454-15",37.5381084632581,127.126395521678,02-487-7999,메뉴 없음,매일 11:30 ~ 22:30 · 휴게시간 매일 15:30 ~ 16:20
화진포막국수 강동구청점,국수,3.9,140,"서울 강동구 성내로10길 12 1층
(지번) 성내동 559-9",37.5284392781969,127.124537634413,02-478-1539,"순메밀 동치미 막국수 (10,000원), 순메밀 열무 막국수 (10,000원), 명태 식해 비빔 막국수 (11,000원), 들기름 막국수 (10,000원), 메밀곰국시 (10,000원), 떡만두국 (10,000원), 어린이메밀 (6,000원), 접시수육 (25,000원), 명태식해보쌈 (25,000원), 항정보쌈 (중) (35,000원), 수육정식 (2인 이상) (16,000원), 물만두 (5,000원)",화~일 11:00 ~ 21:00
강동반상,한식,3.6,158,"서울 강동구 상일로6길 39 강동타워 지하1층
(지번) 상일동 502",37.5498036802654,127.175347693962,02-429-2733,"궁중갈비찜 (60,000원), 소고기만두전골 (25,000원), 두부김치 (15,000원), 통오징어 (13,000원), 보쌈수육 (13,000원), 더덕구이 (16,000원), 황태구이 (12,000원), 녹두전 (12,000원), 간장게장 (2마리) (9,000원), 김치제육볶음 (8,000원)",매일 11:20 ~ 21:30 · 휴게시간 매일 15:00 ~ 17:30
몽땅족발,"족발,보쌈",3.9,141,"서울 강동구 구천면로24길 20-16
(지번) 천호동 426-3",37.5401794774236,127.125148594623,02-485-7669,"족발 (대) (43,000원), 족발 (중) (35,000원), 족발 (소) (30,000원), 쟁반국수 (대) (14,000원), 쟁반국수 (소) (7,000원), 물냉막국수 (5,000원), 비빔냉막국수 (5,000원)",매일 11:30 ~ 00:30
백년화편,"떡,한과",3.9,462,"서울 강동구 양재대로81길 32 1층
(지번) 성내동 442-12",37.5233052345274,127.132528261747,1588-5678,"밥알찹쌀떡 1box(32개) (42,000원), 밥알흑임자 1box(32개) (42,000원), 밥알찹쌀떡 + 양갱모둠세트 (67,000원), 밥알흑임자 + 양갱모둠세트 (67,000원)",매일 08:00 ~ 19:00
긴자 올림픽공원점,일식집,3.1,66,"서울 강동구 강동대로 223
(지번) 성내동 448-21",37.5232048384312,127.131178168789,02-483-1122,"긴자 사시미 코스 (68,000원), 아라다께 (50,000원), 모둠사시미 (30,000원), 모둠튀김 (30,000원), 참치모둠사시미 (50,000원)",매일 11:30 ~ 22:00
강동해물찜해천탕,"매운탕,해물탕",3.4,36,"서울 강동구 양재대로 1416 1,2층
(지번) 둔촌동 439",,,02-483-7345,"해물찜 (소) (60,000원), 아귀찜 (소) (60,000원), 전복찜 (중) (90,000원), 해물갈비찜 (89,000원), 문어연포탕 (소) (70,000원), 해물찜 (중) (70,000원), 해물찜 대) (84,000원), 전복찜 (대) (105,000원), 해천탕 (소) (90,000원), 해천탕 (중) (110,000원), 해천탕 (대) (130,000원), 문어연포탕 (대) (99,000원), 아귀찜 (중) (70,000원), 아귀찜 (대) (84,000원), 해물순두부 (9,000원), 바지락칼국수 (9,000원), 새알팥죽 (10,000원), 낙지칼국수 (15,000원), 해물파전 (23,000원), 낙지볶음정식 (13,000원), 해물갈비탕 (13,000원), 코다리정식 (13,000원)",매일 11:00 ~ 22:00
탄다타,"육류,고기",4.0,45,"서울 강동구 양재대로89길 16 파크프라자
(지번) 성내동 428-2",37.5268826423806,127.134695601656,02-477-9585,"한우 한마리 (79,000원), 한우육회 (25,000원), 탄다타 스페셜 (68,000원), 와규등심 (30,000원), 호주산 치마살 (33,000원), 호주산 갈비살 (30,000원), 삼겹살 (13,000원), 목살 (13,000원), 갈매기살 (17,000원), 가브리살 (17,000원), 항정살 (19,000원), 대패삼겹 (12,000원), 김치말이국수 (7,000원), 구워먹는치즈 (6,000원), 김치찌개 (7,000원), 냉면 (7,000원)",매일 11:00 ~ 01:00
에이컷스테이크 올림픽공원점,"스테이크,립",4.1,80,"서울 강동구 강동대로 187 파크뷰캐슬 2층
(지번) 성내동 468-4",37.5248151675743,127.127421099558,02-482-8050,"Awesome steak BOX (23,000원), Awesome shrimp BOX (22,500원), Awesome Porkribs BOX (23,500원), 버팔로 치킨박스 (17,500원), 알리오올리오 (12,000원), 비프 스테이크 필라프 (21,000원), 뉴욕 스트립 스테이크 (39,000원), 프리미엄 에이컷스트립스테이크 (49,000원), 프리미엄 립아이 스테이크 (48,000원), 까망베르 피자 (19,000원), 스테이크하우스피자 (21,000원), 통삼겹 김치 필라프 (21,000원), 팝오버 (1,500원), 홈메이드 리코타 샐러드 (9,900원), 우삼겹파스타 (16,000원), 코카콜라 335mL (2,000원), 스프라이트 335mL (2,000원)",매일 11:00 ~ 21:00 · 휴게시간 매일 15:00 ~ 17:00
