이름,서브카테고리,평점,리뷰수,주소,위도,경도,전화번호,메뉴,영업시간
신림춘천집 구로디지털직영점,닭요리,4.6,748,"서울 구로구 디지털로32나길 17-23 우남산업 102호
(지번) 구로동 1124-69",37.4840587045063,126.899846627555,070-8624-1998,메뉴 없음,영업시간 매일 11:30 ~ 22:00 · 휴게시간 매일 15:00 ~ 17:00
월래순교자관,중국요리,4.1,435,"서울 구로구 디지털로19길 12 1층
(지번) 가리봉동 131-22",37.4803128977754,126.890067650003,02-855-8488,메뉴 없음,월요일
컴포 신도림점,베트남음식,4.6,191,"서울 구로구 경인로67길 57 상림빌딩 1층 102호
(지번) 신도림동 328-4",37.5118437474354,126.887720137562,02-2637-3841,"월남쌈(무한리필) (24,000원)",월요일
오사카로,일본식주점,3.3,132,"서울 구로구 경인로67길 23 신도림2차푸르지오 101동 2층 206호
(지번) 신도림동 338",37.5104826397728,126.889481191271,02-2634-2223,"칠리새우 (23,000원), 단호박해물떡볶이 (28,000원), 새우튀김 (24,000원), 스모듬가라아게 (27,000원), 카르보나라해물떡볶이 (28,000원), 타코가라아게 (23,000원), 치킨가라아게 (19,000원), 오징어다리가라아게 (18,000원), 모듬꼬치구이 (32,000원), 메로구이 (35,000원), 간장레몬탕수육 (25,000원), 전복버터구이 (40,000원), 사천탕수육 (25,000원), 연어샐러드 (25,000원), 문어아보카도샐러드 (28,000원), 모찌리도후카프레제 (23,000원), 연어무한릭팅 (33,500원), 얼큰새우탕 (32,000원), 해물알탕 (28,000원), 누룽지명란계란탕 (24,000원), 해물누룽지탕 (24,000원), 미나리모듬조개탕 (34,000원), 간사이오뎅나베 (25,000원), 해물숙주볶음 (24,000원), 생삼겹숙주볶음 (20,000원), 불고기숙주볶음 (22,000원), 해물야끼우동 (26,000원), 불고기야끼우동 (25,000원), 순살간장찜닭 (25,000원), 활어모듬초밥 (25,000원), 연어덮밥 (18,000원), 도리고노와다 (34,000원), 회덮밥 (12,000원), 이고노와다 (34,000원), 소고기버터알밥 (15,000원), 모듬고노와다 (40,000원), 알밥 (8,000원), 전복해장라면 (25,000원), 활어회무침 (27,000원), 우동 (8,000원), 낫또 (12,000원), 마구로낫또 (15,000원), 타코와사비 (15,000원), 모찌리도후 (12,000원), 명란계란말이 (15,000원), 모든고로케 (12,000원), 치킨또띠아 (18,000원), 도미사시미 (40,000원), 광어사시미 (40,000원), 연어사시미 (36,000원), 모든세코시 (60,000원), 제주딱새우 (38,000원), 문이숙회 (35,000원), 모듬사시미(소) (62,000원), 소고기육회 (40,000원)",월~목 17:00 ~ 02:00
메이비,카페,3.0,69,"서울 구로구 디지털로32나길 51
(지번) 구로동 1124-49",37.484901329527,126.900382117847,02-859-3073,"데일리 브런치 (16,500원), 프렌치 토스트 (14,000원), 버터 밀크 팬케익 (14,000원), 크로크마담 (15,500원), 에그베네딕트 (15,500원), 빅브런치 (22,000원), BLT 샌드위치 (12,500원), 연탄불고기 치즈 샌드위치 (14,500원), 치폴레 치킨 샌드위치 (15,500원), 컬러풀 토마토 리코타 샐러드 (14,500원), 아보카도 쉬림프 샐러드 (15,500원), 버섯 스테이크 샐러드 (19,000원), 함박 스테이크 (17,000원), 크림함박 스테이크 (17,000원), 치킨 깔조네 & 파스타 (21,000원), 스테이크 브런치 (29,000원), 폭립 플래터 (34,500원), 오늘의 스프 (양송이) (8,000원), 알리오 올리오 파스타 (12,000원), 감베로니 로제 파스타 (16,000원), 트러플 베이컨 크림 파스타 (17,500원), 화이트 라구 (15,500원), 레드 라구 (볼로네제) (14,500원), 페페로니 포테이토 피자 (21,000원), 트리플 치즈피자 (24,000원), 시금치 랜치 피자 (24,000원)","영업시간 월,토,일 08:30 ~ 22:00"
라도맨션,삼겹살,3.7,904,"서울 구로구 공원로6다길 20 혜성빌딩 3층
(지번) 구로동 31-2",37.5047866933726,126.890280134842,,"칼삼겹살(170g) (16,000원), 애호박고추장찌개 (7,000원), 된장술밥 (6,000원)",영업시간 월~토 15:00 ~ 22:00
평양냉면,냉면,3.8,162,"서울 구로구 고척로10길 65 1층
(지번) 오류동 13-55",37.4964262899252,126.842166579978,02-2614-2263,"평양냉면 (10,000원), 비빔냉면 (10,000원), 편육 (18,000원), 녹두빈대떡 (9,000원)",영업시간 매일 11:30 ~ 20:30 · 휴게시간 매일 14:40 ~ 16:00
손가네생오리부페,오리,4.4,96,"서울 구로구 개봉로19길 29 1층
(지번) 개봉동 403-23",37.4934104674339,126.855789178243,02-2066-9066,"점심 고기부페 (대인) (14,900원), 점심 고기부페 (초등학생) (8,000원), 저녁 고기부페 (대인) (16,900원), 저녁 고기부페 (초등학생) (8,000원), 고기부페 (6~7세) (5,000원), 추어탕 (8,000원), 삼계탕 (12,000원)",영업시간 매일 11:30 ~ 22:00
고바우,"육류,고기",4.3,144,"서울 구로구 부일로1길 9
(지번) 온수동 57-14",37.491778764252,126.821260828437,02-2611-5586,"덩어리생고기 (1인분) (12,000원), 돼지갈비 (2인분) (26,000원), 돼지껍데기 (1인분) (7,000원)",영업시간 매일 13:00 ~ 22:00
서울안심축산 테크노마트점,"육류,고기",3.9,18,"서울 구로구 새말로 89 태영빌딩 2층 201호
(지번) 구로동 8-17",37.5056097068416,126.889834342021,0507-1400-4661,"제주 오겹살 (18,000원), 제주 생목살 (18,000원), 제주 가브리살 (18,000원), 2인 PICK : 하르방세트 (50,000원), 추천 PICK : 돼지모듬 (54,000원), 양념 돼지구이 세트 (62,000원), 양념 돼지구이 (170g) (18,000원), 한우 숙성 등심 (45,000원), 한우 숙성 안심 (52,500원), 한우 숙성 업진 (150g) (45,000원), 한우 숙성 부채 (150g) (45,000원), 한우 주물럭 (200g) (50,000원), 새우살 (150g) (57,000원), 살치살 (57,000원), 명품 소한마리++ (154,000원), 양념 생갈비 세트 (80,000원), 통큰 소한마리 (194,000원), 한우보감 (245,000원), 한우육회 (200g) (38,000원), 한우 육사시미 (40,000원), 양념 생갈비살 (200g) (37,000원), 한우 주물럭 정식(1인) (점심특선) (30,000원), 양념 갈비살 정식 (1인) (점심특선) (27,000원), 양념돼지 정식(1인) (점심특선) (25,000원), 제주돼지 정식(1인) (점심특선) (25,000원), 소고기 편백 정식(1인) (점심특선) (15,000원), 버섯불고기 정식(1인) (점심특선) (15,000원), 매콤 쭈꾸미 볶음(1인) (점심특선) (12,000원), 제육쌈밥(1인) (점심특선) (12,000원), 김치찌개(1인) (점심특선) (9,000원), 돌솥비빔밥(1인) (점심특선) (9,000원), 뚝배기 김치찌개(1인) (점심특선) (10,000원), 대왕전복구이 (20,000원), 전복구이 한접시 (35,000원), 키조개구이 (12,000원), 더덕구이 (10,000원), 모듬버섯 (5,000원), 활랍스터 라면 (42,000원), 차돌된장밥 (9,000원), 갈비살 된장찌개 (12,000원), 생고기 김치찌개 (9,000원), 치즈계란찜 (5,000원), 가마솥밥+된장찌개 (5,000원), 누룽지 (5,000원), 된장찌개 (2,000원), 공기밥 (1,000원), 냉면(물/비빔) (9,000원), 후식냉면(물/비빔) (5,000원), 봄나물 비빔밥 (계절메뉴) (9,000원), 한방삼계탕 (계절메뉴) (15,000원), 굴국밥 (계절메뉴) (12,000원)",영업시간 월~금 11:30 ~ 22:30 · 휴게시간 월~금 15:00 ~ 17:00
최우영스시,"초밥,롤",3.2,336,"서울 구로구 디지털로 288 대륭포스트타운 지하 1층
(지번) 구로동 212-8",37.4835695693308,126.895502765348,,"참치사시미(소) (20,000원), 참치사시미(대) (40,000원), 모듬사시미 (16,000원), 연어사시미 (16,000원), 광어사시미 (16,000원)",영업시간 매일 11:30 ~ 21:30 · 휴게시간 매일 15:00 ~ 17:00
오목집 신도림점,"족발,보쌈",3.6,73,"서울 구로구 경인로 661 신도림1차푸르지오 1층 128,137호
(지번) 신도림동 337",37.5096619486431,126.887986372819,02-2677-1636,"막국수(물/비빔) (8,000원), 족발 (대) (42,000원), 족발 (중) (39,000원), 냉채족발 (40,000원), 쟁반막국수 (16,000원), 부추전 (16,000원), 오목집계란말이 (16,000원), 버섯칼국수 (7,000원), 누룽지 (6,000원), 매운족발 (39,000원)",영업시간 월~금 11:00 ~ 23:00
이조손칼국수,칼국수,3.9,111,"서울 구로구 공원로7길 22 1층
(지번) 구로동 547-24",37.5018765827819,126.887739927541,02-868-2633,"토종 명품 콩국수 (13,000원), 수제 왕 만두전골 (14,000원), 바지락 칼국수 (10,000원), 해남 팥칼국수 (12,000원), 해남 팥옹심이 (13,000원), 수제왕만두 (10,000원)",영업시간 월~토 11:00 ~ 21:00
더족발 신도림본점,"족발,보쌈",4.4,890,"서울 구로구 경인로 619-3 푸르지오3차 상가 1층 106호
(지번) 신도림동 435-10",37.506883854568,126.884036662859,02-2636-9288,"앞다리 (45,000원), 반반족발(매운맛) (47,000원), 뒷다리 (39,000원), 직화매운족발 (36,000원), 반반족발(간장마늘맛) (47,000원), 수제어리굴젓 보쌈 (36,000원), 부산냉채족발 (45,000원), 수제어리굴젓 스페셜세트 (66,000원), 수제어리굴젓 족보세트 (57,000원), 새콤달콤 생과일쟁반막국수 (8,000원), 녹두지짐이 (12,000원), 수제어리굴젓 (10,000원), 뚝배기 계란찜 (6,000원), 골라먹는 콤보3종세트 (49,000원)",월요일
진심갈비,갈비,4.6,95,"서울 구로구 경서로 11 1층 104, 105, 107호
(지번) 개봉동 153-123",37.4985617567135,126.856502579275,02-2689-9992,"수제돼지갈비 (270g) (16,000원), 소갈비살 (150g) (19,000원), 이베리코꽃목살 (150g) (18,000원), 한돈삼겹살 (180g) (16,000원), 한우육회 (200g) (25,000원)",영업시간 매일 11:10 ~ 21:50
신도림참족발 신도림점,"족발,보쌈",4.3,352,"서울 구로구 경인로 661 신도림1차푸르지오상가 1층 158호
(지번) 신도림동 337",37.5096619486431,126.887986372819,02-3439-7182,"앞발 (44,000원), 뒷발 (39,000원), 앞불족 (47,000원), 뒷불족 (42,000원)",영업시간 매일 13:00 ~ 23:00
백년불고기 구로디지털점,"불고기,두루치기",4.5,75,"서울 구로구 시흥대로163길 15 1층
(지번) 구로동 1130-1",37.4815104928096,126.899129034352,02-865-5024,"산더미 소물갈비 (40,000원), 옛날 소불고기 (36,000원), 돼지물갈비 (40,000원), 뼈없는 산더미 (28,000원), 오징어튀김 (13,000원), 새우튀김 (13,000원), 소 샤브고기 (13,000원), 소 목갈비뼈 (13,000원), 소 갈비뼈 (13,000원), 돼지 갈비뼈 (11,000원), 계란찜 (4,000원), 공기밥 (1,000원), 코카콜라 355mL (2,000원), 스프라이트 355mL (2,000원), 환타 오렌지 355mL (2,000원), 환타 포도 355mL (2,000원), 환타 파인 355mL (2,000원)",영업시간 월~금 11:30 ~ 22:30
이실이네,"해물,생선",3.6,29,"서울 구로구 공원로6나길 29-21 1층
(지번) 구로동 30-1",37.5050109107233,126.89071998072,02-838-0264,"낙지연포 (중) (65,000원), 문어연포 (중) (65,000원), 아구찜 (중) (55,000원), 대구뽈탕 (중) (50,000원), 산문어숙회 (40,000원), 해물찜(중) (65,000원)",영업시간 월~토 11:30 ~ 21:30
방앗간정육식당,"육류,고기",4.1,37,"서울 구로구 경인로67길 67-29
(지번) 신도림동 330-51",37.5115123448175,126.888371451283,0503-7151-4883,"소한마리(800g) (84,000원), 돼지한마리(800g) (65,000원), 본갈비살(170g) (25,000원), 등심(170g) (20,000원), 살치살(170g) (24,000원), 부채살(170g) (20,000원), 갈비살(170g) (22,000원), 한돈 삼겹살(180g) (17,000원), 한돈 목살(180g) (17,000원), 한돈 가브리살(180g) (18,000원), 차돌박이(170g) (20,000원), 한우육회(180g) (20,000원)",영업시간 매일 12:00 ~ 22:00 · 휴게시간 매일 15:00 ~ 16:30
빈브라더스 현대백화점디큐브시티,커피전문점,3.9,201,"서울 구로구 경인로 662 별관 3층
(지번) 신도림동 692",37.5081230677129,126.888212953215,02-2210-9351,"드립커피 (변동가격), 케이크 (8,000원), 아메리카노 (5,500원), 에스프레소 (5,500원), 롱블랙 (5,500원), 플랫화이트 (5,500원), 바닐라라떼 (5,500원), 오틀리 라떼 (6,000원), 사과주스 (6,000원), 라떼 (5,500원)",영업시간 매일 10:30 ~ 22:00
