이름,서브카테고리,평점,리뷰수,주소,위도,경도,전화번호,메뉴,영업시간
경복식당,한식,4.6,132,"서울 노원구 공릉로39길 10 1층
(지번) 공릉동 740",37.6237132593621,127.078853540524,02-949-7331,메뉴 없음,월요일
소담촌,샤브샤브,3.9,119,"서울 노원구 상계로 90 마블러스1 2층
(지번) 상계동 341-7",37.6562758604581,127.064575545055,02-933-5522,메뉴 없음,영업시간 매일 11:00 ~ 21:30
강강술래 상계지점,"육류,고기",3.6,314,"서울 노원구 동일로 1628 1층
(지번) 상계동 1025-4",37.6738434070269,127.056030353709,02-935-9233,"한우 스페셜 (53,000원), 한우스페셜 (53,000원), 한우 생등심 (45,000원), 한우생등심 (45,000원), 한우 모둠구이 (37,000원), 한우 모듬구이 (37,000원), 한우육회 (29,000원), 영양갈비탕 (13,000원), 강강양념구이 (29,900원), 육회돌솥비빔밥 (12,000원), 술래양념구이 (33,000원), 왕양념갈비 (42,000원), 한돈양념구이 (21,000원), 돈목살양념구이 (17,000원), [점심정식] 강강양념정식 (26,000원), [점심정식] 술래양념정식 (28,000원), [점심정식] 한돈양념정식 (24,000원), [점심정식] 돈목살양념정식 (20,000원), [저녁정식] 강강양념정식 (30,000원), [저녁정식] 술래양념정식 (33,000원), [종일정식] 왕양념갈비정식 (45,000원), [종일정식] 한우모둠정식 (40,000원), 영양솥밥 (10,000원)",영업시간 매일 11:00 ~ 22:00
제임스키친,이탈리안,4.4,266,"서울 노원구 노해로81길 12-26 2층
(지번) 상계동 328-9",37.6556135605308,127.06422343671,02-952-4748,"머쉬룸 쉬림프 (10,500원), 수제 리코타치즈 (10,500원), 목살 스테이크 (24,800원), 콰뜨로 포르마지오 (18,800원), 마르게리따 부팔라 (18,800원), 명란오일 (16,500원), 고르곤졸라 (16,800원), 마르곤졸라 (18,000원), 크랩로제 (15,800원), 씨푸드 (15,500원), 스테이크 덮밥 (15,800원), 부채살 버섯크림 리조또 (16,500원), 풍기 (18,500원), 감베리 (17,800원), 디아볼라 (17,500원), 바질리코 (16,800원), 봉골레 (15,500원), 스파이시 오리엔탈 (15,800원), 알리오올리오 (14,800원), 삼쓰 (16,500원), 치킨로제 (15,800원), 칠리 쉬림프 (15,800원), 포모도로 (14,800원), 쉬림프 오이스터 (15,800원), 트러플 버섯 (16,500원), 고르곤 비프 (15,800원), 까르보나라 (14,800원), 비프／치킨／쉬림프 필라프 (14,800원), 토마토 리조또 (15,800원), 치킨 리조또 (14,800원)",영업시간 월~토 11:00 ~ 22:00 · 휴게시간 월~토 15:30 ~ 16:30
감동식당,한식,4.8,665,"서울 노원구 한글비석로47길 58 1층
(지번) 상계동 434-49",37.6616155780956,127.066592534371,070-7543-4481,"감동 등갈비찜 (15,900원), 황제꼬소밥 (3,900원), 봉평 메밀전 (2,000원), 감동 등갈비찜(밀키트) (14,900원)",영업시간 매일 12:00 ~ 22:00 · 휴게시간 매일 15:30 ~ 17:00
제일콩집,두부전문점,3.9,377,"서울 노원구 동일로174길 37-8
(지번) 공릉동 633-18",37.6195200512181,127.077650711047,02-972-7016,"손두부 (14,000원), 청국장 (12,000원), 콩탕 (비지) (12,000원), 두부찌개 (12,000원), 순두부 (12,000원), 김치청국장 (12,000원), 진콩국수 (12,000원), 고추만두 (12,000원), 새우튀김 (14,000원), 두부한방보쌈(소) (30,000원), 두부고기전골(소) (30,000원), 닭날개튀김 (17,000원)",영업시간 매일 10:00 ~ 21:00
예향정 노원점,한식,4.6,541,"서울 노원구 동일로217가길 31 청화빌딩 2층
(지번) 상계동 735-4",37.6531585938107,127.058628794521,0502-5550-0818,"같이먹는2인세트 (30,000원), 함께먹는3인세트 (49,000원), 나눠먹는4인세트 (60,000원), 돼지김치찌개 (11,000원), 된장(우삼겹)찌개 (11,000원), 불맛나는매콤두루치기 (20,000원), 달달한불맛소불고기 (28,000원)",영업시간 월~금 10:30 ~ 21:10 · 휴게시간 월~금 15:30 ~ 17:00
로니로티 노원점,양식,4.3,915,"서울 노원구 상계로 63-7 청우빌딩 2층 201호
(지번) 상계동 603-8",37.6565099339141,127.06188934164,02-3391-7999,"베이컨 까르보나라 (13,900원), 해산물 까르보나라 (13,900원), 해산물 토마토 스파게티 (12,900원), 부채살 스테이크 샐러드 (18,900원), 해산물 야끼 필라프 (14,900원), 치킨 버섯 크림 리조또 (13,900원), 오이스터 해산물 크림 스파게티 (13,900원), 해산물 올리브 파스타 (11,900원), 게살 딥 로제 스파게티 (13,900원), 목살 스테이크 샐러드 (16,900원), 목살 필라프 (14,900원), 고르곤졸라 피자 (16,900원), 마르게리따 피자 (16,900원), 오이스터 베이컨 크림 스파게티 (13,900원), 오이스터 닭가슴살 크림 스파게티 (13,900원), 치킨 버섯 크림 스파게티 (13,900원), 해산물 야끼 파스타 (13,900원), 눈꽃치즈 파스타 (16,900원), 차돌박이 상하이 스파게티 (16,900원), 갈릭 삼겹살 스테이크 샐러드 (16,900원), 치킨 찹 스테이크 샐러드 (15,900원), 채끝 등심 찹 스테이크 샐러드 (24,900원), 버팔로 윙 샐러드 (12,900원), 이탈리안 돈까스 샐러드 (10,900원), 리코타 치즈 샐러드 (12,900원), 핑커텐더 샐러드 (12,900원), 새우샐러드 (18,900원), 새우 필라프 (14,900원), 치킨 필라프 (14,900원), 김치 필라프 (12,900원)",영업시간 매일 11:30 ~ 22:30 · 휴게시간 매일 15:50 ~ 16:30
씬머이,베트남음식,4.2,105,"서울 노원구 동일로173길 15 1층
(지번) 공릉동 683-25",37.6183071381979,127.074297267054,010-9902-4822,"양지 쌀국수 （퍼보）곱빼기 (12,900원), 매운 양지쌀국수（퍼보）곱빼기 (13,500원), 분짜 (14,900원), 돼지고기 양념 덮밥（껌스엉） (12,900원), 볶음쌀국수（곱빼기） (12,900원), 얼큰해물 쌀국수 (12,900원), 반쎄오（쌈채소＋라이스페이퍼） (15,500원), 새우볼 (6,900원), 생 코코넛（열대야자수） (6,900원), 베트남음료 (4,000원), 사이다 (3,000원), 코카콜라 (3,000원)",영업시간 월~토 11:00 ~ 20:30 · 휴게시간 월 15:00 ~ 17:30
돈까스먹는용만이,"돈까스,우동",3.9,347,"서울 노원구 한글비석로20길 52
(지번) 중계동 140-42",37.6612562423068,127.074611597742,02-931-8870,"까르보돈가스 (12,000원), 비프크림카레돈가스 (12,000원), 해물크림카레돈까스 (12,000원), 왕돈까스 (10,000원), 치킨까스 (10,000원), 생선까스 (10,500원), 듀얼돈가스 (10,500원), 칠리듀얼돈까스 (10,500원), 치킨듀얼까스 (10,500원), HOT돈까스 (11,000원), 칠리돈까스 (11,000원), 칠리마늘돈까스 (12,000원), HOT마늘돈까스 (12,000원), 로즈돈까스 (12,000원), 해물칠리돈까스 (12,000원), 해물HOT돈까스 (12,000원), 눈꽃치즈칠리 (12,500원), 모짜렐라치즈 돈까스 (11,500원), 고구마치즈 돈까스 (12,500원), 특 생선 (14,500원), 데리야끼돈까스 (11,000원), 슬라이스치즈 돈까스 (11,500원)","월,화요일"
해품장 팔팔장어 본점,장어,3.6,188,"서울 노원구 노원로 192
(지번) 하계동 69-8",37.6374480610251,127.079536622643,02-977-8892,"잔치국수 (6,000원), 풍천장어 (1kg) (75,000원), 풍천장어 (500g) (38,000원), 안창살 (300g) (38,000원), 누룽지 (4,000원), 된장찌개 (4,000원)",영업시간 매일 11:30 ~ 22:00
땅코참숯구이 노원점,삼겹살,4.5,302,"서울 노원구 노해로85길 15-5 1층
(지번) 상계동 348-4",37.6563830136738,127.065345577197,02-931-2856,"삼겹살 (180g) (16,000원), 목살 (180g) (16,000원), 갈매기살 (180g) (16,000원), 껍데기 (7,000원)",영업시간 월~금 15:30 ~ 23:00
털보고된이 본점,"해물,생선",4.3,203,"서울 노원구 노해로81길 22-22 1층
(지번) 상계동 332-3",37.6559102378314,127.063754864032,02-932-8616,"고등어구이 A세트 (2인) (23,500원), 고등어구이 B세트 (2인) (22,000원), 임연수구이 A세트 (2인) (26,000원), 임연수구이 B세트 (2인) (24,000원), 모듬생선구이세트 (2인) (30,000원), 고등어구이백반 (10,000원), 임연수구이백반 (13,000원), 삼치구이백반 (15,000원), 우렁된장찌개 (8,000원), 순두부찌개 (8,000원), 돼지김치찌개 (8,500원), 참치김치찌개 (8,500원), 햄김치찌개 (9,000원), 콩비지찌개 (8,500원), 알탕 (9,500원), 묵은지고등어조림 (15,000원), 제육볶음백반 (9,000원), 소불고기뚝배기 (9,500원), 쫄면 (7,500원), 비빔냉면 (7,500원), 물냉면 (7,500원)",영업시간 매일 11:00 ~ 21:00
무명칼국수,칼국수,4.3,175,"서울 노원구 석계로7길 4
(지번) 월계동 68-79",37.6167214470894,127.063907031859,02-941-7776,"해물칼국수 (9,000원), 닭칼국수 (9,000원), 왕만두 (9,000원), 콩국수 (9,000원)","첫째,셋째 월요일"
