이름,서브카테고리,평점,리뷰수,주소,위도,경도,전화번호,메뉴,영업시간
전주전집,한식,3.4,429,"서울 동작구 동작대로7길 19 1층
(지번) 사당동 1032-1",37.4796678663785,126.980648374025,010-4660-7391,메뉴 없음,영업시간 월~수 14:00 ~ 00:50
초와밥,"초밥,롤",4.0,421,"서울 동작구 동작대로5길 8 2층
(지번) 사당동 1031-13",37.4791282192803,126.981002385222,02-523-5937,메뉴 없음,영업시간 월~토 11:30 ~ 21:45 · 휴게시간 월~금 14:30 ~ 16:30
다독이네숯불구이,"육류,고기",4.8,410,"서울 동작구 노량진로 106-5 1층
(지번) 노량진동 40-34",37.512959323801,126.937793917313,02-6101-9299,"뼈삼겹갈비 (200g) (15,000원), 돼지갈비 (200g) (14,000원), 생삼겹살 (200g) (16,000원), 소갈비살(150g) (17,000원), 껍데기(200g) (11,000원), 육전냉면 (12,000원), 냉면(물/비빔) (8,000원)",월요일
훈장골 사당점,갈비,3.5,19,"서울 동작구 동작대로 7 신광빌딩 지하1층
(지번) 사당동 1043-13",37.4771694430928,126.981116953781,02-525-9100,"한우 살치살 (160g) (48,000원), 한우 등심 (160g) (42,000원), 한우 갈비살 (160g) (42,000원), 한우 등심 육회 (200g) (30,000원), 훈장 소양념갈비 (300g) (34,000원)",영업시간 매일 11:00 ~ 22:00
72420 사당본점,베트남음식,4.3,258,"서울 동작구 동작대로1길 50 중동빌딩 1층
(지번) 사당동 1039-16",37.4774191421481,126.978643347842,02-588-2420,"새우볶음밥 (M) (9,000원), 소고기볶음밥 (M) (9,500원), 소고기분짜 (14,000원), 월남쌈 (39,000원), 닭고기볶음밥 (M) (9,000원), 날치알 칠리새우 볶음밥 (M) (10,000원)",영업시간 매일 11:30 ~ 22:00
다래식당,한식,3.2,104,"서울 동작구 만양로2길 2 1층
(지번) 상도동 17-61",37.5062633714042,126.947738279336,02-812-4156,"주물럭 청국장 (8,000원)","월,일요일"
미스피츠,햄버거,4.3,17,"서울 동작구 동작대로3길 30 1층
(지번) 사당동 1032-48",37.4785330046588,126.979866762653,02-525-4806,"트러플 크리미 (단품) (11,500원), 엉클 파인 (단품) (11,500원), 미스피츠 메이드 (단품) (10,000원), 하리사 버터쉬림프 (단품) (11,700원), 멕시칸 칠리 (단품) (12,000원), 볼케이노 (단품) (12,000원), 페리 치킨 (단품) (10,500원), 미스피츠 하이볼 (9,000원), 한라봉 하이볼 (8,500원), 카시스 하이볼 (8,500원), 짐빔 하이볼 (7,500원), 미니크랩 프라이 (8,000원), 칠리치즈프라이 (10,500원), 맥 앤 치즈 (7,500원)",월요일
동작노을카페,카페,3.8,68,"서울 동작구 동작대로 335 1-4층
(지번) 동작동 316-3",37.5063627070959,126.979463670168,,"아메리카노 (6,500원), 카페라떼 (7,000원), 바닐라라떼 (7,000원), 카라멜라떼 (7,000원), 카페모카 (7,000원), 얼그레이티 (7,000원), 캐모마일티 (7,000원), 페퍼민트티 (7,000원), 하비스커스티 (7,000원), 복숭아아이스티 (7,500원), 초코라떼 (7,000원), 딸기라떼 (7,500원), 말차라떼 (7,000원)",영업시간 월~목 10:00 ~ 23:00
유정우함흥냉면,냉면,4.2,115,"서울 동작구 동작대로29다길 7-1 1층
(지번) 사당동 91-3",37.4885796905169,126.980337500757,02-3478-0105,"회냉면 (12,000원), 비빔냉면 (11,000원), 물냉면 (11,000원), 만두 (5,000원)",영업시간 매일 11:00 ~ 21:00
상도늘보리 본점,"해물,생선",4.4,41,"서울 동작구 상도로26길 19
(지번) 상도동 367-6",37.5041446264819,126.938677837527,02-3280-6550,"코다리 조림(중) (38,000원), 코다리 조림(소) (27,000원), 시래기 코다리 조림 (대) (52,000원), 코다리 조림(대) (49,000원), 시래기 코다리 조림 (중) (41,000원), 시래기 코다리 조림 (소) (30,000원), 전복코다리 조림 (대) (65,000원), 전복코다리 조림 (중) (50,000원), 전복코다리 조림 (소) (35,000원), 문어코다리 조림 (대) (63,000원), 문어코다리 조림 (중) (52,000원), 문어코다리 조림 (소) (41,000원), 특선 해물 코다리 조림 (대) (84,000원), 특선 해물 코다리 조림 (중) (68,000원)",영업시간 매일 11:30 ~ 21:30
고가네숯불구이통닭,닭요리,4.1,169,"서울 동작구 상도로 136 일신빌딩 1층
(지번) 상도동 190-3",37.502161006311,126.935032328128,02-825-0095,"숯불통닭 (22,000원), 숯불통닭 (포장) (21,000원), 고가네세트 (25,000원), 고가네세트 (포장) (23,000원), 닭꼬치 개당 (포장) (3,000원), 닭꼬치A세트 (18,500원), 닭꼬치A세트 (포장) (15,000원), 닭꼬치B세트 (21,000원), 닭꼬치B세트 (포장) (18,500원), 오뎅탕 (오뎅4개 포장) (3,500원), 주먹밥 (포장) (3,500원)",영업시간 월~토 16:00 ~ 24:00
등나무집,"육류,고기",3.9,263,"서울 동작구 대림로 52 1층
(지번) 신대방동 687-14",37.4881669573785,126.907954153417,,"꼬리찜 대(3인) (110,000원), 꼬리찜 중(2인) (77,000원), 소머리수육 (35,000원), 알도가니수육 (53,000원), 도가니무침 (43,000원), 양지수육 (36,000원), 한우꽃등심 (150g) (58,000원), 안창주물럭 (150g) (38,000원), 갈비살 (150g) (38,000원), 꼬리탕 (40,000원), 알도가니탕 (32,000원), 국수설렁탕 (17,000원)",영업시간 매일 11:00 ~ 22:00
운봉산장,"육류,고기",4.2,515,"서울 동작구 장승배기로 118-1 1층
(지번) 노량진동 309-18",37.5081030458886,126.940327356613,02-815-2850,"수육(1인) (25,000원), 갈비(1인) (25,000원)",영업시간 월~금 17:00 ~ 21:40
소담촌 사당직영점,샤브샤브,4.3,199,"서울 동작구 동작대로 43 5층
(지번) 사당동 1030-20",37.4804179959561,126.981456221124,02-522-0653,"월남쌈 샤브 (16,900원), 월남쌈 샤브 (한우) (23,900원), 월남쌈 버섯 샤브 (21,900원), 월남쌈 버섯 샤브 (와규) (25,000원), 월남쌈 버섯 샤브 (한우) (28,500원), 월남쌈 명품 한우 샤브 (24,500원), 월남쌈 스페셜 샤브 (26,000원), 월남쌈 스페셜 샤브 (와규) (29,000원), 월남쌈 스페셜 샤브 (한우) (32,000원), 월남쌈 해물 샤브 정식 (19,000원), 월남쌈 와규 샤브 정식 (16,000원), 명품 한우 샤브 정식 (19,000원), 월남쌈 버섯 샤브 정식 (16,500원), 월남쌈 샤브 정식 (14,900원)",영업시간 매일 11:00 ~ 21:00
서일순대국 별관,국밥,3.6,141,"서울 동작구 여의대방로24길 16 1층
(지번) 신대방동 362-27",37.4978648398991,126.921136490395,02-821-7769,"순대국 (10,000원), 순대국 (특) (11,000원), 야채순대 (10,000원), 오소리감투 (17,000원), 머리고기 (17,000원), 모듬 (20,000원)",영업시간 매일 10:00 ~ 23:00
