이름,서브카테고리,평점,리뷰수,주소,위도,경도,전화번호,메뉴,영업시간
고삼이 신촌점,"해물,생선",4.4,270,"서울 서대문구 연세로7안길 38 1층
(지번) 창천동 53-8",37.5583197950081,126.934715143218,02-324-1403,메뉴 없음,영업시간 매일 11:00 ~ 20:40 · 휴게시간 매일 14:50 ~ 16:30
앤트러사이트 연희점,커피전문점,3.5,211,"서울 서대문구 연희로 135
(지번) 연희동 89-19",37.569692917452,126.932837275639,02-332-7650,메뉴 없음,영업시간 매일 08:50 ~ 22:00
우동카덴 연희점,일식,3.5,433,"서울 서대문구 연희로 173 거화빌딩 1층
(지번) 연희동 81-1",37.5724988690741,126.935060703737,02-3142-6362,"카케우동 (9,000원), 타마고토지 (11,000원), 카레우동 (12,000원), 삼미우동 (14,000원), 키쯔네우동 (11,000원), 멘타이코타마고토지 (13,000원), 돈카츠카레 (14,000원), 한우스지 (14,000원), 아사리우동 (13,000원), 가마타마버터 (13,000원), 굴우동 (13,000원), 에비후라이카레 (14,000원)","월,일요일"
달인꽈배기,"제과,베이커리",3.8,63,"서울 서대문구 통일로 205-3
(지번) 영천동 291",37.5712493509078,126.960744660652,02-313-5419,"꽈배기(3개) (1,000원), 찹쌀도너츠(5개) (1,000원), 팥도너츠(3개) (2,000원)",월~토 07:00 ~ 15:00
맛있는집,떡볶이,4.6,198,"서울 서대문구 거북골로20길 55 지하1층
(지번) 북가좌동 311-6",37.580440464006,126.910843714938,02-305-1906,"떡볶이 (1인분) (3,500원), 계란 (2개) (1,000원)",영업시간 월~토 11:00 ~ 20:00
락희안 가좌본점,중국요리,3.9,785,"서울 서대문구 가재울로4길 53 1-2층
(지번) 남가좌동 336-20",,,0507-1375-7581,"대파꿔바로우 (28,000원), 전복돌판누룽지탕 (43,000원), 평일점심특선(11:30~02:00) (17,900원), 평일저녁정식 (17:00~20:30) (15,000원), 전가복 (27,000원), 대게살유산슬小 (38,000원), 팔보채小 (38,000원), 오향장육小 (17,900원), 깐쇼새우小 (36,000원), 크림새우小 (36,000원), 팔색양장피 (32,000원), 연근깐풍기小 (29,000원), 마파두부 (20,000원), 옛날짜장 (8,000원), 이가짬뽕 (11,000원), 이가탕면 (11,000원), 흑미새우볶음밥 (10,000원), 수제 이가찐교자 (9,000원), 소고기찐교자 6P (10,000원), 매운새우교자 7P (10,000원)",월요일
카페폭포,카페,4.1,505,"서울 서대문구 연희로 262-24 1층
(지번) 홍은동 429",37.5812948053803,126.93701979135,02-330-4998,"에스프레소 (4,000원), 아메리카노 (4,000원), 카페라떼 (4,500원), 바닐라라떼 (5,000원), 카푸치노 (5,000원), 초코라떼 (4,500원), 유자차 (4,500원), 캐모마일 (4,500원), 페퍼민트 (4,500원), 자스민 (4,500원), 레몬에이드 (4,500원), 아이스티 (4,000원), 생수 (1,000원), 트레비(탄산수) (1,500원)",영업시간 매일 10:00 ~ 21:00
녹원쌈밥,쌈밥,3.6,78,"서울 서대문구 연희로25길 22
(지번) 연희동 82-3",37.5724812434425,126.934145957025,02-336-9483,"원쌈밥 (16,000원), 원보쌈정식 (16,000원), 막국수 (12,000원), 한방보쌈(소) (30,000원), 메밀전보쌈 (14,000원)",월요일
어머니와아들,닭요리,4.1,304,"서울 서대문구 홍은중앙로 100-1 1층
(지번) 홍은동 9-86",37.5994008243308,126.948635967562,02-391-0411,"마늘 닭볶음탕 (32,000원), 닭곰탕 (17,000원), A세트 마늘 닭볶음탕＋닭곰탕 (45,000원), 라면사리 (2,000원), 떡사리 (2,000원), 공기밥 (1,000원), 사이다 (2,000원), 콜라 (2,000원)",월요일
목란,중식,3.2,841,"서울 서대문구 연희로15길 21
(지번) 연희동 132-28",37.5683879983016,126.930489467973,02-732-0054,"탕수육 (22,000원), 양장피 (38,000원), 유린기 (35,000원), 깐풍기 (35,000원), 라조기 (35,000원), 공보기정 (35,000원), 깐풍닭날개 (40,000원), 산라탕 (22,000원), 영덕대게게살스프 (32,000원), 중새우칠리 (40,000원), 깐풍중새우 (40,000원), 고추중새우볶음 (42,000원), 크림중새우 (40,000원), 깐풍관자 (55,000원), 관자튀김 (55,000원), 굴기름관자 (55,000원), 마라관자 (55,000원), 잡탕밥 (18,000원), 게살볶음밥 (13,000원), 새우볶음밥 (10,000원), 탄탄면 (12,000원), 기스면 (8,000원), 짬뽕 (15,000원), 짜장면 (10,000원)",월요일
