이름,서브카테고리,평점,리뷰수,주소,위도,경도,전화번호,메뉴,영업시간
대성갈비,갈비,3.2,268,"서울 성동구 상원1길 26 서울숲A타워 1층 101~103호
(지번) 성수동1가 656-591",37.546194350143,127.048432321547,02-464-3012,메뉴 없음,영업시간 월~토 11:00 ~ 21:00 · 휴게시간 월~토 14:30 ~ 16:30
성수족발,"족발,보쌈",3.3,506,"서울 성동구 아차산로7길 7 1층
(지번) 성수동2가 289-273",37.5459871942742,127.054270741555,02-464-0425,메뉴 없음,영업시간 매일 12:00 ~ 22:00
어메이징브루잉컴퍼니 성수브루펍,"호프,요리주점",4.2,45,"서울 성동구 성수일로4길 4 1층
(지번) 성수동1가 27-12",37.5428525176827,127.049366172099,02-465-5208,"마르게리따 (21,000원), 프로슈토 루꼴라 에 부라타 (31,000원), 튀긴 가지 & 리코타 피자 (21,000원), 스파이스 미트파이 (27,000원), 풍기 (26,000원), 4가지 치즈 피자 (24,000원), 트러플 치즈 프라이 (13,000원), 칠리 콘 카르네 (15,000원), 프랭크 핫&사워 윙(버팔로윙) (19,000원), 감바스 알 아히요 (21,000원), 부라타 디 마르게리따 (26,000원), 초리조 봄바 (25,000원), 엔다이브 루꼴라 샐러드 & 리코타 치즈 (11,000원), 올드패션 프라이드 치킨(순살) (18,000원), 자이언트팬더 (9,900원), 린데만스 빼슈레제 (11,500원), 생극양조 미드나잇 (8,500원), 성수동 페일에일 (6,900원), 바로 그 고제 (6,900원), 헛맥 (6,900원), 향긋한 유자에일 (5,900원)",영업시간 월~금 17:00 ~ 24:00
온량,이탈리안,3.7,394,"서울 성동구 서울숲4길 26-10 1층
(지번) 성수동1가 668-54",37.5469398891445,127.043433260445,02-6403-3643,"스파이시 로제 파스타 (18,000원), 만조 크림 파스타 (17,000원), 불고기필라프 (14,000원), 리코타 치즈 샐러드 (13,000원), 토마호크 포크 커틀렛 (21,000원)",영업시간 매일 12:00 ~ 21:00
악어떡볶이,떡볶이,3.7,442,"서울 성동구 마조로 33 1층
(지번) 행당동 3-27",37.5606485083606,127.041091574869,02-2281-9988,"떡볶이 (5,000원), 떡볶이튀김범벅 (10,000원), 순대 (4,500원), 오뎅 (4,000원), 모듬튀김(5개) (5,000원), 새우튀김(5개) (5,000원), 김밥 (4,000원), 우동 (4,000원), 라면 (4,000원), 쫄면 (7,000원), 찐계란 (3개) (2,500원), 물떡 (3,000원)",월요일
차이나플레인 서울숲점,중국요리,3.3,177,"서울 성동구 뚝섬로1길 25
(지번) 성수동1가 656-36",37.5436380420167,127.046396018851,02-2088-8493,"짜장면 (10,000원), 삼선 짬뽕 (12,000원), 탕수육 (32,000원), 새우볶음밥 (12,000원), 잡채밥 (12,000원), 유린기 (33,000원)",영업시간 월~금 11:00 ~ 21:30 · 휴게시간 월~금 15:00 ~ 17:00
르프리크,햄버거,4.3,865,"서울 성동구 연무장5길 9-16 B103호
(지번) 성수동2가 302-8",37.5444391065296,127.052659059956,02-2054-0119,"SIGNATURE (12,800원), CHAT POTATO (7,300원), EGGPLANT (7,800원), MUSHROOM (7,800원), CHERRY TOMATO (7,800원), SMORE (4,500원), NORDIC CHICKEN (13,800원), OCTOPUS (8,800원), CINNAMON ROLL (5,500원)",영업시간 매일 11:30 ~ 21:00 · 휴게시간 매일 15:00 ~ 17:30
쎈느,카페,3.8,58,"서울 성동구 연무장5길 20 1,2층
(지번) 성수동2가 314-2",,,02-469-2122,"아메리카노 (5,000원), 라떼 (6,000원), 바닐라라떼 (6,800원), 초콜릿라떼 (7,500원), 파인애플생과일주스 (8,000원)",월~토 10:00 ~ 22:00
로우키,카페,4.4,460,"서울 성동구 연무장3길 6 1층
(지번) 성수동2가 302-16",37.5441964034721,127.051579151478,070-8824-2010,"글레이즈드 도넛(오리지널,동그리즈) (3,500원), 글레이즈드 도넛(레몬,초코) (3,700원), 크림 도넛(바닐라,얼그레이) (4,000원), 시즈널 도넛(시나몬,흑임자) (3,500원), 시즈널 도넛(티라미수,초코바나나) (4,500원), 카페라떼 (5,500원), 콜드브루 (6,000원), 아메리카노 (5,500원), 바닐라라떼 (6,000원), 카라멜라떼 (7,500원), 들깨라이스라떼(ONLY ICED) (8,000원), 짜이 밀크티 (6,000원), 딸기레몬에이드 (7,000원), 에스프레소 (5,500원), 루이보스앤베리페퍼민트 (6,000원), 얼그레이 에버 (6,000원), 리얼 발로나 초코 라떼 (7,000원), 브루잉 스페셜티 커피 (7,000원), 초코쿠키 (ONLY MONDAY) (3,500원)",월~금 10:00 ~ 20:00
성수동대림창고갤러리,갤러리카페,3.1,993,"서울 성동구 성수이로 78 1층
(지번) 성수동2가 322-32",37.5416392066484,127.056647865179,0507-1390-9669,"아메리카노 (6,000원), 카페라떼 (7,000원), 카페모카 (7,500원), 아포가토 (9,500원), 아인슈패너 (7,500원), 코르타도 (7,000원), 바닐라라떼 (7,500원), 디카페인 아메리카노 (6,500원), 디카페인 카페라떼 (7,500원), 파인애플 주스 (8,000원), 오렌지 주스 (8,000원), 자두 주스 (8,000원), 오렌지에이드 (7,500원), 레몬에이드 (7,500원), 자몽에이드 (7,500원), 복숭아에이드 (7,500원), 얼그레이 (8,000원), 루이보스발란스 (8,000원), 게이샤 슈패너 (17,000원), 게이샤 모카 (17,000원)",영업시간 매일 11:00 ~ 22:00
유래회관,한식,4.1,117,"서울 성동구 마장로 196
(지번) 홍익동 357",37.5664375560586,127.031535634624,02-2293-8866,"한우생등심 (1인분, 170g) (48,000원), 한우 육회 (160g) (35,000원), 된장 국수 (5,000원), 점심특선, 한우 불고기 (1인분 150g ) (27,000원), 한우 안심(1인분 170g) (52,000원), 점심특선 / 왕갈비탕(미국산) (18,000원)",영업시간 매일 11:00 ~ 22:00
