이름,서브카테고리,평점,리뷰수,주소,위도,경도,전화번호,메뉴,영업시간
메리킹 서울북부점,샤브샤브,4.7,109,"서울 성북구 종암로 167 동일하이빌뉴시티 상가 4층 (이마트 하월곡점 4층)
(지번) 하월곡동 230",37.6050371568783,127.030928150119,02-941-4100,메뉴 없음,매일 11:30 ~ 21:30 · 휴게시간 월~금 15:30 ~ 17:30
청수장,갈비,3.3,84,"서울 성북구 정릉로 237-2 1층
(지번) 정릉동 416-27",37.6053195728958,127.010786502218,02-913-6176,"돼지갈비 (1인분) (20,000원), 물냉면 (13,000원), 회냉면 (14,000원), 비빔냉면 (13,000원)",매일 11:30 ~ 21:30
쌍다리돼지불백 본점,"육류,고기",3.0,157,"서울 성북구 성북로23길 4 1층
(지번) 성북동 109-2",37.5934987159111,126.995688051883,02-743-0325,메뉴 없음,월요일
성북동메밀수제비누룽지백숙,닭요리,3.7,88,"서울 성북구 성북로31길 9
(지번) 성북동 281-1",37.5945850956093,126.990464229478,02-764-0707,"메밀전 (12,000원), 누룽지백숙 (56,000원), 들깨메밀수제비 (12,000원)",월요일
팔백집 본점,갈비,3.8,472,"서울 성북구 보문로30길 46 1층
(지번) 동선동2가 172",37.5894914095515,127.019821035406,0507-1339-0032,"돼지쫄갈비(1인) 300g (17,000원), 매운불고기(국내산)1人300g (15,000원), (하루한정판매) 쭈꾸미접시 150g (10,000원), 불고기백반 (9,000원), 매운불고기백반 (9,000원), 콩나물 해장국 (7,000원), 시래기밥 (7,000원), 청국장 고기 주문 시 (5,000원), 사리 고기 주문 시 (2,000원), 누룽지 고기 주문 시 (3,000원), 김부각 고기 주문 시 (3,000원), 볶음밥 고기 주문 시 (2,000원), 갈비600g(포장) (28,000원), 매운불고기600g(포장) (25,000원), 콩나물해장국3인(포장,비조리) (15,000원), 시래기밥3인(포장) (15,000원)",매일 11:30 ~ 22:00
나폴레옹과자점 성북본점,"제과,베이커리",3.1,105,"서울 성북구 성북로 7
(지번) 성북동1가 35-5",37.5889000220847,127.005061678527,02-742-7421,메뉴 없음,매일 09:00 ~ 21:00
청년밥상문간,"찌개,전골",4.9,91,"서울 성북구 보국문로11길 18-2 2층
(지번) 정릉동 398-12",37.6088609651749,127.009098506123,010-2808-6031,"김치찌개 (3,000원), 라면사리 (1,000원), 어묵사리 (1,000원), 햄사리 (1,000원), 고기추가 (2,000원), 두부사리 (1,000원), 음료수 (1,000원), 커피 (2,000원), 공기밥 (0원)",월~토 11:00 ~ 20:30 · 휴게시간 월~토 14:30 ~ 17:00
수연산방,전통찻집,3.3,224,"서울 성북구 성북로26길 8 상허 이태준 가옥
(지번) 성북동 248",37.5950530725844,126.994835768281,02-764-1736,"대추차 (15,000원), 쌍화차 (13,500원), 단호박빙수 (15,500원), 단호박 범벅 (16,500원)","월,화요일"
푸른농장정육식당,"육류,고기",4.4,410,"서울 성북구 보문로 181 1층
(지번) 삼선동4가 333-1",37.5900615461914,127.015013055153,02-929-4816,"소한마리(1kg) (63,000원), 소반마리(500g) (34,000원), 진갈비(200g) (29,000원), 꽃살(200g) (20,000원), 갈비살(200g) (16,000원), 차돌박이(200g) (15,000원), 우삼겹(200g) (13,000원), 육회(200g) (18,000원), 육회(100g) (10,000원), 돼지한마리(1kg) (39,000원), 돼지반마리(500g) (21,000원), 생삼겹살(200g) (13,000원), 목살(200g) (13,000원), 오겹살(200g) (12,000원), 항정살(200g) (12,000원), 가브리살(200g) (12,000원)",매일 11:00 ~ 01:00
제주고깃집 성북구청점,"육류,고기",4.4,347,"서울 성북구 보문로 144 1층
(지번) 보문동1가 9-8",37.5878969916318,127.01827954156,02-921-0505,"제주오겹살(1인) (16,000원), 제주목살(1인) (16,000원), 제주항정살(1인) (17,000원), 제주가브리살(1인) (17,000원), 근고기(모듬) (51,000원), 뒷고기(1인) (14,000원), 덜미살(1인) (14,000원), 벌집껍데기(1인) (11,000원), 간장블백 (10,000원), 고추장블백 (10,000원), 매콤치즈블백 (12,000원), 제주도새기김치찌개 (9,000원), 제주도새기된장찌개 (9,000원), 함흥냉면 (8,000원)",월~금 11:00 ~ 23:00 · 휴게시간 월~금 15:00 ~ 17:00
