이름,서브카테고리,평점,리뷰수,주소,위도,경도,전화번호,메뉴,영업시간,한줄평
맥심플랜트,카페,4.3,464,"서울 용산구 이태원로 250 지하1-2층, 1-3층
(지번) 한남동 683-140",37.53698993,127.0009969,070-4287-8557,"에스프레소 (4900), 아메리카노(5300), 카페라떼(5900), 바닐라라떼(6400)",매일 10:00 ~ 22:00,넓고 쾌적하고 커피를 파는 인테리어가 멋진 한강진역 근처 카페
우스블랑 본점,"제과,베이커리",3.9,361,"서울 용산구 효창원로70길 4 1층
(지번) 효창동 5-51",37.54141227,126.9623814,02-706-9356,"바게트샌드위치 (9,900원), 잠봉샌드위치 (10,900원), 크로아상샌드위치 (9,900원), 구르메포카치아 (11,900원), 비.엘.티 샌드위치 (12,900원), 치킨샌드위치 (13,600원), 닭안심샐러드 (11,000원), 리코타치즈샐러드 (11,000원), 감자스프 (7,900원), 양송이스프 (7,900원)",매일 08:00 ~ 19:00 (격주 월요일 정기 휴무),따뜻하고 편안한 분위기의 바게트가 맛있고 유기농 밀가루를 사용하는 효창동 빵집
현선이네 용산본점,분식,3.9,898,"서울 용산구 한강대로39길 2-13 1,2층
(지번) 한강로2가 305-1",37.53115086,126.9692181,010-4750-8886,"현선이 콤보 세트 (24,000원), 써니세트 (17,000원), 현선이세트 (21,000원), 베이비세트 (13,000원), 떡볶이 (5,500원), 순대 (6,000원), 모듬튀김(5EA) (6,000원), 꼬마김밥(4EA) (5,000원), 부산오뎅(4EA) (4,000원)",매일 11:00 ~ 24:00 · 휴게시간 월 14:30 ~ 16:00,친근한 분위기의 떡볶이가 맛있는 튀김가루를 챙기고 매운 맛은 아주 매운 신용산 근처 분식집
한남동한방통닭,치킨,4,598,"서울 용산구 대사관로34길 12 1층
(지번) 한남동 632-4",37.53274914,127.0059715,02-797-8677,"한방통닭(21000), 바비큐 양념구이(23000), 바비큐 모듬구이 (27000), 닭모래주머니(13000), 한치(11000), 노가리(11000)","월~목 16:00 ~ 00:30, 금토 16:00 ~ 01:30 일 정기 휴무",호프집 분위기의 통닭이 맛있고 굽는게 특징인 한남동 근처의 치킨집
태향,중국요리,3.3,390,"서울 용산구 후암로57길 3-10 1-2층
(지번) 동자동 9-4",37.55318032,126.9745875,02-777-5558,"탕수육 (소) (15,000원), 태향특밥 (8,000원), 태향특면 (8,000원), 삼선짬뽕 (8,000원), 삼선우동 (8,000원), 삼선울면 (8,000원), 삼선초면 (8,000원), 기스면 (8,000원), 사천탕면 (8,000원), 굴짬뽕 (8,000원), 삼선볶음짬뽕 (8,000원), 쟁반짜장면 (14,000원), 간짜장 (6,000원), 군만두 (5,000원), 물만두 (5,000원), 유산슬밥 (14,000원), 잡탕밥 (14,000원), 송이밥 (8,000원)",영업시간 매일 11:00 ~ 21:00 · 휴게시간 매일 14:30 ~ 16:00,복작복작한 분위기의 탕수육이 맛있는 가성비 좋고 혼밥하기 좋은 동자동 인근의 중식당
한남북엇국,해장국,3.6,220,"서울 용산구 독서당로 65-7 지하1층, 1~3층
(지번) 한남동 73-2",37.53394176,127.008072,02-2297-1988,"민어회 (80,000원), 방어회 (70,000원), 한우육회 (35,000원), 한남물회 (35,000원), 꼬막무침 (30,000원), 성게알 (25,000원)",월~토 08:00 ~ 23:00 휴게시간 매일 15:00 ~ 17:00,노포 느낌의 꼬막 비빔밥이 맛있는 콜키지가 무료인 한남동 인근의 한식집
도동집,퓨전한식,3,390,"서울 용산구 후암로48길 1 지하1층
(지번) 후암동 439-19",37.55284408,126.9768057,02-772-9463,"도동불고기(1인분) (18,000원), 도동탕면 (10,000원), 미소탕면 (10,000원), 꿀토마토 (10,000원), 아게다시도후 (10,000원), 도동비면 (10,000원), 명란계란말이 (20,000원), 불고기 파전 (20,000원), 소고기 숙주볶음 (20,000원), 도동어묵탕 (22,000원), 바싹소불고기 샐러드 (28,000원), 생연어 (30,000원), 해물초회 (35,000원), 문어숙회 (40,000원), 도동삼품 (45,000원)",월~토 11:00 ~ 21:40 · 휴게시간 월~토 15:00 ~ 17:00,조용한 분위기의 국수가 맛있고 매장이 깔끔한 후암동 인근의 한식집
부자피자 1호점,피자,3.9,432,"서울 용산구 이태원로55가길 28 1층
(지번) 한남동 743-33",37.53726456,126.9998026,02-794-9474,"부자 샐러드 (14,900원), 시저 샐러드 (15,700원), 부자 비츠 (8,200원), 부자 크로케테 (8,500원), 주빠 디 주까 (8,000원), 부자 클라시카 (19,600원), 마리나라 (8,500원), 부자깔조네 (22,000원), 제노베제 (23,200원), 파르미지아나 디 멜란자네 (22,000원)",수~일 11:00 ~ 21:30 월화 정기 휴무,붐비는 분위기의 피자가 맛있지만 주차는 불가능한 한남동 인근의 피자집
오만지아,이탈리안,4.2,207,"서울 용산구 유엔빌리지길 14
(지번) 한남동 274-13",37.53397235,127.0098302,02-749-2900,"Mare misti (90,000원), Bottarga Sardinia (45,000원), Melanzane (37,000원), Margherita (38,000원), Aglio e Olio Vongole (29,000원)",매일 12:00 ~ 24:00 · 휴게시간 월~금 15:00 ~ 17:30,포근한 분위기의 파스타와 피자가 맛있고 데이트 하기 좋고 미슐랭이 특징인 한남동 인근의 양식 전문점
라쿠치나,이탈리안,4.2,146,"서울 용산구 회나무로44길 10
(지번) 이태원동 258-7",37.54054857,126.9964576,02-794-6006,"송로버섯 트러플 파스타 (45,000원), 랍스터 파스타 (69,000원), 라쿠치나 라구 소스,수제 딸리아뗄레 (27,000원), 미트볼, 라쿠츠나 토마토 소스 스파게티 (29,000원), 트레플 풍미의 감자 튀김 (15,000원)",화~일 12:00 ~ 21:30 휴게시간 15:00 ~ 17:30 월 정기휴무,조용한 분위기의 파스타가 맛있고 남산 야경이 보이는 이태원 인근의 양식 전문점
