이름,서브카테고리,평점,리뷰수,주소,위도,경도,전화번호,메뉴,영업시간
보들이족발,"족발,보쌈",3.7,572,"서울 은평구 연서로 230-10
(지번) 대조동 185-43",37.6182876349063,126.920924293549,0507-1429-7610,메뉴 없음,매일 09:00 ~ 24:00
원조두꺼비집불오징어,한식,4.3,448,"서울 은평구 연서로28길 5 1-2층
(지번) 대조동 185-30",,,02-355-3130,메뉴 없음,영업시간 월~금 12:00 ~ 22:30
1인1잔,카페,3.6,526,"서울 은평구 연서로 534 1-2층
(지번) 진관동 219",,,02-355-1111,"아메리카노(HOT) (5,000원), 아메리카노(ICE) (5,500원), 카푸치노(HOT) (5,500원), 카푸치노(ICE) (6,000원), 카페라떼(HOT) (5,500원), 카페라떼(ICE) (6,000원), 카페모카(HOT) (5,500원), 카페모카(ICE) (6,000원), 플랫화이트(HOT) (5,500원), 플랫화이트(ICE) (6,000원), 브라운플랫(HOT) (5,500원), 브라운플랫(ICE) (6,000원), 아인슈페너(ICE) (5,500원), 아인슈페너(HOT) (6,000원), 밀크티(HOT) (5,500원), 밀크티(ICE) (6,000원), 초코라떼(HOT) (5,500원), 초코라떼(ICE) (6,000원), 녹차라떼(HOT) (6,000원), 녹차라떼(ICE) (6,500원), 곡물라떼(HOT) (6,000원), 곡물라떼(ICE) (6,500원), 수제자몽차 (6,000원), 수제레몬차 (6,000원), 아이스티 복숭아 (6,000원), 시즌쥬스 (7,000원), 자몽에이드 (7,000원), 레몬에이드 (7,000원), 패션후르츠에이드 (7,000원), 자두에이드 (7,000원), 오미자차 (0원), 레몬차 (0원), 말이떡 (0원), 두텁떡 (0원), 앙금절편 (0원), 바나나떡 (0원)",월요일
성일식당,갈비,4.6,134,"서울 은평구 갈현로 306-8 1층
(지번) 갈현동 424-1",37.6239501255945,126.917710967857,010-8078-8338,"매운 등갈비찜 (15,000원), 간장 등갈비찜 （아기입맛） (15,000원), 곤드레밥 (6,000원), 메밀전 （갈비에 꼭 싸서 드세요~） (2,000원), 공기밥 (1,000원), 펩시 라임 제로콜라 뚱캔 (2,000원), 펩시콜라 뚱캔 (2,000원), 칠성사이다 뚱캔 (2,000원), 쿨피스 450mL (1,000원), 생수 500ml (1,000원), 성일미남 리뷰이벤트 (500원)",월요일
벙구갈비,갈비,4.2,50,"서울 은평구 응암로 269 1층
(지번) 응암동 119-1",37.596008756464,126.918771050874,02-352-5092,메뉴 없음,매일 11:00 ~ 23:00
미소복 원조양평해장국 직영점,해장국,3.3,51,"서울 은평구 연서로 203
(지번) 갈현동 460-18",37.6169368131869,126.918713403568,02-354-5058,"우거지탕 (10,000원), 양평해장국 (11,000원), 우내탕 (13,000원), 내장탕 (14,000원)",영업시간 매일 07:00 ~ 22:00
이가네가마솥설렁탕,설렁탕,3.5,247,"서울 은평구 진흥로 130 1층
(지번) 녹번동 141-39",37.6075120898331,126.92465592312,02-387-2246,"돌솥설렁탕 (14,000원), 특설렁탕 (16,000원), 뚝배기탕 (14,000원), 도가니탕 (22,000원), 꼬리곰탕 (26,000원), 우족탕 (25,000원), 쟁반수육 (38,000원), 모듬수육 (65,000원), 도가니수육 (50,000원), 꼬리찜전골 (대) (89,000원), 꼬리찜전골 (소) (79,000원), 우족수육 (70,000원), 공기밥 설렁탕 (13,000원), 전골 야채 추가 (5,000원)",영업시간 매일 10:00 ~ 22:00
가야밀냉면해물칼국수,한식,4.4,665,"서울 은평구 대서문길 36 북한산성상가 A동 106호
(지번) 진관동 277-17",37.6554709821584,126.948552831595,02-356-5546,"물밀면 (10,000원), 해물파전 (16,000원), 비빔밀면 (10,000원), 콩밀면 (10,000원), 해물손칼국수 (10,000원), 편육 (14,000원), 감자전 (15,000원), 부추전 (15,000원), 왕만두 (7,000원)",영업시간 매일 11:00 ~ 20:00
중화원,중국요리,3.7,191,"서울 은평구 통일로66길 10-16 1층
(지번) 불광동 281-128",37.6099537410914,126.931713944728,02-353-3379,"짜장 (6,000원), 우동 (7,000원), 울면 (7,000원), 간짜장 (7,000원), 유슬짜장 (7,000원), 짬뽕 (7,000원), 짜장밥 (7,000원), 볶음밥 (8,000원), 삼선간짜장 (9,500원), 삼선우동 (9,000원), 삼선짬뽕 (9,000원), 삼선볶음밥 (9,500원), 잡탕밥 (14,000원), 군만두 (6,000원), 탕수육(소) (14,000원), 탕수육(중) (19,000원), 해물누룽지 (25,000원), 양장피 (32,000원), 팔보채 (32,000원), 류산슬 (32,000원), 깐풍새우 (32,000원)",월요일
노량진횟집,회,4.2,40,"서울 은평구 은평로8길 3 1층
(지번) 응암동 109-9",37.5997519923811,126.921131327918,02-383-6533,"런치정식(2인이상) (24,000원), 모듬회 소 (2인) (88,000원), 모듬회 중 (3인) (115,000원), 모듬회 대 (4인) (139,000원), 모듬회 특 (5인/스끼다시 1상) (159,000원), 모듬회 특대 (5인/스끼다시 2상) (189,000원), 저녁 특 정식 (2인이상) (34,000원)",영업시간 월~토 11:30 ~ 22:00 · 휴게시간 월~금 15:00 ~ 17:00
