이름,서브카테고리,평점,리뷰수,주소,위도,경도,전화번호,메뉴,영업시간
서촌계단집,"해물,생선",3.0,830,"서울 종로구 자하문로1길 15 1층
(지번) 내자동 11-1",37.5764067520043,126.971474020182,02-737-8412,메뉴 없음,영업시간 매일 13:00 ~ 23:00
백제정육점,"육류,고기",3.7,928,"서울 종로구 종로35길 34 1층
(지번) 효제동 155",37.5726598289616,127.004040878995,02-762-7491,메뉴 없음,영업시간 월~토 10:00 ~ 22:00 · 휴게시간 월~금 15:00 ~ 17:00
토속촌삼계탕,삼계탕,3.7,761,"서울 종로구 자하문로5길 5
(지번) 체부동 85-1",37.57760304027,126.971632166657,02-737-7444,"닭백숙 (30,000원), 삼계탕 (20,000원), 옻계탕 (20,000원), 통닭 (19,000원), 닭볶음탕 (30,000원), 오골계 (25,000원), 전기구이 통닭 (19,000원), 닭도리탕 (30,000원), 토속촌 옻계탕 (20,000원), 토속촌 삼계탕 (20,000원), 토속촌 산삼 배양근 오골계 삼계탕 (31,000원), 토속촌 산삼 배양근 삼계탕 (26,000원)",영업시간 매일 10:00 ~ 22:00
백부장집닭한마리 본관,닭요리,4.1,50,"서울 종로구 삼봉로 100-1 1층
(지번) 공평동 129",37.571820433208,126.982689062851,02-732-2565,"닭한마리(2인) (26,000원), 닭반마리 추가 (13,000원)",영업시간 월~토 11:00 ~ 22:00 · 휴게시간 월~금 15:00 ~ 17:00
테라로사 광화문점,커피전문점,4.0,188,"서울 종로구 종로1길 50 더케이트윈타워 B동 1층
(지번) 중학동 19",37.5747244659804,126.979022440109,1668-2764,"핸드드립 (변동가격), 아메리카노 어센틱(HOT) (5,300원), 아메리카노 어센틱(ICE) (5,800원), 카페라테 (6,000원), 실론 시나몬 라테 (6,500원), 카푸치노 (5,500원), 에스프레소 마키아토 (5,500원), 에스프레소 더블 (5,300원), 하우스 주스 (8,000원), 허니 레몬티 (5,500원), 도미니카 히스파니올라 65% 초콜릿 (6,700원), 카카오 티 (5,500원), 실론 시나몬 티 (5,500원), 어센틱 허브티 (5,500원), 우유 (3,000원)",영업시간 월~금 07:30 ~ 21:00
이문설농탕,설렁탕,3.1,590,"서울 종로구 우정국로 38-13 1층
(지번) 견지동 88",37.5727614233366,126.983898042671,02-733-6526,"설농탕 (14,000원), (특)설농탕 (17,000원), 도가니탕 (17,000원), (특)도가니탕 (20,000원), 머리탕 (16,000원), (특)머리탕 (19,000원), 수육 (44,000원), 도가니 안주 (44,000원), 소머리 안주 (46,000원), 혀 밑 (46,000원), 마나 (16,000원), 수육무침 (33,000원), 소주/맥주 (5,000원)",영업시간 월~토 08:00 ~ 21:00 · 휴게시간 매일 15:00 ~ 16:30
종로도담,한식,3.9,979,"서울 종로구 삼봉로 78 1,2층
(지번) 청진동 46",37.5720988392653,126.981491810548,0507-1321-9850,"종로보쌈(소) (29,000원), 김치찜(소) (22,000원), 평일점심김치찜정식(2인이상) (12,000원), 평일점심부추전 (12,000원), 낙지볶음(소) (28,000원), 명란구이 (22,000원), 부추전 (15,000원), 백골뱅이무침 (25,000원), 미니흑임자고기튀김 (8,000원), 흑임자고기튀김 (20,000원), 메밀전병튀김 (15,000원), 맛보기 보쌈 (12,000원), 술국 (15,000원), 새우백합술찜 (25,000원), 2인한상 (48,000원), 3인한상 (69,000원), 4인한상 (102,000원), 퇴근한상 (42,000원), 귀빈한상(3인~5인) (109,000원), 심각한상(5인~7인) (143,000원)",영업시간 매일 11:00 ~ 22:00
샤오바오우육면 본점,중국요리,3.9,704,"서울 종로구 삼일대로17길 15 1층
(지번) 관철동 12-24",37.5690851624296,126.98662454536,02-723-7788,"우육면 (9,500원), 우육면 (맑은탕) (9,500원), 꿔바러우 (중) (10,000원), 마라수육 (15,000원), 우육면 특 (13,000원), 아주매콤 우뮥면 (9,500원), 가지만두 (중) (10,000원), 가지탕수육 (중) (9,500원), 마파두부 덮밥 (11,000원), 차오멘 (11,000원), 깐풍닭날개 (15,000원), 동파 저우즈 (38,000원), 마쟝면 (11,000원), 지투이판 (11,000원)",영업시간 매일 11:00 ~ 22:00 · 휴게시간 매일 15:30 ~ 16:30
오레노라멘 인사점,일본식라면,4.2,881,"서울 종로구 율곡로 49-4 1층 101호
(지번) 안국동 159-2",37.5765150575925,126.984574541361,02-722-3539,"토리빠이탄 (12,000원), 카라빠이탄 (12,000원), 삼겹차슈두장 (2,000원), 계란추가 (1,000원)",영업시간 매일 10:30 ~ 21:00
뚝배기집,"찌개,전골",4.2,367,"서울 종로구 종로16길 12 1층
(지번) 관철동 5-1",37.5695562212513,126.988510058479,02-2265-5744,"우렁된장 (8,000원), 된장찌개 (7,000원), 순두부 (7,000원), 김치찌개 (8,000원)",영업시간 매일 07:00 ~ 20:30
