이름,서브카테고리,평점,리뷰수,주소,위도,경도,전화번호,메뉴,영업시간
우래옥 본점,냉면,4.1,302,"서울 중구 창경궁로 62-29 1-2층
(지번) 주교동 118-1",37.568218524634,126.998714470746,02-2265-0151,메뉴 없음,영업시간 화~일 11:30 ~ 21:00
무교동북어국집,해장국,4.5,602,"서울 중구 을지로1길 38 1층
(지번) 다동 173",37.5677483846568,126.979851603525,02-777-3891,"북어해장국 (10,000원)",영업시간 화~금 07:00 ~ 20:00
미성옥,설렁탕,4.0,445,"서울 중구 명동길 25-11 1층
(지번) 명동1가 54-6",37.5641637662639,126.983925699881,02-776-8929,"설렁탕 (보) (12,000원), 설렁탕 (특) (14,000원), 수육 (소) (35,000원), 수육 (대) (45,000원)",영업시간 매일 06:00 ~ 21:00
농민백암순대 시청직영점,순대,4.5,722,"서울 중구 남대문로1길 33 1층
(지번) 북창동 19-4",37.5625981617414,126.977163395088,02-755-5232,"국밥 (10,000원), 토종순대 (13,000원), 술국 (19,000원), 모둠수육 (36,000원), 오소리감투 (18,000원), 국밥(특) (12,000원), 국밥(정식) (15,000원)",영업시간 월~금 11:00 ~ 21:00
부민옥,한식,3.6,187,"서울 중구 다동길 24-12 1층
(지번) 다동 177-2",37.5675310295731,126.980177653984,02-777-4323,"양곰탕 (12,000원), 양무침 (소) (38,000원), 수육 (소) (35,000원), 소고기 (100,000원)",영업시간 월~토 11:00 ~ 22:00 · 휴게시간 월~토 14:00 ~ 17:00
부원면옥,냉면,3.4,488,"서울 중구 남대문시장4길 41-6 부원상가 2층
(지번) 남창동 47-10",37.5584379838206,126.977606850771,02-753-7728,"물냉면 (10,500원), 비빔냉면 (11,000원), 제육무침 (15,000원), 닭무침 (15,000원), 빈대떡 (5,500원), 온면(겨울메뉴) (11,000원)",영업시간 월~토 11:00 ~ 20:30
커피한약방,커피전문점,3.9,680,"서울 중구 삼일대로12길 16-6 1층
(지번) 을지로2가 101-34",37.5665698804794,126.988608200318,070-4148-4242,"필터 커피 (변동가격), 필터 스페셜 (변동가격), 에스프레소 (4,500원), 카페라떼 (5,500원), 생과일 쥬스 (7,000원), 와인 에이드 (7,000원), 카푸치노 (5,500원), 모카라떼 (6,000원), 핫쵸코 (6,000원), 아이스쵸코 (6,000원), 오곡라떼 (6,000원), 우유 (3,500원), 바닐라라떼 (6,000원), 꼰빠냐 (5,500원), 더치 (6,000원), 아포카또 (6,000원), 유기농꽃차 (변동가격), 수제라즈베리요거트 (6,000원)",영업시간 월~금 10:00 ~ 22:00
목멱산방,한식,3.3,654,"서울 중구 퇴계로20길 71 1층
(지번) 남산동2가 25-4",37.5581161015051,126.986887946092,02-318-4790,"산방 비빔밥 (9,000원), 불고기 비빔밥 (12,000원), 육회 비빔밥 (14,000원), 곤드레 간장 비빔밥 (9,000원), 두부 된장 비빔밥 (9,000원), 닭가슴살 수란 간장 비빔밥 (12,000원), 산방 나물 비빔밥 (10,000원), 도토리묵 야채무침 (10,000원), 해산물 부추전 (10,000원), 초계무침 (12,000원), 검은깨두부와 보쌈 (14,000원), 비벼주 (2,500원), 소주 한잔 (4,000원), 청주 한잔 (5,000원), 단호박 식혜 (3,000원), 탄산음료 (2,500원), 치즈 김치전 (13,000원)",영업시간 매일 11:00 ~ 20:00
황평집,닭요리,4.0,284,"서울 중구 마른내로 74 1층
(지번) 인현동2가 135-13",37.5640559563434,126.996117933523,02-2266-6875,"닭찜 (23,000원), 백숙전골 (35,000원), 닭전골 (35,000원), 닭무침 (25,000원), 닭낙지전골 (55,000원)",영업시간 월~토 11:00 ~ 21:30 · 휴게시간 월~토 15:30 ~ 17:00
유가,중국요리,4.2,225,"서울 중구 퇴계로12길 68
(지번) 회현동1가 117-5",37.5566718882239,126.981473444416,02-3789-9688,"짜장면 (7,000원), 쟁반짜장 (9,000원), 짬뽕 (8,000원), 전가복(소) (80,000원), 해삼송이전복 (소) (100,000원), 삼선우동 (10,000원), 새우볶음밥 (10,000원), 양송이덮밥 (9,000원), 고추덮밥 (10,000원), 잡탕밥 (15,000원), 라조육밥 (12,000원), 볶음짬뽕 (10,000원), 사천탕수육(소) (22,000원), 라조육(소) (24,000원), 당면잡채(소) (20,000원), 깐풍기(소) (22,000원), 라조기(소) (24,000원), 유린기(소) (24,000원), 해물누룽지탕(소) (33,000원), 팔보채(소) (30,000원), 유산슬(소) (30,000원), 칠리중새우(소) (28,000원), 술국 (25,000원), 양장피(소) (24,000원)",영업시간 월~금 11:00 ~ 21:00 · 휴게시간 월~토 14:20 ~ 17:00
