name,degree,review num,address,tel,latitude,longitude
진미평양냉면 별관,3.8,"1,757",서울 강남구 학동로 305-3 정각빌딩 1층,02-515-3469,37.5161452524981,127.036042298778
길목,4.2,539,서울 강남구 영동대로129길 10 1층,02-518-9710,,
송쉐프 본점,3.7,88,서울 강남구 도산대로1길 40 대영빌딩 1층,02-546-1178,37.5193386747828,127.019615704918
육전식당 4호점,4.2,150,서울 강남구 테헤란로8길 11-4 신도빌딩 1층,02-3452-6373,37.4980495536809,127.031990525034
명동관,4.0,173,서울 강남구 남부순환로 2912 그랑프리앤상가 지하 103호,02-563-8882,37.4907059879875,127.056142941592
강강술래 역삼점,3.6,157,서울 강남구 논현로 325 1층,02-567-9233,,
감성타코 강남역점,3.3,"1,320",서울 강남구 강남대로 406 글라스타워 지하1층 B01-1호,02-565-8830,37.4989106629232,127.027637005361
평가옥 삼성점,3.1,77,서울 강남구 삼성로95길 37 1-3층,02-568-1577,,
중앙해장,4.1,"1,592",서울 강남구 영동대로86길 17 육인빌딩 1층,02-558-7905,37.5082825127305,127.065480465852
보노보노플러스 삼성점,4.0,533,서울 강남구 테헤란로 508 해성2빌딩 지하1층,02-3288-8080,37.5068166240241,127.057978287882
난장캠프,4.1,366,서울 강남구 강남대로114길 10 2층,02-516-1446,,
새벽집 청담점,3.3,226,서울 강남구 도산대로101길 6,02-546-5739,37.5255635894763,127.052868425711
신의주찹쌀순대,3.0,284,서울 강남구 영동대로 725 1층,02-511-9081,,
맛짱조개,4.1,836,서울 강남구 언주로134길 18 1층,02-516-4787,,
뽕나무쟁이 선릉본점,4.2,691,서울 강남구 역삼로65길 31 1층,02-558-9279,,
요술포차 역삼점,4.3,36,서울 강남구 테헤란로19길 5 지하1층,02-564-9939,37.500403659162,127.033448923063
구구당,3.6,"4,477",서울 강남구 강남대로102길 35 지하1층,02-539-1979,37.5032854405554,127.027878152155
무월식탁 강남본점,2.7,125,서울 강남구 강남대로102길 23 1층,02-552-9280,,
일편등심 강남,4.4,"1,149",서울 강남구 테헤란로1길 20 지하1층,070-8835-3723,37.4996634128853,127.027810535308
공리 강남구청역점,3.0,523,서울 강남구 선릉로129길 24 은성빌딩 1층,02-541-7663,37.5160623292902,127.039519039271
