이름,서브카테고리,평점,리뷰수,주소,위도,경도,전화번호,메뉴,영업시간,키워드
피기 남영본점,"육류,고기",5,136,"서울 용산구 한강대로84길 12 미성회관 1,2층
(지번) 남영동 60-3",37.54353529,126.9732568,02-2088-8467,"피카츠 Pig katsu (12,000원), 김치찌개 샤브샤브 Kimchi Stew Shabu Shabu (13,000원), 김치찌개 샤브샤브 - 롤삼겹 추가 (3,000원), 삼겹살 런치 스페셜 Pork Belly Special (15,500원), 와규 등심 런치 스페셜 Wagyu Chuck Cube Roll Special (23,000원), 돼지고기 - 피기 스페셜 PIGYI Special (18,500원), 돼지고기 - VIP 스페셜 VIP Special (22,500원), 와규소고기 - 시그니처 스페셜 WAGYU BEEF SPECIAL (32,000원), 와규소고기 - 쉐프 스페셜(한정판매) Chef Special (Limited Order) (39,000원), 육회-Beef Tartare (240g) (25,000원), 와규 육회비빔밥 Wagyu Beef Tartare Bibimbap (11,000원), 와규 육회냉면 Wagyu Beef Tartare Cold Noodle (11,000원), 에피타이저 리필 - 유자카르파쵸 (2pc) (1,000원), 에피타이저 리필 - 소고기초밥(2pc) (2,000원), 숙성 돼지고기 단품 - 삼겹살 Portk Belly (150g) (14,000원), 숙성 돼지고기 단품 - 목살 Pork Collar (150g) (14,000원), 숙성 돼지고기 단품 - 항정살 Pork Cheek (150g) (17,000원), 숙성 와규소고기 단품 - 갈비살 Rib Finger (150g) (25,000원), 우설 Tongue (150g) (35,000원)",영업시간 매일 11:00 ~ 22:00 · 휴게시간 월~금 15:00 ~ 16:00,"맛있는, 깔끔하고, 가성비좋은, 친절한, 데이트하기좋은, 돼지고기, 육회비빔밥, 콜키지, 볶음밥, 항정살, 접근성, 점심식사, 단체모임, 가족과함께, 넓은공간"
스쿠퍼젤라또,아이스크림,4.8,203,"서울 용산구 한강대로62길 37 1층
(지번) 한강로1가 214",37.53323804,126.9736984,0507-1369-7623,"아포가또 (6500원), ",영업시간 매일 12:00 ~ 21:00,"달달한, 귀여운, 특이한, 데이트, 신기한, 피스타치오, 아이스크림, 초콜렛, 패션후르츠"
베르시,카페,4.8,97,"서울 용산구 만리재로 172-1 1층
(지번) 서계동 236-12",37.55381622,126.965579,0503-7150-2093,"트리플 토마토 부라타 오픈 샌드위치 (12,000원), 아보카도 에그 샌드위치 (12,000원), 아보카도 스위트 잠봉 오픈 샌드위치 (13,500원), 스칸딕 연어 그라브락스 오픈 샌드위치 (13,500원), 딸기빅토리아쌀케이크 (7000원), 망고요거트쌀케이크 (7000원), 초콜릿가나슈케이크 (7000원), 콘 크럼블 치즈케이크 (7000원), 바닐라바스크치즈케이크 (6500원), ",영업시간 수~금 09:00~20:00 토 10:00~19:00 일 10:00~18:00 월화 정기휴무,"예쁜, 깔끔한, 다양한, 맛있는, 친절한, 오픈샌드위치, 패션후르츠에이드, 쿠키, 라떼, 바스크치즈케이크, 
노트북, 선물용, 신선한, 식사대용, 넓은공간"
소담서울,한식,4.8,63,"서울 용산구 한강대로46길 12 지하1층,1-4층
(지번) 한강로2가 107-1",37.53114363,126.9708885,070-4155-9292,"(점심) 소불고기(1인분) 240g (16,000원), 소담서울 정식(평일점심) (25,000원), LA생갈비(소) 400g (52,000원), LA생갈비(중) 800g (96,000원), 소갈비살(소) 300g (41,000원), 소갈비살(중) 600g (78,000원), 양념 소갈비살(소) 300g (42,000원), 양념 소갈비살(대) 600g (79,000원), 육사시미(250g) (33,000원), 육회(180g) (25,000원), 소고기듬뿍 고추장찌개 (12,000원), 뚝배기 매콤 리조또 (8,000원), 뚝배기 청양크림 리조또 (8,000원), 물냉면 (8,000원), 비빔냉면 (8,000원)",월~토 11:30 ~ 22:30 · 휴게시간 월~금 14:30 ~ 17:30,"프라이빗한, 깔끔하고, 깔끔한, 맛있는, 데이트하기좋은, 테라스, 한우, 콜키지, 뚝배기, 볶음밥, 
단체모임, 미팅, 단체회식, 사진찍기좋은"
요이땅,일식,4.8,60,"서울 용산구 한강대로80길 21-3 1층
(지번) 남영동 51-1",37.5427914,126.9739776,0507-1386-1196,"[SET] 쿠시카츠5종+숙성회3종 (32,000원), [SET] 쿠시카츠5종+모츠나베 (32,000원), 쿠시카츠 7종 (17,000원), 카라이 미소라멘 (9,000원), 아라비아따 나폴리탄 파스타 (12,000원), 오이 스미소 (6,000원), 쿠시카츠 5종 (13,000원), 산토리 프리미엄몰츠 생맥주 (8,000원), 시콰사 하이볼(청귤) (8,000원), 요이땅 하이볼 (5,000원)",월~일 17:00 ~ 24:00,"
맛있는, 다양한, 신선한, 가성비좋은, 데이트하기좋은, 쿠시카츠, 숙성회, 하이볼, 꼬치, 사케, 술한잔, 접근성, 데이트코스, 일본어, 평일저녁"
팟카파우,태국음식,4.7,247,"서울 용산구 신흥로 97-6 2층
(지번) 용산동2가 1-510",37.54519401,126.9848677,070-8880-2521,"팟카파우 (돼지고기) (12,000원), 카오팟 (돼지고기) (12,000원), 쏨탐타이 (13,000원), 팟타이 (14,000원), 카우똠(돼지고기) (12,000원), 카우 무 끌라티암 (12,000원), 똠양꿍 (20,000원), 쏨땀쁠라라 (16,000원), 얌카이다우 (15,000원), 팟키마우 (17,000원), 팟씨유 (12,000원), 꾸아이 띠아이 무 (12,000원), 꾸아이 띠아우 행 (12,000원), 팍붕파이댕 (11,000원), 팟카나 (11,000원)",영업시간 월~토 12:00 ~ 21:00 · 휴게시간 월~토 15:00 ~ 17:00,"
이국적인, 좁은, 다양한, 핫한, 넓은, 똠양꿍, 쏨땀, 팟타이, 쌀국수, 덮밥, 평일저녁, 데이트코스, 재주문"
고다이,"육류,고기",4.7,125,"서울 용산구 한남대로18길 28 1층
(지번) 한남동 30-4",37.53461115,127.0087916,02-749-9299,"생양살치살(150g) (28,000원), 생양등심(150g) (26,000원), 생양갈비(200g) (30,000원), 규슈오뎅탕 (20,000원), 생명란구이 (11,000원)",월~금 17:00 ~ 22:00 토일 16:30 ~ 22:00,"
기분좋은, 편하게, 다양한, 특별한, 센스있는, 양고기, 생양갈비, 생등심, 간장달걀밥, 특제소스, 단체모임, 진로, 저녁식사, 데이트코스, 일본어"
라따뚜이인서울,양식,4.7,106,"서울 용산구 청파로 270-2 1층
(지번) 청파동3가 12-2",37.54366872,126.9709483,010-7926-7021,메뉴 없음,"영업시간 월, 금 12:00 ~ 22:00 목 14:00 ~ 22:00 토 19:00 ~ 22:00 일 10:00 ~ 22:00 휴게시간 월, 금, 일 16:00 ~ 17:00 정기휴무 화, 수","맛있는, 특별한, 다양한, 친절한, 데이트하기좋은, 프랑스가정식, 프랑스코스요리, 루이보스, 초콜릿, 디저트, 단체모임, 소개팅, 신선한, 축구, 체험"
uphill namsan,양식,4.7,90,"서울 용산구 회나무로42길 36 2층
(지번) 이태원동 5-27",37.54007672,126.9942981,070-4184-2000,"트러플 치즈 파스타 (29,000원), 채끝 스테이크 (71,000원), 그릴드 샐러드 (19,000원), 코울슬로와 미니 핫도그 (17,000원), 치즈 모음 (28,000원), 팟 카프라오 파스타 (25,000원), 어필 스테이크 (42,000원), 시저 샐러드 (18,000원), 리코타 치즈와 크래커 (9,000원), 러시안 브레드 (11,000원), 무라베이니크와 아이스크림 (12,000원), 팟 카프라오 라이스 (25,000원), 아이스크림과 팝콘 (12,000원), 바질 페스토 파스타 (27,000원), 루꼴라 햄 파스타 (22,000원), 쉬림프 레몬 파스타 (22,000원), 감자 사라다와 모닝빵 (12,000원)",월~금 15:00 ~ 22:30,"
친절한, 맛있는, 멋진, 예쁜, 다양한, 테라스, 노을, 감자튀김, 시저샐러드, 스테이크, 캐주얼다이닝, 프라이빗룸, 단체모임, 뷰맛집, 데이트코스"
노노샵 & 카페,카페,4.7,48,"서울 용산구 보광로 90 태광빌딩 2층 202호
(지번) 이태원동 21-1",37.53127499,126.9955375,070-8657-1537,"레몬 로마노 (4,500원), 프랄리네 라떼 (6,500원), 에스프레소 (4,000원), 아메리카노 (4,500원), 카페 누아제트 (5,000원), 카페 라떼 (5,000원), 말차 라떼 (6,000원), 초코 라떼 (6,000원), 녹차 (5,000원), 카모마일 / 루이보스/ 페퍼민트 / 라벤더 (5,000원)",영업시간 화~금 12:00 ~ 21:00 토일 11:00~21:00 정기휴무 월,"다양한, 예쁜, 맛있는, 편안함, 귀여운, 아메리카노, 과일, 가구거리, 라떼, 쿠키, 워크샵, 환경보호, 소품샵, 콘서트, 취미"
